method=FCN + FA-DCG, seed=2024, smoke=False
epoch=0, train_loss=0.500197, val_miou=0.696115, val_dice=0.802185, infer_ms=32.807
epoch=1, train_loss=0.436861, val_miou=0.573996, val_dice=0.670766, infer_ms=31.692
epoch=2, train_loss=0.395389, val_miou=0.729630, val_dice=0.836302, infer_ms=32.182
epoch=3, train_loss=0.367597, val_miou=0.602274, val_dice=0.681196, infer_ms=32.672
epoch=4, train_loss=0.347081, val_miou=0.695129, val_dice=0.798267, infer_ms=37.176
epoch=5, train_loss=0.350040, val_miou=0.559492, val_dice=0.635485, infer_ms=32.204
epoch=6, train_loss=0.344729, val_miou=0.740130, val_dice=0.841747, infer_ms=31.766
epoch=7, train_loss=0.317272, val_miou=0.735947, val_dice=0.829979, infer_ms=30.079
epoch=8, train_loss=0.311968, val_miou=0.770150, val_dice=0.861381, infer_ms=38.901
epoch=9, train_loss=0.316151, val_miou=0.708340, val_dice=0.799671, infer_ms=31.780
epoch=10, train_loss=0.290495, val_miou=0.775154, val_dice=0.859239, infer_ms=31.227
epoch=11, train_loss=0.293463, val_miou=0.736205, val_dice=0.829159, infer_ms=30.659
epoch=12, train_loss=0.284817, val_miou=0.775520, val_dice=0.857723, infer_ms=36.847
epoch=13, train_loss=0.281405, val_miou=0.750372, val_dice=0.839478, infer_ms=38.510
epoch=14, train_loss=0.280642, val_miou=0.793874, val_dice=0.870998, infer_ms=31.574
epoch=15, train_loss=0.267265, val_miou=0.748305, val_dice=0.838822, infer_ms=31.110
epoch=16, train_loss=0.271987, val_miou=0.747225, val_dice=0.834010, infer_ms=30.957
epoch=17, train_loss=0.257130, val_miou=0.766337, val_dice=0.847107, infer_ms=31.165
epoch=18, train_loss=0.254701, val_miou=0.776476, val_dice=0.857800, infer_ms=30.463
epoch=19, train_loss=0.249584, val_miou=0.743219, val_dice=0.833401, infer_ms=30.754
epoch=20, train_loss=0.242835, val_miou=0.792427, val_dice=0.871515, infer_ms=30.924
epoch=21, train_loss=0.243892, val_miou=0.768197, val_dice=0.852054, infer_ms=31.870
epoch=22, train_loss=0.232842, val_miou=0.783103, val_dice=0.859827, infer_ms=30.854
epoch=23, train_loss=0.232681, val_miou=0.806300, val_dice=0.881499, infer_ms=31.570
epoch=24, train_loss=0.229115, val_miou=0.808778, val_dice=0.885067, infer_ms=30.570
epoch=25, train_loss=0.223301, val_miou=0.806998, val_dice=0.881937, infer_ms=30.779
epoch=26, train_loss=0.217876, val_miou=0.781176, val_dice=0.860645, infer_ms=31.056
epoch=27, train_loss=0.225357, val_miou=0.795276, val_dice=0.871735, infer_ms=31.742
epoch=28, train_loss=0.218474, val_miou=0.810570, val_dice=0.882930, infer_ms=31.123
epoch=29, train_loss=0.208091, val_miou=0.819508, val_dice=0.888955, infer_ms=38.939
epoch=30, train_loss=0.203918, val_miou=0.821435, val_dice=0.891464, infer_ms=32.162
epoch=31, train_loss=0.192844, val_miou=0.836722, val_dice=0.901717, infer_ms=30.655
epoch=32, train_loss=0.200580, val_miou=0.822112, val_dice=0.891051, infer_ms=38.096
epoch=33, train_loss=0.194242, val_miou=0.830153, val_dice=0.895798, infer_ms=38.209
epoch=34, train_loss=0.193047, val_miou=0.825413, val_dice=0.893542, infer_ms=32.038
epoch=35, train_loss=0.190710, val_miou=0.831960, val_dice=0.898147, infer_ms=39.593
epoch=36, train_loss=0.191351, val_miou=0.833697, val_dice=0.899790, infer_ms=31.482
epoch=37, train_loss=0.183151, val_miou=0.833405, val_dice=0.900027, infer_ms=41.211
epoch=38, train_loss=0.181416, val_miou=0.839905, val_dice=0.904966, infer_ms=31.787
epoch=39, train_loss=0.182144, val_miou=0.829934, val_dice=0.896821, infer_ms=32.122
epoch=40, train_loss=0.178081, val_miou=0.832556, val_dice=0.897702, infer_ms=39.468
epoch=41, train_loss=0.177452, val_miou=0.844849, val_dice=0.907507, infer_ms=31.819
epoch=42, train_loss=0.176771, val_miou=0.840751, val_dice=0.904801, infer_ms=31.573
epoch=43, train_loss=0.172486, val_miou=0.839296, val_dice=0.903320, infer_ms=31.767
epoch=44, train_loss=0.171087, val_miou=0.839412, val_dice=0.903229, infer_ms=31.591
epoch=45, train_loss=0.170154, val_miou=0.842682, val_dice=0.905878, infer_ms=31.738
epoch=46, train_loss=0.171005, val_miou=0.841691, val_dice=0.904946, infer_ms=31.332
epoch=47, train_loss=0.172604, val_miou=0.841766, val_dice=0.904919, infer_ms=31.161
epoch=48, train_loss=0.167798, val_miou=0.840783, val_dice=0.904531, infer_ms=30.436
epoch=49, train_loss=0.168480, val_miou=0.843138, val_dice=0.906266, infer_ms=30.662
