method=FCN, seed=2024, smoke=False
epoch=0, train_loss=0.793143, val_miou=0.441375, val_dice=0.505828, infer_ms=1.281
epoch=1, train_loss=0.673902, val_miou=0.377786, val_dice=0.357049, infer_ms=1.315
epoch=2, train_loss=0.622120, val_miou=0.478731, val_dice=0.627401, infer_ms=1.261
epoch=3, train_loss=0.609826, val_miou=0.395259, val_dice=0.383492, infer_ms=1.249
epoch=4, train_loss=0.597206, val_miou=0.486128, val_dice=0.634043, infer_ms=1.247
epoch=5, train_loss=0.597429, val_miou=0.472252, val_dice=0.552363, infer_ms=1.255
epoch=6, train_loss=0.585315, val_miou=0.323603, val_dice=0.181902, infer_ms=1.276
epoch=7, train_loss=0.584765, val_miou=0.472571, val_dice=0.510002, infer_ms=1.276
epoch=8, train_loss=0.554097, val_miou=0.552963, val_dice=0.647581, infer_ms=1.269
epoch=9, train_loss=0.554735, val_miou=0.544334, val_dice=0.638406, infer_ms=1.280
epoch=10, train_loss=0.536465, val_miou=0.541347, val_dice=0.626815, infer_ms=1.273
epoch=11, train_loss=0.535476, val_miou=0.557124, val_dice=0.655752, infer_ms=1.283
epoch=12, train_loss=0.522324, val_miou=0.559546, val_dice=0.664595, infer_ms=1.282
epoch=13, train_loss=0.511699, val_miou=0.581911, val_dice=0.677317, infer_ms=1.288
epoch=14, train_loss=0.515081, val_miou=0.598453, val_dice=0.695102, infer_ms=1.286
epoch=15, train_loss=0.505530, val_miou=0.607086, val_dice=0.703643, infer_ms=1.302
epoch=16, train_loss=0.497892, val_miou=0.525683, val_dice=0.588750, infer_ms=1.276
epoch=17, train_loss=0.490807, val_miou=0.623265, val_dice=0.721824, infer_ms=1.290
epoch=18, train_loss=0.489976, val_miou=0.511345, val_dice=0.566763, infer_ms=1.285
epoch=19, train_loss=0.485026, val_miou=0.564131, val_dice=0.648282, infer_ms=1.266
epoch=20, train_loss=0.480037, val_miou=0.562955, val_dice=0.638318, infer_ms=1.284
epoch=21, train_loss=0.478032, val_miou=0.626323, val_dice=0.729764, infer_ms=1.296
epoch=22, train_loss=0.488384, val_miou=0.522030, val_dice=0.583323, infer_ms=1.288
epoch=23, train_loss=0.468437, val_miou=0.628182, val_dice=0.735059, infer_ms=1.295
epoch=24, train_loss=0.470076, val_miou=0.628559, val_dice=0.736235, infer_ms=1.245
epoch=25, train_loss=0.464694, val_miou=0.623277, val_dice=0.726122, infer_ms=1.255
epoch=26, train_loss=0.463912, val_miou=0.626276, val_dice=0.736384, infer_ms=1.287
epoch=27, train_loss=0.463947, val_miou=0.629707, val_dice=0.727762, infer_ms=1.294
epoch=28, train_loss=0.455949, val_miou=0.626866, val_dice=0.730712, infer_ms=1.279
epoch=29, train_loss=0.454050, val_miou=0.629879, val_dice=0.723827, infer_ms=1.259
epoch=30, train_loss=0.448000, val_miou=0.642229, val_dice=0.741909, infer_ms=1.285
epoch=31, train_loss=0.447734, val_miou=0.624582, val_dice=0.721565, infer_ms=1.303
epoch=32, train_loss=0.447115, val_miou=0.633555, val_dice=0.731520, infer_ms=1.274
epoch=33, train_loss=0.445695, val_miou=0.630661, val_dice=0.730295, infer_ms=1.251
epoch=34, train_loss=0.442266, val_miou=0.630891, val_dice=0.729759, infer_ms=1.292
epoch=35, train_loss=0.442224, val_miou=0.643717, val_dice=0.746443, infer_ms=1.321
epoch=36, train_loss=0.439428, val_miou=0.646646, val_dice=0.752252, infer_ms=1.283
epoch=37, train_loss=0.432737, val_miou=0.651182, val_dice=0.757110, infer_ms=1.282
epoch=38, train_loss=0.435905, val_miou=0.658911, val_dice=0.762051, infer_ms=1.238
epoch=39, train_loss=0.431803, val_miou=0.644376, val_dice=0.744739, infer_ms=1.305
epoch=40, train_loss=0.430449, val_miou=0.641775, val_dice=0.742886, infer_ms=1.274
epoch=41, train_loss=0.431131, val_miou=0.651186, val_dice=0.751246, infer_ms=1.279
epoch=42, train_loss=0.431843, val_miou=0.652518, val_dice=0.757250, infer_ms=1.279
epoch=43, train_loss=0.424969, val_miou=0.649342, val_dice=0.753386, infer_ms=1.253
epoch=44, train_loss=0.426606, val_miou=0.652247, val_dice=0.758073, infer_ms=1.308
epoch=45, train_loss=0.423086, val_miou=0.648950, val_dice=0.754794, infer_ms=1.279
epoch=46, train_loss=0.426639, val_miou=0.645685, val_dice=0.745025, infer_ms=1.294
epoch=47, train_loss=0.423964, val_miou=0.649389, val_dice=0.751884, infer_ms=1.313
epoch=48, train_loss=0.422833, val_miou=0.662342, val_dice=0.766066, infer_ms=1.234
epoch=49, train_loss=0.423369, val_miou=0.663746, val_dice=0.768719, infer_ms=1.288
