method=U-Net + FA-DCG, seed=2024, smoke=False
epoch=0, train_loss=0.425731, val_miou=0.771874, val_dice=0.857881, infer_ms=11.492
epoch=1, train_loss=0.361206, val_miou=0.528584, val_dice=0.576400, infer_ms=10.046
epoch=2, train_loss=0.346232, val_miou=0.785886, val_dice=0.867296, infer_ms=9.911
epoch=3, train_loss=0.315318, val_miou=0.642890, val_dice=0.737657, infer_ms=9.689
epoch=4, train_loss=0.308181, val_miou=0.619894, val_dice=0.701710, infer_ms=9.882
epoch=5, train_loss=0.296412, val_miou=0.799897, val_dice=0.881435, infer_ms=11.015
epoch=6, train_loss=0.285444, val_miou=0.770475, val_dice=0.870222, infer_ms=11.257
epoch=7, train_loss=0.267186, val_miou=0.811281, val_dice=0.885102, infer_ms=9.849
epoch=8, train_loss=0.256862, val_miou=0.779178, val_dice=0.859881, infer_ms=9.978
epoch=9, train_loss=0.257058, val_miou=0.789162, val_dice=0.865552, infer_ms=9.963
epoch=10, train_loss=0.235561, val_miou=0.812490, val_dice=0.889875, infer_ms=9.947
epoch=11, train_loss=0.240181, val_miou=0.804933, val_dice=0.880990, infer_ms=9.901
epoch=12, train_loss=0.235278, val_miou=0.841077, val_dice=0.905301, infer_ms=9.756
epoch=13, train_loss=0.217300, val_miou=0.813706, val_dice=0.882856, infer_ms=11.347
epoch=14, train_loss=0.225388, val_miou=0.816579, val_dice=0.888856, infer_ms=9.871
epoch=15, train_loss=0.199085, val_miou=0.839183, val_dice=0.907417, infer_ms=11.491
epoch=16, train_loss=0.202026, val_miou=0.847077, val_dice=0.909259, infer_ms=11.661
epoch=17, train_loss=0.193990, val_miou=0.827365, val_dice=0.893032, infer_ms=12.059
epoch=18, train_loss=0.198273, val_miou=0.849906, val_dice=0.911568, infer_ms=9.211
epoch=19, train_loss=0.188085, val_miou=0.814521, val_dice=0.886065, infer_ms=11.242
epoch=20, train_loss=0.181336, val_miou=0.829093, val_dice=0.895620, infer_ms=10.140
epoch=21, train_loss=0.167198, val_miou=0.867268, val_dice=0.922063, infer_ms=9.969
epoch=22, train_loss=0.176261, val_miou=0.840596, val_dice=0.903147, infer_ms=9.795
epoch=23, train_loss=0.169064, val_miou=0.861446, val_dice=0.917622, infer_ms=11.615
epoch=24, train_loss=0.165566, val_miou=0.879847, val_dice=0.930139, infer_ms=11.849
epoch=25, train_loss=0.158444, val_miou=0.879175, val_dice=0.929848, infer_ms=11.810
epoch=26, train_loss=0.151064, val_miou=0.874874, val_dice=0.925739, infer_ms=10.124
epoch=27, train_loss=0.153972, val_miou=0.883110, val_dice=0.932689, infer_ms=11.648
epoch=28, train_loss=0.156311, val_miou=0.885867, val_dice=0.933178, infer_ms=11.488
epoch=29, train_loss=0.145776, val_miou=0.889703, val_dice=0.935862, infer_ms=10.526
epoch=30, train_loss=0.134788, val_miou=0.886037, val_dice=0.934096, infer_ms=11.633
epoch=31, train_loss=0.131118, val_miou=0.881158, val_dice=0.931298, infer_ms=11.729
epoch=32, train_loss=0.134578, val_miou=0.874716, val_dice=0.926623, infer_ms=10.952
epoch=33, train_loss=0.128112, val_miou=0.890058, val_dice=0.936371, infer_ms=11.578
epoch=34, train_loss=0.128399, val_miou=0.883096, val_dice=0.932437, infer_ms=11.455
epoch=35, train_loss=0.123719, val_miou=0.891985, val_dice=0.937502, infer_ms=11.474
epoch=36, train_loss=0.120174, val_miou=0.892761, val_dice=0.938483, infer_ms=11.586
epoch=37, train_loss=0.114906, val_miou=0.890741, val_dice=0.936954, infer_ms=11.143
epoch=38, train_loss=0.118397, val_miou=0.895628, val_dice=0.939947, infer_ms=10.798
epoch=39, train_loss=0.111674, val_miou=0.893207, val_dice=0.938193, infer_ms=10.110
epoch=40, train_loss=0.112439, val_miou=0.893033, val_dice=0.938181, infer_ms=9.786
epoch=41, train_loss=0.111123, val_miou=0.896663, val_dice=0.941023, infer_ms=9.826
epoch=42, train_loss=0.112350, val_miou=0.894003, val_dice=0.938808, infer_ms=10.074
epoch=43, train_loss=0.109778, val_miou=0.895017, val_dice=0.939453, infer_ms=9.193
epoch=44, train_loss=0.105035, val_miou=0.892167, val_dice=0.937527, infer_ms=11.399
epoch=45, train_loss=0.105047, val_miou=0.893555, val_dice=0.938736, infer_ms=11.560
epoch=46, train_loss=0.108268, val_miou=0.893959, val_dice=0.938898, infer_ms=11.667
epoch=47, train_loss=0.109633, val_miou=0.892466, val_dice=0.937810, infer_ms=11.635
epoch=48, train_loss=0.102896, val_miou=0.895378, val_dice=0.939826, infer_ms=9.981
epoch=49, train_loss=0.104062, val_miou=0.896197, val_dice=0.940267, infer_ms=10.056
