method=U-Net, seed=2024, smoke=False
epoch=0, train_loss=0.427009, val_miou=0.753117, val_dice=0.841442, infer_ms=2.545
epoch=1, train_loss=0.372269, val_miou=0.630303, val_dice=0.715528, infer_ms=2.551
epoch=2, train_loss=0.350710, val_miou=0.792121, val_dice=0.878465, infer_ms=2.559
epoch=3, train_loss=0.322932, val_miou=0.789827, val_dice=0.872774, infer_ms=2.562
epoch=4, train_loss=0.309309, val_miou=0.649324, val_dice=0.734862, infer_ms=2.591
epoch=5, train_loss=0.309737, val_miou=0.542170, val_dice=0.606485, infer_ms=2.574
epoch=6, train_loss=0.298847, val_miou=0.755690, val_dice=0.862062, infer_ms=2.580
epoch=7, train_loss=0.283643, val_miou=0.797465, val_dice=0.880800, infer_ms=2.578
epoch=8, train_loss=0.273409, val_miou=0.778190, val_dice=0.858258, infer_ms=2.546
epoch=9, train_loss=0.270348, val_miou=0.804658, val_dice=0.880876, infer_ms=2.585
epoch=10, train_loss=0.245960, val_miou=0.800207, val_dice=0.883457, infer_ms=2.549
epoch=11, train_loss=0.256905, val_miou=0.795874, val_dice=0.871306, infer_ms=2.585
epoch=12, train_loss=0.253087, val_miou=0.808203, val_dice=0.878384, infer_ms=2.598
epoch=13, train_loss=0.240099, val_miou=0.752229, val_dice=0.833230, infer_ms=2.553
epoch=14, train_loss=0.245925, val_miou=0.839610, val_dice=0.907335, infer_ms=2.592
epoch=15, train_loss=0.218820, val_miou=0.832456, val_dice=0.902512, infer_ms=2.556
epoch=16, train_loss=0.217253, val_miou=0.827749, val_dice=0.896876, infer_ms=3.226
epoch=17, train_loss=0.215938, val_miou=0.819382, val_dice=0.886973, infer_ms=2.542
epoch=18, train_loss=0.214719, val_miou=0.836817, val_dice=0.904093, infer_ms=2.568
epoch=19, train_loss=0.204407, val_miou=0.782463, val_dice=0.860482, infer_ms=2.558
epoch=20, train_loss=0.197458, val_miou=0.820940, val_dice=0.892304, infer_ms=2.624
epoch=21, train_loss=0.194539, val_miou=0.850926, val_dice=0.913889, infer_ms=2.493
epoch=22, train_loss=0.199618, val_miou=0.865281, val_dice=0.922099, infer_ms=2.537
epoch=23, train_loss=0.188016, val_miou=0.837068, val_dice=0.900699, infer_ms=2.485
epoch=24, train_loss=0.184016, val_miou=0.867638, val_dice=0.923349, infer_ms=2.474
epoch=25, train_loss=0.180891, val_miou=0.867282, val_dice=0.922921, infer_ms=2.483
epoch=26, train_loss=0.166668, val_miou=0.807727, val_dice=0.876153, infer_ms=2.490
epoch=27, train_loss=0.178015, val_miou=0.856260, val_dice=0.916554, infer_ms=2.487
epoch=28, train_loss=0.169067, val_miou=0.851618, val_dice=0.909499, infer_ms=2.683
epoch=29, train_loss=0.165295, val_miou=0.879708, val_dice=0.929965, infer_ms=2.616
epoch=30, train_loss=0.152923, val_miou=0.877551, val_dice=0.929790, infer_ms=2.551
epoch=31, train_loss=0.149511, val_miou=0.871808, val_dice=0.924622, infer_ms=2.554
epoch=32, train_loss=0.158472, val_miou=0.864726, val_dice=0.921159, infer_ms=2.561
epoch=33, train_loss=0.150053, val_miou=0.835692, val_dice=0.899953, infer_ms=2.552
epoch=34, train_loss=0.148968, val_miou=0.886050, val_dice=0.934553, infer_ms=2.554
epoch=35, train_loss=0.142910, val_miou=0.884354, val_dice=0.932862, infer_ms=2.574
epoch=36, train_loss=0.141389, val_miou=0.884808, val_dice=0.933911, infer_ms=2.585
epoch=37, train_loss=0.135591, val_miou=0.892698, val_dice=0.938395, infer_ms=2.549
epoch=38, train_loss=0.138838, val_miou=0.886064, val_dice=0.933912, infer_ms=2.565
epoch=39, train_loss=0.135624, val_miou=0.882354, val_dice=0.931787, infer_ms=2.559
epoch=40, train_loss=0.133934, val_miou=0.882321, val_dice=0.931205, infer_ms=2.537
epoch=41, train_loss=0.131361, val_miou=0.890442, val_dice=0.937175, infer_ms=2.584
epoch=42, train_loss=0.132632, val_miou=0.886964, val_dice=0.934383, infer_ms=2.568
epoch=43, train_loss=0.131773, val_miou=0.888193, val_dice=0.935219, infer_ms=2.575
epoch=44, train_loss=0.124042, val_miou=0.883964, val_dice=0.932330, infer_ms=2.549
epoch=45, train_loss=0.124400, val_miou=0.887097, val_dice=0.934758, infer_ms=2.651
epoch=46, train_loss=0.125209, val_miou=0.890425, val_dice=0.937056, infer_ms=2.579
epoch=47, train_loss=0.127480, val_miou=0.888973, val_dice=0.935719, infer_ms=2.569
epoch=48, train_loss=0.121823, val_miou=0.889364, val_dice=0.936402, infer_ms=2.575
epoch=49, train_loss=0.123311, val_miou=0.890166, val_dice=0.936727, infer_ms=2.555
