method=FCN + Fast FA-DCG, seed=2024
epoch=0, train_loss=0.785610, val_miou=0.411118, val_dice=0.423380, infer_ms=1.860
epoch=1, train_loss=0.668436, val_miou=0.419426, val_dice=0.511044, infer_ms=1.277
epoch=2, train_loss=0.631998, val_miou=0.427701, val_dice=0.500559, infer_ms=1.282
epoch=3, train_loss=0.622735, val_miou=0.318923, val_dice=0.164217, infer_ms=1.304
epoch=4, train_loss=0.605414, val_miou=0.458055, val_dice=0.542868, infer_ms=1.293
epoch=5, train_loss=0.596087, val_miou=0.425408, val_dice=0.438360, infer_ms=1.301
epoch=6, train_loss=0.582231, val_miou=0.384470, val_dice=0.335044, infer_ms=1.266
epoch=7, train_loss=0.578385, val_miou=0.435318, val_dice=0.470339, infer_ms=1.255
epoch=8, train_loss=0.565621, val_miou=0.529552, val_dice=0.626466, infer_ms=1.262
epoch=9, train_loss=0.567406, val_miou=0.534259, val_dice=0.652168, infer_ms=1.276
epoch=10, train_loss=0.540371, val_miou=0.551587, val_dice=0.636660, infer_ms=1.330
epoch=11, train_loss=0.534729, val_miou=0.548561, val_dice=0.685327, infer_ms=1.229
epoch=12, train_loss=0.523119, val_miou=0.512164, val_dice=0.564564, infer_ms=1.293
epoch=13, train_loss=0.512542, val_miou=0.554268, val_dice=0.631530, infer_ms=1.309
epoch=14, train_loss=0.506816, val_miou=0.583763, val_dice=0.678078, infer_ms=1.242
epoch=15, train_loss=0.497479, val_miou=0.609964, val_dice=0.712232, infer_ms=1.240
epoch=16, train_loss=0.502471, val_miou=0.594548, val_dice=0.689412, infer_ms=1.359
epoch=17, train_loss=0.485802, val_miou=0.592222, val_dice=0.680139, infer_ms=1.270
epoch=18, train_loss=0.494275, val_miou=0.604356, val_dice=0.707161, infer_ms=1.244
epoch=19, train_loss=0.486853, val_miou=0.468617, val_dice=0.488859, infer_ms=1.268
epoch=20, train_loss=0.477829, val_miou=0.595686, val_dice=0.698032, infer_ms=1.244
epoch=21, train_loss=0.470347, val_miou=0.613132, val_dice=0.725443, infer_ms=1.241
epoch=22, train_loss=0.475957, val_miou=0.545883, val_dice=0.630852, infer_ms=1.239
epoch=23, train_loss=0.469096, val_miou=0.603197, val_dice=0.707259, infer_ms=1.227
epoch=24, train_loss=0.468356, val_miou=0.633504, val_dice=0.753223, infer_ms=1.230
epoch=25, train_loss=0.458381, val_miou=0.611223, val_dice=0.714738, infer_ms=1.231
epoch=26, train_loss=0.463673, val_miou=0.578139, val_dice=0.710368, infer_ms=1.297
epoch=27, train_loss=0.467329, val_miou=0.620697, val_dice=0.736175, infer_ms=1.346
epoch=28, train_loss=0.455920, val_miou=0.606978, val_dice=0.703260, infer_ms=1.319
epoch=29, train_loss=0.452849, val_miou=0.618531, val_dice=0.718566, infer_ms=1.312
epoch=30, train_loss=0.449723, val_miou=0.645600, val_dice=0.761373, infer_ms=1.608
epoch=31, train_loss=0.445777, val_miou=0.615558, val_dice=0.713712, infer_ms=1.227
epoch=32, train_loss=0.447205, val_miou=0.642544, val_dice=0.749965, infer_ms=1.249
epoch=33, train_loss=0.441742, val_miou=0.644253, val_dice=0.749109, infer_ms=1.245
epoch=34, train_loss=0.442398, val_miou=0.632104, val_dice=0.735885, infer_ms=1.229
epoch=35, train_loss=0.440126, val_miou=0.639863, val_dice=0.741263, infer_ms=1.235
epoch=36, train_loss=0.437739, val_miou=0.661983, val_dice=0.768794, infer_ms=1.253
epoch=37, train_loss=0.433725, val_miou=0.649952, val_dice=0.759873, infer_ms=1.341
epoch=38, train_loss=0.440477, val_miou=0.656154, val_dice=0.767602, infer_ms=1.244
epoch=39, train_loss=0.431320, val_miou=0.640757, val_dice=0.743192, infer_ms=1.261
epoch=40, train_loss=0.432797, val_miou=0.638129, val_dice=0.740929, infer_ms=1.293
epoch=41, train_loss=0.429701, val_miou=0.653341, val_dice=0.761499, infer_ms=1.340
epoch=42, train_loss=0.430447, val_miou=0.652709, val_dice=0.762128, infer_ms=1.254
epoch=43, train_loss=0.425587, val_miou=0.651616, val_dice=0.758211, infer_ms=1.248
epoch=44, train_loss=0.424778, val_miou=0.652200, val_dice=0.759115, infer_ms=1.249
epoch=45, train_loss=0.424333, val_miou=0.655536, val_dice=0.764120, infer_ms=1.256
epoch=46, train_loss=0.426483, val_miou=0.655180, val_dice=0.760206, infer_ms=1.229
epoch=47, train_loss=0.426143, val_miou=0.655280, val_dice=0.761390, infer_ms=1.247
epoch=48, train_loss=0.423094, val_miou=0.665319, val_dice=0.772711, infer_ms=1.248
epoch=49, train_loss=0.424282, val_miou=0.662445, val_dice=0.768982, infer_ms=1.311
