method=U-Net + Fast FA-DCG, seed=2024
epoch=0, train_loss=0.427539, val_miou=0.750573, val_dice=0.836846, infer_ms=3.219
epoch=1, train_loss=0.369695, val_miou=0.578004, val_dice=0.652832, infer_ms=2.629
epoch=2, train_loss=0.352491, val_miou=0.786797, val_dice=0.876427, infer_ms=2.600
epoch=3, train_loss=0.326645, val_miou=0.705088, val_dice=0.799561, infer_ms=2.586
epoch=4, train_loss=0.312400, val_miou=0.631339, val_dice=0.712557, infer_ms=2.583
epoch=5, train_loss=0.303769, val_miou=0.725338, val_dice=0.818408, infer_ms=2.608
epoch=6, train_loss=0.295035, val_miou=0.756519, val_dice=0.862820, infer_ms=2.553
epoch=7, train_loss=0.280737, val_miou=0.802939, val_dice=0.885312, infer_ms=2.616
epoch=8, train_loss=0.267398, val_miou=0.810095, val_dice=0.885828, infer_ms=2.597
epoch=9, train_loss=0.267947, val_miou=0.813377, val_dice=0.886537, infer_ms=2.618
epoch=10, train_loss=0.242837, val_miou=0.783607, val_dice=0.873444, infer_ms=2.602
epoch=11, train_loss=0.259020, val_miou=0.796532, val_dice=0.875542, infer_ms=2.634
epoch=12, train_loss=0.254023, val_miou=0.794896, val_dice=0.868025, infer_ms=4.137
epoch=13, train_loss=0.234941, val_miou=0.753286, val_dice=0.834888, infer_ms=2.600
epoch=14, train_loss=0.244290, val_miou=0.811658, val_dice=0.883100, infer_ms=2.612
epoch=15, train_loss=0.216534, val_miou=0.822531, val_dice=0.894328, infer_ms=2.572
epoch=16, train_loss=0.217864, val_miou=0.794063, val_dice=0.870738, infer_ms=2.586
epoch=17, train_loss=0.215017, val_miou=0.817591, val_dice=0.886976, infer_ms=4.289
epoch=18, train_loss=0.211953, val_miou=0.836031, val_dice=0.902569, infer_ms=2.609
epoch=19, train_loss=0.203885, val_miou=0.800684, val_dice=0.876438, infer_ms=2.690
epoch=20, train_loss=0.198977, val_miou=0.822193, val_dice=0.891498, infer_ms=2.617
epoch=21, train_loss=0.191085, val_miou=0.848166, val_dice=0.911725, infer_ms=2.572
epoch=22, train_loss=0.194828, val_miou=0.845728, val_dice=0.908154, infer_ms=2.599
epoch=23, train_loss=0.191333, val_miou=0.799586, val_dice=0.871475, infer_ms=2.610
epoch=24, train_loss=0.182140, val_miou=0.863600, val_dice=0.920659, infer_ms=2.604
epoch=25, train_loss=0.184789, val_miou=0.867545, val_dice=0.923196, infer_ms=2.628
epoch=26, train_loss=0.168336, val_miou=0.812988, val_dice=0.880415, infer_ms=2.624
epoch=27, train_loss=0.175850, val_miou=0.859077, val_dice=0.918384, infer_ms=2.556
epoch=28, train_loss=0.167716, val_miou=0.834520, val_dice=0.897934, infer_ms=2.622
epoch=29, train_loss=0.164599, val_miou=0.873339, val_dice=0.925743, infer_ms=2.600
epoch=30, train_loss=0.153427, val_miou=0.863282, val_dice=0.921091, infer_ms=2.576
epoch=31, train_loss=0.151165, val_miou=0.864960, val_dice=0.920139, infer_ms=2.610
epoch=32, train_loss=0.157704, val_miou=0.858368, val_dice=0.916514, infer_ms=2.644
epoch=33, train_loss=0.148538, val_miou=0.827999, val_dice=0.894232, infer_ms=2.576
epoch=34, train_loss=0.148827, val_miou=0.879999, val_dice=0.929969, infer_ms=2.603
epoch=35, train_loss=0.142526, val_miou=0.875907, val_dice=0.927177, infer_ms=2.597
epoch=36, train_loss=0.141055, val_miou=0.878602, val_dice=0.929639, infer_ms=2.553
epoch=37, train_loss=0.135124, val_miou=0.883829, val_dice=0.932411, infer_ms=2.602
epoch=38, train_loss=0.138857, val_miou=0.881260, val_dice=0.930756, infer_ms=2.605
epoch=39, train_loss=0.133723, val_miou=0.872930, val_dice=0.925572, infer_ms=2.571
epoch=40, train_loss=0.132349, val_miou=0.872716, val_dice=0.925011, infer_ms=2.600
epoch=41, train_loss=0.131961, val_miou=0.886402, val_dice=0.934594, infer_ms=2.578
epoch=42, train_loss=0.133316, val_miou=0.878295, val_dice=0.928870, infer_ms=2.632
epoch=43, train_loss=0.131658, val_miou=0.879096, val_dice=0.929359, infer_ms=2.647
epoch=44, train_loss=0.123389, val_miou=0.876562, val_dice=0.927413, infer_ms=2.621
epoch=45, train_loss=0.124157, val_miou=0.879415, val_dice=0.929783, infer_ms=2.602
epoch=46, train_loss=0.125749, val_miou=0.880421, val_dice=0.930503, infer_ms=2.594
epoch=47, train_loss=0.126548, val_miou=0.877873, val_dice=0.928473, infer_ms=2.572
epoch=48, train_loss=0.121920, val_miou=0.880122, val_dice=0.930390, infer_ms=2.589
epoch=49, train_loss=0.124163, val_miou=0.881590, val_dice=0.931203, infer_ms=2.613
