method=FCN + Optimized FA-DCG, seed=123
epoch=0, train_loss=0.514330, val_miou=0.669115, val_dice=0.763575, infer_ms=1.143
epoch=1, train_loss=0.412164, val_miou=0.566142, val_dice=0.635706, infer_ms=1.046
epoch=2, train_loss=0.379617, val_miou=0.654339, val_dice=0.739754, infer_ms=1.070
epoch=3, train_loss=0.371597, val_miou=0.723332, val_dice=0.824844, infer_ms=1.058
epoch=4, train_loss=0.352069, val_miou=0.755049, val_dice=0.843905, infer_ms=1.076
epoch=5, train_loss=0.333970, val_miou=0.751563, val_dice=0.842953, infer_ms=1.044
epoch=6, train_loss=0.341004, val_miou=0.748734, val_dice=0.839497, infer_ms=1.063
epoch=7, train_loss=0.323998, val_miou=0.699295, val_dice=0.795756, infer_ms=1.060
epoch=8, train_loss=0.306789, val_miou=0.777644, val_dice=0.864078, infer_ms=1.064
epoch=9, train_loss=0.307317, val_miou=0.753318, val_dice=0.840404, infer_ms=1.055
epoch=10, train_loss=0.285803, val_miou=0.764210, val_dice=0.849541, infer_ms=1.080
epoch=11, train_loss=0.300438, val_miou=0.761490, val_dice=0.848992, infer_ms=1.163
epoch=12, train_loss=0.274753, val_miou=0.790428, val_dice=0.868581, infer_ms=1.127
epoch=13, train_loss=0.281110, val_miou=0.748453, val_dice=0.836077, infer_ms=1.069
epoch=14, train_loss=0.267947, val_miou=0.760182, val_dice=0.840283, infer_ms=1.097
epoch=15, train_loss=0.276387, val_miou=0.789816, val_dice=0.864318, infer_ms=1.125
epoch=16, train_loss=0.261364, val_miou=0.768638, val_dice=0.854463, infer_ms=1.152
epoch=17, train_loss=0.253659, val_miou=0.758415, val_dice=0.842711, infer_ms=1.129
epoch=18, train_loss=0.258062, val_miou=0.799633, val_dice=0.877131, infer_ms=1.062
epoch=19, train_loss=0.247821, val_miou=0.808374, val_dice=0.885385, infer_ms=1.068
epoch=20, train_loss=0.245084, val_miou=0.757293, val_dice=0.839738, infer_ms=1.060
epoch=21, train_loss=0.231103, val_miou=0.810818, val_dice=0.883741, infer_ms=1.122
epoch=22, train_loss=0.237155, val_miou=0.721629, val_dice=0.815271, infer_ms=1.110
epoch=23, train_loss=0.239829, val_miou=0.791115, val_dice=0.867982, infer_ms=1.055
epoch=24, train_loss=0.226173, val_miou=0.812784, val_dice=0.887642, infer_ms=1.093
epoch=25, train_loss=0.221813, val_miou=0.818534, val_dice=0.890171, infer_ms=1.082
epoch=26, train_loss=0.210013, val_miou=0.811378, val_dice=0.883542, infer_ms=1.034
epoch=27, train_loss=0.210350, val_miou=0.826538, val_dice=0.896828, infer_ms=1.088
epoch=28, train_loss=0.204024, val_miou=0.829342, val_dice=0.898414, infer_ms=1.062
epoch=29, train_loss=0.205223, val_miou=0.822812, val_dice=0.893337, infer_ms=1.069
epoch=30, train_loss=0.201663, val_miou=0.810304, val_dice=0.884866, infer_ms=1.085
epoch=31, train_loss=0.197929, val_miou=0.831616, val_dice=0.900311, infer_ms=1.049
epoch=32, train_loss=0.202684, val_miou=0.817099, val_dice=0.891595, infer_ms=1.122
epoch=33, train_loss=0.195348, val_miou=0.831607, val_dice=0.899879, infer_ms=1.126
epoch=34, train_loss=0.195693, val_miou=0.828451, val_dice=0.898044, infer_ms=1.033
epoch=35, train_loss=0.192294, val_miou=0.839102, val_dice=0.903365, infer_ms=1.098
epoch=36, train_loss=0.181973, val_miou=0.836543, val_dice=0.901509, infer_ms=1.043
epoch=37, train_loss=0.180072, val_miou=0.842441, val_dice=0.905291, infer_ms=1.044
epoch=38, train_loss=0.180965, val_miou=0.840006, val_dice=0.905187, infer_ms=1.051
epoch=39, train_loss=0.176857, val_miou=0.836603, val_dice=0.901890, infer_ms=1.045
epoch=40, train_loss=0.179298, val_miou=0.834219, val_dice=0.900692, infer_ms=1.086
epoch=41, train_loss=0.176992, val_miou=0.841931, val_dice=0.905279, infer_ms=1.070
epoch=42, train_loss=0.175289, val_miou=0.841913, val_dice=0.904628, infer_ms=1.053
epoch=43, train_loss=0.170702, val_miou=0.844871, val_dice=0.907327, infer_ms=1.050
epoch=44, train_loss=0.170190, val_miou=0.843737, val_dice=0.906571, infer_ms=1.097
epoch=45, train_loss=0.168721, val_miou=0.845240, val_dice=0.907285, infer_ms=1.061
epoch=46, train_loss=0.168970, val_miou=0.844136, val_dice=0.907152, infer_ms=1.076
epoch=47, train_loss=0.170924, val_miou=0.842392, val_dice=0.906006, infer_ms=1.079
epoch=48, train_loss=0.167262, val_miou=0.843629, val_dice=0.906753, infer_ms=1.055
epoch=49, train_loss=0.168100, val_miou=0.845480, val_dice=0.907773, infer_ms=1.037
