method=U-Net + Optimized FA-DCG, seed=42
epoch=0, train_loss=0.469768, val_miou=0.638471, val_dice=0.748389, infer_ms=2.900
epoch=1, train_loss=0.399218, val_miou=0.783789, val_dice=0.871144, infer_ms=2.521
epoch=2, train_loss=0.354664, val_miou=0.803712, val_dice=0.878925, infer_ms=2.509
epoch=3, train_loss=0.334737, val_miou=0.775729, val_dice=0.856438, infer_ms=2.507
epoch=4, train_loss=0.324671, val_miou=0.788489, val_dice=0.868777, infer_ms=2.551
epoch=5, train_loss=0.317531, val_miou=0.734410, val_dice=0.828164, infer_ms=2.501
epoch=6, train_loss=0.289576, val_miou=0.795052, val_dice=0.872731, infer_ms=2.478
epoch=7, train_loss=0.288957, val_miou=0.801763, val_dice=0.880548, infer_ms=2.538
epoch=8, train_loss=0.282354, val_miou=0.725384, val_dice=0.811862, infer_ms=2.477
epoch=9, train_loss=0.264403, val_miou=0.748060, val_dice=0.835356, infer_ms=2.521
epoch=10, train_loss=0.279027, val_miou=0.706865, val_dice=0.794896, infer_ms=2.533
epoch=11, train_loss=0.260031, val_miou=0.821577, val_dice=0.895279, infer_ms=2.505
epoch=12, train_loss=0.240999, val_miou=0.792469, val_dice=0.874374, infer_ms=2.661
epoch=13, train_loss=0.250797, val_miou=0.827440, val_dice=0.895425, infer_ms=2.572
epoch=14, train_loss=0.230005, val_miou=0.829995, val_dice=0.898863, infer_ms=2.538
epoch=15, train_loss=0.227600, val_miou=0.838261, val_dice=0.903872, infer_ms=2.535
epoch=16, train_loss=0.228925, val_miou=0.812393, val_dice=0.885855, infer_ms=2.663
epoch=17, train_loss=0.210281, val_miou=0.828784, val_dice=0.896374, infer_ms=2.709
epoch=18, train_loss=0.208616, val_miou=0.842594, val_dice=0.910013, infer_ms=2.806
epoch=19, train_loss=0.204290, val_miou=0.846991, val_dice=0.909595, infer_ms=2.650
epoch=20, train_loss=0.198362, val_miou=0.834801, val_dice=0.904105, infer_ms=3.056
epoch=21, train_loss=0.195639, val_miou=0.783289, val_dice=0.861733, infer_ms=2.508
epoch=22, train_loss=0.188988, val_miou=0.851753, val_dice=0.913593, infer_ms=2.504
epoch=23, train_loss=0.189799, val_miou=0.820309, val_dice=0.888552, infer_ms=2.485
epoch=24, train_loss=0.170969, val_miou=0.858532, val_dice=0.917269, infer_ms=2.516
epoch=25, train_loss=0.180811, val_miou=0.763259, val_dice=0.844366, infer_ms=2.509
epoch=26, train_loss=0.168147, val_miou=0.854944, val_dice=0.915325, infer_ms=2.512
epoch=27, train_loss=0.170882, val_miou=0.846994, val_dice=0.908524, infer_ms=2.505
epoch=28, train_loss=0.161740, val_miou=0.868691, val_dice=0.923239, infer_ms=2.498
epoch=29, train_loss=0.151351, val_miou=0.884970, val_dice=0.933007, infer_ms=2.472
epoch=30, train_loss=0.142776, val_miou=0.853845, val_dice=0.913228, infer_ms=2.493
epoch=31, train_loss=0.148755, val_miou=0.850919, val_dice=0.910587, infer_ms=2.482
epoch=32, train_loss=0.143415, val_miou=0.876721, val_dice=0.928430, infer_ms=2.470
epoch=33, train_loss=0.141248, val_miou=0.881493, val_dice=0.931023, infer_ms=2.497
epoch=34, train_loss=0.129455, val_miou=0.881736, val_dice=0.931432, infer_ms=2.516
epoch=35, train_loss=0.139025, val_miou=0.882725, val_dice=0.931966, infer_ms=2.509
epoch=36, train_loss=0.133799, val_miou=0.882876, val_dice=0.932706, infer_ms=2.520
epoch=37, train_loss=0.128323, val_miou=0.889572, val_dice=0.936781, infer_ms=2.512
epoch=38, train_loss=0.125541, val_miou=0.884253, val_dice=0.932653, infer_ms=2.502
epoch=39, train_loss=0.128859, val_miou=0.887097, val_dice=0.934641, infer_ms=2.483
epoch=40, train_loss=0.120706, val_miou=0.880530, val_dice=0.929962, infer_ms=2.500
epoch=41, train_loss=0.125332, val_miou=0.883006, val_dice=0.931942, infer_ms=2.482
epoch=42, train_loss=0.121603, val_miou=0.887570, val_dice=0.935190, infer_ms=2.507
epoch=43, train_loss=0.118646, val_miou=0.885360, val_dice=0.933530, infer_ms=2.486
epoch=44, train_loss=0.115079, val_miou=0.885364, val_dice=0.933093, infer_ms=2.490
epoch=45, train_loss=0.118365, val_miou=0.885392, val_dice=0.933132, infer_ms=2.493
epoch=46, train_loss=0.115241, val_miou=0.888057, val_dice=0.935452, infer_ms=2.506
epoch=47, train_loss=0.116346, val_miou=0.887374, val_dice=0.934848, infer_ms=2.487
epoch=48, train_loss=0.116233, val_miou=0.886506, val_dice=0.934123, infer_ms=2.525
epoch=49, train_loss=0.115680, val_miou=0.886447, val_dice=0.934107, infer_ms=2.532
