method=FCN + Optimized FA-DCG, seed=2024
epoch=0, train_loss=0.500428, val_miou=0.687264, val_dice=0.795740, infer_ms=2.575
epoch=1, train_loss=0.425264, val_miou=0.590804, val_dice=0.680243, infer_ms=1.145
epoch=2, train_loss=0.396781, val_miou=0.697880, val_dice=0.791505, infer_ms=1.054
epoch=3, train_loss=0.370554, val_miou=0.626647, val_dice=0.707952, infer_ms=1.051
epoch=4, train_loss=0.340687, val_miou=0.728866, val_dice=0.832439, infer_ms=1.055
epoch=5, train_loss=0.353541, val_miou=0.679189, val_dice=0.772841, infer_ms=1.098
epoch=6, train_loss=0.343359, val_miou=0.757182, val_dice=0.853105, infer_ms=1.091
epoch=7, train_loss=0.322161, val_miou=0.705514, val_dice=0.805837, infer_ms=1.104
epoch=8, train_loss=0.317816, val_miou=0.767339, val_dice=0.858585, infer_ms=1.067
epoch=9, train_loss=0.310745, val_miou=0.752913, val_dice=0.838081, infer_ms=1.074
epoch=10, train_loss=0.288697, val_miou=0.767844, val_dice=0.858363, infer_ms=1.066
epoch=11, train_loss=0.294633, val_miou=0.756291, val_dice=0.846953, infer_ms=1.100
epoch=12, train_loss=0.287001, val_miou=0.782816, val_dice=0.863242, infer_ms=1.101
epoch=13, train_loss=0.273566, val_miou=0.756688, val_dice=0.842737, infer_ms=1.066
epoch=14, train_loss=0.286431, val_miou=0.798123, val_dice=0.874856, infer_ms=1.095
epoch=15, train_loss=0.265675, val_miou=0.781104, val_dice=0.864046, infer_ms=1.082
epoch=16, train_loss=0.255355, val_miou=0.771808, val_dice=0.856667, infer_ms=1.119
epoch=17, train_loss=0.257845, val_miou=0.698619, val_dice=0.784692, infer_ms=1.106
epoch=18, train_loss=0.256286, val_miou=0.740978, val_dice=0.827062, infer_ms=1.103
epoch=19, train_loss=0.248004, val_miou=0.732748, val_dice=0.819282, infer_ms=1.094
epoch=20, train_loss=0.236504, val_miou=0.802359, val_dice=0.875603, infer_ms=1.129
epoch=21, train_loss=0.234656, val_miou=0.803685, val_dice=0.879852, infer_ms=1.084
epoch=22, train_loss=0.237627, val_miou=0.798601, val_dice=0.872771, infer_ms=1.073
epoch=23, train_loss=0.233515, val_miou=0.814740, val_dice=0.886664, infer_ms=1.078
epoch=24, train_loss=0.228282, val_miou=0.812112, val_dice=0.883513, infer_ms=1.091
epoch=25, train_loss=0.221652, val_miou=0.788388, val_dice=0.872788, infer_ms=1.073
epoch=26, train_loss=0.213338, val_miou=0.793422, val_dice=0.869906, infer_ms=1.086
epoch=27, train_loss=0.229169, val_miou=0.815418, val_dice=0.889782, infer_ms=1.079
epoch=28, train_loss=0.216883, val_miou=0.798652, val_dice=0.873685, infer_ms=1.067
epoch=29, train_loss=0.210289, val_miou=0.813793, val_dice=0.886801, infer_ms=1.084
epoch=30, train_loss=0.201032, val_miou=0.821998, val_dice=0.892491, infer_ms=1.079
epoch=31, train_loss=0.195038, val_miou=0.823181, val_dice=0.891493, infer_ms=1.096
epoch=32, train_loss=0.197426, val_miou=0.830286, val_dice=0.897437, infer_ms=1.116
epoch=33, train_loss=0.191472, val_miou=0.833763, val_dice=0.899555, infer_ms=1.070
epoch=34, train_loss=0.192067, val_miou=0.828975, val_dice=0.896441, infer_ms=1.094
epoch=35, train_loss=0.187927, val_miou=0.828788, val_dice=0.896301, infer_ms=1.082
epoch=36, train_loss=0.191682, val_miou=0.837827, val_dice=0.903140, infer_ms=1.074
epoch=37, train_loss=0.182394, val_miou=0.832323, val_dice=0.899111, infer_ms=1.065
epoch=38, train_loss=0.183474, val_miou=0.838349, val_dice=0.903827, infer_ms=1.075
epoch=39, train_loss=0.182958, val_miou=0.832402, val_dice=0.899418, infer_ms=1.095
epoch=40, train_loss=0.176493, val_miou=0.829814, val_dice=0.896864, infer_ms=1.055
epoch=41, train_loss=0.175867, val_miou=0.840143, val_dice=0.905423, infer_ms=1.078
epoch=42, train_loss=0.173992, val_miou=0.842804, val_dice=0.905853, infer_ms=1.075
epoch=43, train_loss=0.174643, val_miou=0.841332, val_dice=0.904701, infer_ms=1.068
epoch=44, train_loss=0.170471, val_miou=0.839593, val_dice=0.903752, infer_ms=1.050
epoch=45, train_loss=0.168855, val_miou=0.840535, val_dice=0.904762, infer_ms=1.071
epoch=46, train_loss=0.170788, val_miou=0.841982, val_dice=0.905550, infer_ms=1.103
epoch=47, train_loss=0.171423, val_miou=0.838947, val_dice=0.903197, infer_ms=1.077
epoch=48, train_loss=0.168376, val_miou=0.840577, val_dice=0.904877, infer_ms=1.074
epoch=49, train_loss=0.167398, val_miou=0.842166, val_dice=0.905715, infer_ms=1.088
