method=U-Net + Optimized FA-DCG, seed=2024
epoch=0, train_loss=0.426098, val_miou=0.768306, val_dice=0.855704, infer_ms=2.800
epoch=1, train_loss=0.363839, val_miou=0.540415, val_dice=0.596405, infer_ms=2.600
epoch=2, train_loss=0.351269, val_miou=0.768559, val_dice=0.865069, infer_ms=2.600
epoch=3, train_loss=0.314097, val_miou=0.795165, val_dice=0.881504, infer_ms=2.555
epoch=4, train_loss=0.310108, val_miou=0.741953, val_dice=0.830838, infer_ms=2.556
epoch=5, train_loss=0.299565, val_miou=0.780965, val_dice=0.864383, infer_ms=2.568
epoch=6, train_loss=0.291977, val_miou=0.763066, val_dice=0.866560, infer_ms=2.623
epoch=7, train_loss=0.272951, val_miou=0.815265, val_dice=0.892433, infer_ms=2.576
epoch=8, train_loss=0.261013, val_miou=0.813609, val_dice=0.889167, infer_ms=2.560
epoch=9, train_loss=0.259903, val_miou=0.820103, val_dice=0.891349, infer_ms=2.575
epoch=10, train_loss=0.238725, val_miou=0.741120, val_dice=0.828265, infer_ms=2.576
epoch=11, train_loss=0.244720, val_miou=0.809620, val_dice=0.886647, infer_ms=2.609
epoch=12, train_loss=0.247833, val_miou=0.823707, val_dice=0.889992, infer_ms=2.574
epoch=13, train_loss=0.229497, val_miou=0.796504, val_dice=0.871735, infer_ms=2.572
epoch=14, train_loss=0.228991, val_miou=0.835957, val_dice=0.903509, infer_ms=2.561
epoch=15, train_loss=0.209507, val_miou=0.826633, val_dice=0.901253, infer_ms=2.616
epoch=16, train_loss=0.208755, val_miou=0.838437, val_dice=0.906116, infer_ms=2.551
epoch=17, train_loss=0.204917, val_miou=0.825947, val_dice=0.891779, infer_ms=2.581
epoch=18, train_loss=0.203861, val_miou=0.842132, val_dice=0.906186, infer_ms=2.596
epoch=19, train_loss=0.197843, val_miou=0.829993, val_dice=0.896555, infer_ms=2.571
epoch=20, train_loss=0.184247, val_miou=0.861472, val_dice=0.917679, infer_ms=2.557
epoch=21, train_loss=0.175444, val_miou=0.862659, val_dice=0.919211, infer_ms=2.565
epoch=22, train_loss=0.179853, val_miou=0.853056, val_dice=0.911514, infer_ms=2.596
epoch=23, train_loss=0.176303, val_miou=0.862018, val_dice=0.918473, infer_ms=2.571
epoch=24, train_loss=0.173943, val_miou=0.872093, val_dice=0.925714, infer_ms=2.579
epoch=25, train_loss=0.164145, val_miou=0.876034, val_dice=0.928161, infer_ms=2.603
epoch=26, train_loss=0.158935, val_miou=0.872570, val_dice=0.923957, infer_ms=2.597
epoch=27, train_loss=0.160151, val_miou=0.866463, val_dice=0.922630, infer_ms=2.582
epoch=28, train_loss=0.161843, val_miou=0.881062, val_dice=0.930000, infer_ms=2.584
epoch=29, train_loss=0.150617, val_miou=0.882076, val_dice=0.930819, infer_ms=2.510
epoch=30, train_loss=0.144570, val_miou=0.875382, val_dice=0.927799, infer_ms=2.652
epoch=31, train_loss=0.139179, val_miou=0.870285, val_dice=0.924566, infer_ms=2.518
epoch=32, train_loss=0.144210, val_miou=0.868966, val_dice=0.923586, infer_ms=2.516
epoch=33, train_loss=0.133365, val_miou=0.892461, val_dice=0.938098, infer_ms=2.522
epoch=34, train_loss=0.134341, val_miou=0.880443, val_dice=0.930711, infer_ms=2.527
epoch=35, train_loss=0.129319, val_miou=0.887600, val_dice=0.935012, infer_ms=2.504
epoch=36, train_loss=0.126171, val_miou=0.883123, val_dice=0.932663, infer_ms=2.485
epoch=37, train_loss=0.120887, val_miou=0.885150, val_dice=0.933778, infer_ms=2.513
epoch=38, train_loss=0.125725, val_miou=0.889403, val_dice=0.936108, infer_ms=2.491
epoch=39, train_loss=0.117050, val_miou=0.887453, val_dice=0.934938, infer_ms=2.495
epoch=40, train_loss=0.116913, val_miou=0.888238, val_dice=0.935152, infer_ms=2.484
epoch=41, train_loss=0.115674, val_miou=0.889705, val_dice=0.936814, infer_ms=2.489
epoch=42, train_loss=0.117624, val_miou=0.890412, val_dice=0.936655, infer_ms=2.508
epoch=43, train_loss=0.113645, val_miou=0.891234, val_dice=0.937105, infer_ms=2.492
epoch=44, train_loss=0.109785, val_miou=0.887809, val_dice=0.934816, infer_ms=2.480
epoch=45, train_loss=0.109790, val_miou=0.890297, val_dice=0.936705, infer_ms=2.486
epoch=46, train_loss=0.112295, val_miou=0.888288, val_dice=0.935401, infer_ms=2.493
epoch=47, train_loss=0.114084, val_miou=0.890083, val_dice=0.936378, infer_ms=2.482
epoch=48, train_loss=0.108424, val_miou=0.889666, val_dice=0.936274, infer_ms=2.479
epoch=49, train_loss=0.109249, val_miou=0.891636, val_dice=0.937446, infer_ms=2.492
