method=FCN + FADC, seed=2024
epoch=0, train_loss=0.779833, val_miou=0.389583, val_dice=0.397914, infer_ms=2.067
epoch=1, train_loss=0.685970, val_miou=0.452347, val_dice=0.572236, infer_ms=1.346
epoch=2, train_loss=0.617281, val_miou=0.465388, val_dice=0.555595, infer_ms=1.402
epoch=3, train_loss=0.606320, val_miou=0.335824, val_dice=0.222494, infer_ms=1.424
epoch=4, train_loss=0.587625, val_miou=0.457560, val_dice=0.569596, infer_ms=1.435
epoch=5, train_loss=0.589700, val_miou=0.509864, val_dice=0.637766, infer_ms=1.406
epoch=6, train_loss=0.570656, val_miou=0.402991, val_dice=0.385533, infer_ms=1.345
epoch=7, train_loss=0.570916, val_miou=0.492145, val_dice=0.558697, infer_ms=1.443
epoch=8, train_loss=0.552903, val_miou=0.535894, val_dice=0.621860, infer_ms=1.399
epoch=9, train_loss=0.548058, val_miou=0.518209, val_dice=0.612442, infer_ms=1.384
epoch=10, train_loss=0.525849, val_miou=0.538314, val_dice=0.638853, infer_ms=1.361
epoch=11, train_loss=0.529151, val_miou=0.573261, val_dice=0.697030, infer_ms=1.401
epoch=12, train_loss=0.526263, val_miou=0.601129, val_dice=0.710936, infer_ms=1.401
epoch=13, train_loss=0.513196, val_miou=0.565931, val_dice=0.648453, infer_ms=1.343
epoch=14, train_loss=0.510131, val_miou=0.594858, val_dice=0.696185, infer_ms=1.338
epoch=15, train_loss=0.503544, val_miou=0.598945, val_dice=0.697469, infer_ms=1.417
epoch=16, train_loss=0.503699, val_miou=0.546595, val_dice=0.612366, infer_ms=1.375
epoch=17, train_loss=0.495591, val_miou=0.578764, val_dice=0.658110, infer_ms=1.412
epoch=18, train_loss=0.495427, val_miou=0.551265, val_dice=0.630629, infer_ms=1.439
epoch=19, train_loss=0.490276, val_miou=0.577501, val_dice=0.667600, infer_ms=1.452
epoch=20, train_loss=0.479696, val_miou=0.598085, val_dice=0.701730, infer_ms=1.550
epoch=21, train_loss=0.478018, val_miou=0.608995, val_dice=0.709502, infer_ms=1.432
epoch=22, train_loss=0.478843, val_miou=0.548282, val_dice=0.619491, infer_ms=1.380
epoch=23, train_loss=0.476895, val_miou=0.600101, val_dice=0.706607, infer_ms=1.401
epoch=24, train_loss=0.467114, val_miou=0.614731, val_dice=0.723405, infer_ms=1.466
epoch=25, train_loss=0.465713, val_miou=0.625324, val_dice=0.730180, infer_ms=1.422
epoch=26, train_loss=0.462294, val_miou=0.612528, val_dice=0.729241, infer_ms=1.341
epoch=27, train_loss=0.463307, val_miou=0.624663, val_dice=0.739475, infer_ms=1.333
epoch=28, train_loss=0.462775, val_miou=0.589155, val_dice=0.679518, infer_ms=1.408
epoch=29, train_loss=0.455955, val_miou=0.609613, val_dice=0.707070, infer_ms=1.408
epoch=30, train_loss=0.451527, val_miou=0.645906, val_dice=0.761262, infer_ms=1.397
epoch=31, train_loss=0.444007, val_miou=0.625375, val_dice=0.724571, infer_ms=1.429
epoch=32, train_loss=0.449529, val_miou=0.590916, val_dice=0.683325, infer_ms=1.352
epoch=33, train_loss=0.449159, val_miou=0.625426, val_dice=0.730490, infer_ms=1.345
epoch=34, train_loss=0.446557, val_miou=0.616430, val_dice=0.723792, infer_ms=1.349
epoch=35, train_loss=0.444475, val_miou=0.633401, val_dice=0.736194, infer_ms=1.404
epoch=36, train_loss=0.443477, val_miou=0.652200, val_dice=0.759453, infer_ms=1.369
epoch=37, train_loss=0.435175, val_miou=0.644457, val_dice=0.752365, infer_ms=1.391
epoch=38, train_loss=0.442045, val_miou=0.663577, val_dice=0.771850, infer_ms=1.448
epoch=39, train_loss=0.435152, val_miou=0.638642, val_dice=0.740021, infer_ms=1.332
epoch=40, train_loss=0.429631, val_miou=0.622915, val_dice=0.721712, infer_ms=1.346
epoch=41, train_loss=0.429879, val_miou=0.653984, val_dice=0.756189, infer_ms=1.384
epoch=42, train_loss=0.433977, val_miou=0.639394, val_dice=0.742941, infer_ms=1.379
epoch=43, train_loss=0.427326, val_miou=0.637657, val_dice=0.740360, infer_ms=1.435
epoch=44, train_loss=0.425002, val_miou=0.647744, val_dice=0.753814, infer_ms=1.527
epoch=45, train_loss=0.426669, val_miou=0.652334, val_dice=0.761995, infer_ms=1.435
epoch=46, train_loss=0.427624, val_miou=0.654546, val_dice=0.757623, infer_ms=1.438
epoch=47, train_loss=0.425510, val_miou=0.653744, val_dice=0.756825, infer_ms=1.428
epoch=48, train_loss=0.424013, val_miou=0.656281, val_dice=0.760377, infer_ms=1.382
epoch=49, train_loss=0.425930, val_miou=0.655958, val_dice=0.761022, infer_ms=1.403
