method=U-Net + FADC, seed=2024
epoch=0, train_loss=0.428393, val_miou=0.737611, val_dice=0.828938, infer_ms=3.489
epoch=1, train_loss=0.364535, val_miou=0.621993, val_dice=0.702585, infer_ms=2.984
epoch=2, train_loss=0.352225, val_miou=0.791614, val_dice=0.880202, infer_ms=3.041
epoch=3, train_loss=0.322197, val_miou=0.704553, val_dice=0.798117, infer_ms=2.964
epoch=4, train_loss=0.314296, val_miou=0.706178, val_dice=0.792638, infer_ms=3.024
epoch=5, train_loss=0.303985, val_miou=0.712875, val_dice=0.805109, infer_ms=2.991
epoch=6, train_loss=0.293431, val_miou=0.789303, val_dice=0.879710, infer_ms=2.958
epoch=7, train_loss=0.283867, val_miou=0.807004, val_dice=0.885123, infer_ms=2.976
epoch=8, train_loss=0.269493, val_miou=0.815518, val_dice=0.890677, infer_ms=2.965
epoch=9, train_loss=0.265227, val_miou=0.793058, val_dice=0.872545, infer_ms=3.027
epoch=10, train_loss=0.246982, val_miou=0.769607, val_dice=0.856401, infer_ms=2.983
epoch=11, train_loss=0.258497, val_miou=0.789446, val_dice=0.868600, infer_ms=3.051
epoch=12, train_loss=0.251300, val_miou=0.805504, val_dice=0.876526, infer_ms=2.982
epoch=13, train_loss=0.236876, val_miou=0.793358, val_dice=0.867900, infer_ms=2.978
epoch=14, train_loss=0.240765, val_miou=0.820084, val_dice=0.891354, infer_ms=2.984
epoch=15, train_loss=0.218670, val_miou=0.828344, val_dice=0.899074, infer_ms=2.964
epoch=16, train_loss=0.216818, val_miou=0.822491, val_dice=0.893192, infer_ms=3.037
epoch=17, train_loss=0.213460, val_miou=0.774241, val_dice=0.852521, infer_ms=2.998
epoch=18, train_loss=0.212760, val_miou=0.815761, val_dice=0.888490, infer_ms=2.983
epoch=19, train_loss=0.206879, val_miou=0.788302, val_dice=0.866487, infer_ms=2.950
epoch=20, train_loss=0.196975, val_miou=0.847909, val_dice=0.910645, infer_ms=2.994
epoch=21, train_loss=0.192159, val_miou=0.855967, val_dice=0.916988, infer_ms=3.012
epoch=22, train_loss=0.190449, val_miou=0.847482, val_dice=0.909975, infer_ms=3.011
epoch=23, train_loss=0.196384, val_miou=0.770729, val_dice=0.848445, infer_ms=3.028
epoch=24, train_loss=0.181948, val_miou=0.863707, val_dice=0.920846, infer_ms=3.002
epoch=25, train_loss=0.181882, val_miou=0.871083, val_dice=0.925036, infer_ms=2.956
epoch=26, train_loss=0.168480, val_miou=0.815221, val_dice=0.882112, infer_ms=3.003
epoch=27, train_loss=0.176028, val_miou=0.858593, val_dice=0.918150, infer_ms=2.982
epoch=28, train_loss=0.168968, val_miou=0.846163, val_dice=0.905890, infer_ms=2.955
epoch=29, train_loss=0.165464, val_miou=0.873320, val_dice=0.925897, infer_ms=3.038
epoch=30, train_loss=0.153877, val_miou=0.869118, val_dice=0.924535, infer_ms=2.974
epoch=31, train_loss=0.149806, val_miou=0.857691, val_dice=0.915360, infer_ms=2.996
epoch=32, train_loss=0.158770, val_miou=0.848400, val_dice=0.909267, infer_ms=3.025
epoch=33, train_loss=0.150109, val_miou=0.800187, val_dice=0.873296, infer_ms=2.942
epoch=34, train_loss=0.150098, val_miou=0.882865, val_dice=0.932419, infer_ms=3.020
epoch=35, train_loss=0.142060, val_miou=0.881528, val_dice=0.930971, infer_ms=2.981
epoch=36, train_loss=0.140867, val_miou=0.877080, val_dice=0.928939, infer_ms=3.000
epoch=37, train_loss=0.135094, val_miou=0.885967, val_dice=0.934129, infer_ms=2.960
epoch=38, train_loss=0.137107, val_miou=0.886516, val_dice=0.934341, infer_ms=3.015
epoch=39, train_loss=0.134480, val_miou=0.872299, val_dice=0.924902, infer_ms=2.984
epoch=40, train_loss=0.133980, val_miou=0.876353, val_dice=0.927236, infer_ms=2.946
epoch=41, train_loss=0.131131, val_miou=0.886672, val_dice=0.934661, infer_ms=2.968
epoch=42, train_loss=0.134210, val_miou=0.884899, val_dice=0.932857, infer_ms=2.995
epoch=43, train_loss=0.130577, val_miou=0.884554, val_dice=0.932589, infer_ms=2.986
epoch=44, train_loss=0.124929, val_miou=0.877036, val_dice=0.927439, infer_ms=3.009
epoch=45, train_loss=0.124414, val_miou=0.883183, val_dice=0.932023, infer_ms=3.008
epoch=46, train_loss=0.125599, val_miou=0.886124, val_dice=0.934001, infer_ms=2.980
epoch=47, train_loss=0.127780, val_miou=0.882770, val_dice=0.931479, infer_ms=3.008
epoch=48, train_loss=0.121561, val_miou=0.885543, val_dice=0.933611, infer_ms=3.012
epoch=49, train_loss=0.123346, val_miou=0.887575, val_dice=0.934839, infer_ms=3.008
