method=FCN + FA-DCG V2a, seed=2024
epoch=0, train_loss=0.494089, val_miou=0.705099, val_dice=0.806272, infer_ms=2.199
epoch=1, train_loss=0.419695, val_miou=0.564417, val_dice=0.649964, infer_ms=1.194
epoch=2, train_loss=0.389561, val_miou=0.757503, val_dice=0.850922, infer_ms=1.100
epoch=3, train_loss=0.358897, val_miou=0.685644, val_dice=0.771246, infer_ms=1.099
epoch=4, train_loss=0.340331, val_miou=0.705432, val_dice=0.809605, infer_ms=1.117
epoch=5, train_loss=0.340851, val_miou=0.602139, val_dice=0.690312, infer_ms=1.105
epoch=6, train_loss=0.340267, val_miou=0.733222, val_dice=0.826737, infer_ms=1.094
epoch=7, train_loss=0.327362, val_miou=0.755964, val_dice=0.847479, infer_ms=1.094
epoch=8, train_loss=0.309698, val_miou=0.774165, val_dice=0.861482, infer_ms=1.095
epoch=9, train_loss=0.306202, val_miou=0.766823, val_dice=0.854970, infer_ms=1.098
epoch=10, train_loss=0.283398, val_miou=0.763534, val_dice=0.850041, infer_ms=1.081
epoch=11, train_loss=0.293229, val_miou=0.756174, val_dice=0.849802, infer_ms=1.114
epoch=12, train_loss=0.285932, val_miou=0.730314, val_dice=0.815354, infer_ms=1.070
epoch=13, train_loss=0.276409, val_miou=0.793387, val_dice=0.874994, infer_ms=1.070
epoch=14, train_loss=0.282947, val_miou=0.803671, val_dice=0.881026, infer_ms=1.104
epoch=15, train_loss=0.261661, val_miou=0.765355, val_dice=0.853195, infer_ms=1.115
epoch=16, train_loss=0.253322, val_miou=0.734824, val_dice=0.819902, infer_ms=1.127
epoch=17, train_loss=0.251948, val_miou=0.771861, val_dice=0.851373, infer_ms=1.103
epoch=18, train_loss=0.255014, val_miou=0.766037, val_dice=0.852021, infer_ms=1.109
epoch=19, train_loss=0.242764, val_miou=0.758114, val_dice=0.840097, infer_ms=1.091
epoch=20, train_loss=0.239672, val_miou=0.805514, val_dice=0.879049, infer_ms=1.107
epoch=21, train_loss=0.231628, val_miou=0.798374, val_dice=0.875910, infer_ms=1.118
epoch=22, train_loss=0.228668, val_miou=0.766758, val_dice=0.847368, infer_ms=1.109
epoch=23, train_loss=0.235189, val_miou=0.802306, val_dice=0.877070, infer_ms=1.098
epoch=24, train_loss=0.226790, val_miou=0.819465, val_dice=0.889535, infer_ms=1.098
epoch=25, train_loss=0.225626, val_miou=0.816965, val_dice=0.889617, infer_ms=1.114
epoch=26, train_loss=0.208978, val_miou=0.765317, val_dice=0.846970, infer_ms=1.106
epoch=27, train_loss=0.220932, val_miou=0.821814, val_dice=0.892039, infer_ms=1.133
epoch=28, train_loss=0.213039, val_miou=0.813975, val_dice=0.884948, infer_ms=1.075
epoch=29, train_loss=0.205931, val_miou=0.820576, val_dice=0.890647, infer_ms=1.204
epoch=30, train_loss=0.198247, val_miou=0.831240, val_dice=0.898961, infer_ms=1.122
epoch=31, train_loss=0.191901, val_miou=0.829356, val_dice=0.896158, infer_ms=1.123
epoch=32, train_loss=0.194667, val_miou=0.836372, val_dice=0.900706, infer_ms=1.102
epoch=33, train_loss=0.190807, val_miou=0.827824, val_dice=0.895309, infer_ms=1.100
epoch=34, train_loss=0.189702, val_miou=0.833952, val_dice=0.900256, infer_ms=1.103
epoch=35, train_loss=0.188713, val_miou=0.831358, val_dice=0.897411, infer_ms=1.093
epoch=36, train_loss=0.187556, val_miou=0.840553, val_dice=0.905180, infer_ms=1.111
epoch=37, train_loss=0.178804, val_miou=0.835829, val_dice=0.901335, infer_ms=1.092
epoch=38, train_loss=0.178786, val_miou=0.844676, val_dice=0.907457, infer_ms=1.095
epoch=39, train_loss=0.180424, val_miou=0.841434, val_dice=0.905092, infer_ms=1.095
epoch=40, train_loss=0.174773, val_miou=0.836895, val_dice=0.901221, infer_ms=1.081
epoch=41, train_loss=0.174444, val_miou=0.843504, val_dice=0.906915, infer_ms=1.094
epoch=42, train_loss=0.172879, val_miou=0.844605, val_dice=0.907350, infer_ms=1.074
epoch=43, train_loss=0.170545, val_miou=0.844656, val_dice=0.906842, infer_ms=1.082
epoch=44, train_loss=0.169095, val_miou=0.840972, val_dice=0.904617, infer_ms=1.101
epoch=45, train_loss=0.167569, val_miou=0.844042, val_dice=0.907381, infer_ms=1.137
epoch=46, train_loss=0.167343, val_miou=0.842301, val_dice=0.906174, infer_ms=1.085
epoch=47, train_loss=0.170683, val_miou=0.844546, val_dice=0.906949, infer_ms=1.106
epoch=48, train_loss=0.165833, val_miou=0.845148, val_dice=0.907947, infer_ms=1.096
epoch=49, train_loss=0.166618, val_miou=0.847235, val_dice=0.909229, infer_ms=1.075
