method=FCN + FA-DCG V2b, seed=2024
epoch=0, train_loss=0.499016, val_miou=0.697535, val_dice=0.804225, infer_ms=2.373
epoch=1, train_loss=0.410512, val_miou=0.651979, val_dice=0.746013, infer_ms=1.266
epoch=2, train_loss=0.382759, val_miou=0.747935, val_dice=0.843494, infer_ms=1.355
epoch=3, train_loss=0.357119, val_miou=0.601664, val_dice=0.680000, infer_ms=1.334
epoch=4, train_loss=0.338775, val_miou=0.714496, val_dice=0.817864, infer_ms=1.174
epoch=5, train_loss=0.353579, val_miou=0.760770, val_dice=0.852139, infer_ms=1.202
epoch=6, train_loss=0.326622, val_miou=0.753094, val_dice=0.853845, infer_ms=1.161
epoch=7, train_loss=0.314453, val_miou=0.716140, val_dice=0.821997, infer_ms=1.240
epoch=8, train_loss=0.310957, val_miou=0.774021, val_dice=0.860648, infer_ms=1.224
epoch=9, train_loss=0.304457, val_miou=0.726914, val_dice=0.819852, infer_ms=1.191
epoch=10, train_loss=0.281102, val_miou=0.760453, val_dice=0.851170, infer_ms=1.275
epoch=11, train_loss=0.288237, val_miou=0.743748, val_dice=0.837455, infer_ms=1.256
epoch=12, train_loss=0.285512, val_miou=0.768325, val_dice=0.852325, infer_ms=1.215
epoch=13, train_loss=0.269589, val_miou=0.772279, val_dice=0.859124, infer_ms=1.274
epoch=14, train_loss=0.273782, val_miou=0.798528, val_dice=0.877853, infer_ms=1.335
epoch=15, train_loss=0.267808, val_miou=0.775129, val_dice=0.863238, infer_ms=1.247
epoch=16, train_loss=0.251607, val_miou=0.784713, val_dice=0.865028, infer_ms=1.331
epoch=17, train_loss=0.252861, val_miou=0.761904, val_dice=0.842103, infer_ms=1.190
epoch=18, train_loss=0.245756, val_miou=0.765572, val_dice=0.848956, infer_ms=1.298
epoch=19, train_loss=0.242013, val_miou=0.736910, val_dice=0.825961, infer_ms=1.273
epoch=20, train_loss=0.235852, val_miou=0.814068, val_dice=0.886095, infer_ms=1.231
epoch=21, train_loss=0.230449, val_miou=0.803267, val_dice=0.879466, infer_ms=1.216
epoch=22, train_loss=0.232850, val_miou=0.764652, val_dice=0.845480, infer_ms=1.268
epoch=23, train_loss=0.228544, val_miou=0.795175, val_dice=0.875145, infer_ms=1.276
epoch=24, train_loss=0.220523, val_miou=0.819089, val_dice=0.889616, infer_ms=1.194
epoch=25, train_loss=0.213932, val_miou=0.797612, val_dice=0.877760, infer_ms=1.191
epoch=26, train_loss=0.212100, val_miou=0.804211, val_dice=0.879037, infer_ms=1.198
epoch=27, train_loss=0.225723, val_miou=0.815412, val_dice=0.888359, infer_ms=1.256
epoch=28, train_loss=0.216485, val_miou=0.806572, val_dice=0.880582, infer_ms=1.184
epoch=29, train_loss=0.200892, val_miou=0.820095, val_dice=0.890041, infer_ms=1.172
epoch=30, train_loss=0.196165, val_miou=0.818892, val_dice=0.890146, infer_ms=1.222
epoch=31, train_loss=0.189056, val_miou=0.834856, val_dice=0.899813, infer_ms=1.197
epoch=32, train_loss=0.192322, val_miou=0.827167, val_dice=0.894860, infer_ms=1.227
epoch=33, train_loss=0.187993, val_miou=0.839303, val_dice=0.902681, infer_ms=1.197
epoch=34, train_loss=0.189826, val_miou=0.832670, val_dice=0.899204, infer_ms=1.242
epoch=35, train_loss=0.185022, val_miou=0.831677, val_dice=0.897595, infer_ms=1.229
epoch=36, train_loss=0.184925, val_miou=0.838271, val_dice=0.903071, infer_ms=1.214
epoch=37, train_loss=0.176952, val_miou=0.834622, val_dice=0.900760, infer_ms=1.214
epoch=38, train_loss=0.179536, val_miou=0.840821, val_dice=0.905471, infer_ms=1.266
epoch=39, train_loss=0.180362, val_miou=0.826705, val_dice=0.895114, infer_ms=1.170
epoch=40, train_loss=0.173078, val_miou=0.833389, val_dice=0.899096, infer_ms=1.146
epoch=41, train_loss=0.175610, val_miou=0.841485, val_dice=0.905798, infer_ms=1.196
epoch=42, train_loss=0.173185, val_miou=0.840209, val_dice=0.903864, infer_ms=1.253
epoch=43, train_loss=0.170746, val_miou=0.841958, val_dice=0.905392, infer_ms=1.187
epoch=44, train_loss=0.169012, val_miou=0.840452, val_dice=0.904553, infer_ms=1.187
epoch=45, train_loss=0.166292, val_miou=0.842661, val_dice=0.906207, infer_ms=1.205
epoch=46, train_loss=0.167886, val_miou=0.840511, val_dice=0.904730, infer_ms=1.228
epoch=47, train_loss=0.167352, val_miou=0.839130, val_dice=0.903017, infer_ms=1.160
epoch=48, train_loss=0.166653, val_miou=0.841381, val_dice=0.905362, infer_ms=1.165
epoch=49, train_loss=0.164055, val_miou=0.842149, val_dice=0.905712, infer_ms=1.234
