method=U-Net + FA-DCG V2b, seed=2024
epoch=0, train_loss=0.426030, val_miou=0.751277, val_dice=0.839257, infer_ms=2.905
epoch=1, train_loss=0.364260, val_miou=0.530278, val_dice=0.578999, infer_ms=2.667
epoch=2, train_loss=0.343276, val_miou=0.787365, val_dice=0.873217, infer_ms=2.680
epoch=3, train_loss=0.309650, val_miou=0.783110, val_dice=0.873920, infer_ms=2.634
epoch=4, train_loss=0.301573, val_miou=0.770774, val_dice=0.852963, infer_ms=2.626
epoch=5, train_loss=0.292182, val_miou=0.778929, val_dice=0.861059, infer_ms=2.680
epoch=6, train_loss=0.290838, val_miou=0.778806, val_dice=0.872161, infer_ms=2.651
epoch=7, train_loss=0.273064, val_miou=0.795130, val_dice=0.882246, infer_ms=2.676
epoch=8, train_loss=0.257097, val_miou=0.796120, val_dice=0.874051, infer_ms=2.641
epoch=9, train_loss=0.260623, val_miou=0.806009, val_dice=0.880079, infer_ms=2.632
epoch=10, train_loss=0.235920, val_miou=0.801431, val_dice=0.883983, infer_ms=2.648
epoch=11, train_loss=0.249633, val_miou=0.806881, val_dice=0.883287, infer_ms=2.645
epoch=12, train_loss=0.245425, val_miou=0.825530, val_dice=0.891495, infer_ms=2.673
epoch=13, train_loss=0.224611, val_miou=0.821865, val_dice=0.890283, infer_ms=2.662
epoch=14, train_loss=0.228835, val_miou=0.827685, val_dice=0.896827, infer_ms=2.687
epoch=15, train_loss=0.199721, val_miou=0.843687, val_dice=0.908826, infer_ms=2.666
epoch=16, train_loss=0.201730, val_miou=0.839364, val_dice=0.905440, infer_ms=2.644
epoch=17, train_loss=0.199084, val_miou=0.832572, val_dice=0.897029, infer_ms=2.642
epoch=18, train_loss=0.198119, val_miou=0.832546, val_dice=0.899590, infer_ms=2.636
epoch=19, train_loss=0.188612, val_miou=0.830475, val_dice=0.897367, infer_ms=2.614
epoch=20, train_loss=0.178728, val_miou=0.850048, val_dice=0.910349, infer_ms=2.629
epoch=21, train_loss=0.179670, val_miou=0.867688, val_dice=0.923461, infer_ms=2.651
epoch=22, train_loss=0.176056, val_miou=0.764711, val_dice=0.845761, infer_ms=2.641
epoch=23, train_loss=0.178630, val_miou=0.849027, val_dice=0.908707, infer_ms=2.651
epoch=24, train_loss=0.169334, val_miou=0.873486, val_dice=0.925871, infer_ms=2.658
epoch=25, train_loss=0.165972, val_miou=0.866959, val_dice=0.922496, infer_ms=2.668
epoch=26, train_loss=0.157599, val_miou=0.865009, val_dice=0.918622, infer_ms=2.683
epoch=27, train_loss=0.155886, val_miou=0.874153, val_dice=0.927282, infer_ms=2.655
epoch=28, train_loss=0.158683, val_miou=0.877261, val_dice=0.927816, infer_ms=2.651
epoch=29, train_loss=0.149213, val_miou=0.880900, val_dice=0.930050, infer_ms=2.646
epoch=30, train_loss=0.140835, val_miou=0.868015, val_dice=0.922840, infer_ms=2.623
epoch=31, train_loss=0.135660, val_miou=0.880744, val_dice=0.930894, infer_ms=2.637
epoch=32, train_loss=0.138884, val_miou=0.879596, val_dice=0.929944, infer_ms=2.631
epoch=33, train_loss=0.132256, val_miou=0.891863, val_dice=0.937632, infer_ms=2.626
epoch=34, train_loss=0.130691, val_miou=0.876357, val_dice=0.928239, infer_ms=2.636
epoch=35, train_loss=0.128087, val_miou=0.890471, val_dice=0.936988, infer_ms=2.628
epoch=36, train_loss=0.124284, val_miou=0.883848, val_dice=0.932758, infer_ms=2.604
epoch=37, train_loss=0.120694, val_miou=0.886502, val_dice=0.934283, infer_ms=2.641
epoch=38, train_loss=0.124464, val_miou=0.883152, val_dice=0.932056, infer_ms=2.627
epoch=39, train_loss=0.116170, val_miou=0.888560, val_dice=0.935262, infer_ms=2.687
epoch=40, train_loss=0.114558, val_miou=0.889144, val_dice=0.935580, infer_ms=2.631
epoch=41, train_loss=0.114607, val_miou=0.889260, val_dice=0.936395, infer_ms=2.666
epoch=42, train_loss=0.115847, val_miou=0.888157, val_dice=0.935065, infer_ms=2.628
epoch=43, train_loss=0.112213, val_miou=0.890687, val_dice=0.936751, infer_ms=2.651
epoch=44, train_loss=0.109709, val_miou=0.888608, val_dice=0.935249, infer_ms=2.650
epoch=45, train_loss=0.108416, val_miou=0.888764, val_dice=0.935716, infer_ms=2.669
epoch=46, train_loss=0.111115, val_miou=0.889555, val_dice=0.936193, infer_ms=2.678
epoch=47, train_loss=0.111824, val_miou=0.890487, val_dice=0.936559, infer_ms=2.650
epoch=48, train_loss=0.106824, val_miou=0.891016, val_dice=0.937026, infer_ms=2.663
epoch=49, train_loss=0.108158, val_miou=0.892354, val_dice=0.937855, infer_ms=2.644
