method=FCN + FA-DCG V2c, seed=2024
epoch=0, train_loss=0.497069, val_miou=0.712752, val_dice=0.811402, infer_ms=2.137
epoch=1, train_loss=0.418115, val_miou=0.521643, val_dice=0.578881, infer_ms=1.098
epoch=2, train_loss=0.395783, val_miou=0.748341, val_dice=0.838832, infer_ms=1.074
epoch=3, train_loss=0.369181, val_miou=0.707981, val_dice=0.792317, infer_ms=1.081
epoch=4, train_loss=0.343372, val_miou=0.659058, val_dice=0.770392, infer_ms=1.144
epoch=5, train_loss=0.340786, val_miou=0.631049, val_dice=0.724522, infer_ms=1.100
epoch=6, train_loss=0.347556, val_miou=0.736993, val_dice=0.828135, infer_ms=1.086
epoch=7, train_loss=0.327427, val_miou=0.767777, val_dice=0.855573, infer_ms=1.117
epoch=8, train_loss=0.309658, val_miou=0.763275, val_dice=0.859537, infer_ms=1.093
epoch=9, train_loss=0.306831, val_miou=0.771023, val_dice=0.855833, infer_ms=1.086
epoch=10, train_loss=0.285390, val_miou=0.751431, val_dice=0.844624, infer_ms=1.109
epoch=11, train_loss=0.296242, val_miou=0.755714, val_dice=0.850959, infer_ms=1.080
epoch=12, train_loss=0.289838, val_miou=0.777777, val_dice=0.858401, infer_ms=1.092
epoch=13, train_loss=0.273614, val_miou=0.792739, val_dice=0.875268, infer_ms=1.074
epoch=14, train_loss=0.275761, val_miou=0.808599, val_dice=0.883446, infer_ms=1.137
epoch=15, train_loss=0.265886, val_miou=0.767685, val_dice=0.856635, infer_ms=1.123
epoch=16, train_loss=0.252644, val_miou=0.781460, val_dice=0.862106, infer_ms=1.304
epoch=17, train_loss=0.252619, val_miou=0.741767, val_dice=0.827121, infer_ms=1.102
epoch=18, train_loss=0.258429, val_miou=0.796742, val_dice=0.874801, infer_ms=1.105
epoch=19, train_loss=0.247898, val_miou=0.784036, val_dice=0.861829, infer_ms=1.115
epoch=20, train_loss=0.238224, val_miou=0.814367, val_dice=0.887040, infer_ms=1.149
epoch=21, train_loss=0.232994, val_miou=0.785665, val_dice=0.865319, infer_ms=1.071
epoch=22, train_loss=0.235936, val_miou=0.791237, val_dice=0.868240, infer_ms=1.090
epoch=23, train_loss=0.232958, val_miou=0.807342, val_dice=0.882094, infer_ms=1.066
epoch=24, train_loss=0.220929, val_miou=0.817120, val_dice=0.888338, infer_ms=1.102
epoch=25, train_loss=0.221785, val_miou=0.807058, val_dice=0.884235, infer_ms=1.116
epoch=26, train_loss=0.212360, val_miou=0.788482, val_dice=0.865907, infer_ms=1.059
epoch=27, train_loss=0.222027, val_miou=0.818714, val_dice=0.888793, infer_ms=1.129
epoch=28, train_loss=0.214646, val_miou=0.813148, val_dice=0.883988, infer_ms=1.083
epoch=29, train_loss=0.204643, val_miou=0.824707, val_dice=0.892608, infer_ms=1.099
epoch=30, train_loss=0.199891, val_miou=0.821232, val_dice=0.890472, infer_ms=1.115
epoch=31, train_loss=0.191255, val_miou=0.832888, val_dice=0.898824, infer_ms=1.074
epoch=32, train_loss=0.196888, val_miou=0.825391, val_dice=0.893161, infer_ms=1.095
epoch=33, train_loss=0.189448, val_miou=0.830346, val_dice=0.895865, infer_ms=1.133
epoch=34, train_loss=0.189273, val_miou=0.831351, val_dice=0.898188, infer_ms=1.132
epoch=35, train_loss=0.189913, val_miou=0.823705, val_dice=0.891276, infer_ms=1.082
epoch=36, train_loss=0.187367, val_miou=0.838445, val_dice=0.903599, infer_ms=1.119
epoch=37, train_loss=0.179125, val_miou=0.838460, val_dice=0.902884, infer_ms=1.096
epoch=38, train_loss=0.178263, val_miou=0.845131, val_dice=0.907564, infer_ms=1.098
epoch=39, train_loss=0.180635, val_miou=0.835860, val_dice=0.900956, infer_ms=1.094
epoch=40, train_loss=0.174382, val_miou=0.835880, val_dice=0.900293, infer_ms=1.076
epoch=41, train_loss=0.175610, val_miou=0.845665, val_dice=0.908497, infer_ms=1.078
epoch=42, train_loss=0.174637, val_miou=0.845258, val_dice=0.907399, infer_ms=1.094
epoch=43, train_loss=0.171089, val_miou=0.844258, val_dice=0.906366, infer_ms=1.132
epoch=44, train_loss=0.168860, val_miou=0.842014, val_dice=0.905248, infer_ms=1.080
epoch=45, train_loss=0.168713, val_miou=0.845099, val_dice=0.907873, infer_ms=1.087
epoch=46, train_loss=0.166838, val_miou=0.845590, val_dice=0.907977, infer_ms=1.127
epoch=47, train_loss=0.170740, val_miou=0.841437, val_dice=0.904397, infer_ms=1.120
epoch=48, train_loss=0.165291, val_miou=0.845663, val_dice=0.908100, infer_ms=1.095
epoch=49, train_loss=0.166485, val_miou=0.846577, val_dice=0.908685, infer_ms=1.083
