method=U-Net + FA-DCG V2c, seed=2024
epoch=0, train_loss=0.428362, val_miou=0.734991, val_dice=0.827056, infer_ms=2.950
epoch=1, train_loss=0.364499, val_miou=0.548687, val_dice=0.611164, infer_ms=2.677
epoch=2, train_loss=0.340573, val_miou=0.807747, val_dice=0.885069, infer_ms=2.715
epoch=3, train_loss=0.309087, val_miou=0.788702, val_dice=0.877811, infer_ms=2.711
epoch=4, train_loss=0.307228, val_miou=0.732224, val_dice=0.818258, infer_ms=2.714
epoch=5, train_loss=0.290711, val_miou=0.711415, val_dice=0.799412, infer_ms=2.708
epoch=6, train_loss=0.286798, val_miou=0.762536, val_dice=0.866861, infer_ms=2.695
epoch=7, train_loss=0.269904, val_miou=0.816290, val_dice=0.892481, infer_ms=2.710
epoch=8, train_loss=0.257567, val_miou=0.741049, val_dice=0.827028, infer_ms=2.688
epoch=9, train_loss=0.258590, val_miou=0.816178, val_dice=0.887433, infer_ms=2.676
epoch=10, train_loss=0.235596, val_miou=0.806861, val_dice=0.888386, infer_ms=2.729
epoch=11, train_loss=0.243890, val_miou=0.795049, val_dice=0.873542, infer_ms=2.724
epoch=12, train_loss=0.237764, val_miou=0.792817, val_dice=0.866388, infer_ms=2.752
epoch=13, train_loss=0.217255, val_miou=0.814803, val_dice=0.884123, infer_ms=2.698
epoch=14, train_loss=0.219893, val_miou=0.834162, val_dice=0.902294, infer_ms=2.683
epoch=15, train_loss=0.199460, val_miou=0.843613, val_dice=0.909607, infer_ms=2.714
epoch=16, train_loss=0.201058, val_miou=0.849272, val_dice=0.912090, infer_ms=2.741
epoch=17, train_loss=0.195130, val_miou=0.831533, val_dice=0.897505, infer_ms=2.741
epoch=18, train_loss=0.198323, val_miou=0.848312, val_dice=0.910795, infer_ms=2.717
epoch=19, train_loss=0.193419, val_miou=0.834420, val_dice=0.899811, infer_ms=2.701
epoch=20, train_loss=0.179654, val_miou=0.857284, val_dice=0.914835, infer_ms=2.686
epoch=21, train_loss=0.169411, val_miou=0.863888, val_dice=0.920198, infer_ms=2.665
epoch=22, train_loss=0.173802, val_miou=0.861310, val_dice=0.918270, infer_ms=2.714
epoch=23, train_loss=0.168078, val_miou=0.867066, val_dice=0.921074, infer_ms=2.729
epoch=24, train_loss=0.161771, val_miou=0.874643, val_dice=0.927116, infer_ms=2.718
epoch=25, train_loss=0.159352, val_miou=0.878844, val_dice=0.930005, infer_ms=2.728
epoch=26, train_loss=0.151655, val_miou=0.875170, val_dice=0.925752, infer_ms=2.677
epoch=27, train_loss=0.150471, val_miou=0.875639, val_dice=0.928354, infer_ms=2.705
epoch=28, train_loss=0.152924, val_miou=0.874363, val_dice=0.925230, infer_ms=2.713
epoch=29, train_loss=0.143508, val_miou=0.886673, val_dice=0.934087, infer_ms=2.722
epoch=30, train_loss=0.135329, val_miou=0.885280, val_dice=0.933660, infer_ms=2.728
epoch=31, train_loss=0.128659, val_miou=0.878849, val_dice=0.929456, infer_ms=2.688
epoch=32, train_loss=0.131741, val_miou=0.875365, val_dice=0.927100, infer_ms=2.697
epoch=33, train_loss=0.126246, val_miou=0.878185, val_dice=0.929013, infer_ms=2.709
epoch=34, train_loss=0.127894, val_miou=0.882717, val_dice=0.932074, infer_ms=2.672
epoch=35, train_loss=0.122864, val_miou=0.885941, val_dice=0.933585, infer_ms=2.714
epoch=36, train_loss=0.118890, val_miou=0.881737, val_dice=0.931623, infer_ms=2.714
epoch=37, train_loss=0.114365, val_miou=0.885506, val_dice=0.933504, infer_ms=2.717
epoch=38, train_loss=0.115217, val_miou=0.890095, val_dice=0.936437, infer_ms=2.739
epoch=39, train_loss=0.110708, val_miou=0.888598, val_dice=0.935263, infer_ms=2.712
epoch=40, train_loss=0.110230, val_miou=0.886150, val_dice=0.933671, infer_ms=2.698
epoch=41, train_loss=0.108936, val_miou=0.890574, val_dice=0.936998, infer_ms=2.689
epoch=42, train_loss=0.111450, val_miou=0.889635, val_dice=0.936112, infer_ms=2.752
epoch=43, train_loss=0.108170, val_miou=0.891023, val_dice=0.936816, infer_ms=2.703
epoch=44, train_loss=0.102643, val_miou=0.886463, val_dice=0.933707, infer_ms=2.695
epoch=45, train_loss=0.103400, val_miou=0.888267, val_dice=0.935255, infer_ms=2.718
epoch=46, train_loss=0.105357, val_miou=0.888386, val_dice=0.935328, infer_ms=2.707
epoch=47, train_loss=0.107363, val_miou=0.888165, val_dice=0.934998, infer_ms=2.698
epoch=48, train_loss=0.101612, val_miou=0.888789, val_dice=0.935530, infer_ms=2.683
epoch=49, train_loss=0.102381, val_miou=0.890525, val_dice=0.936616, infer_ms=2.691
