method=FCN + FA-DCG V2d, seed=42
epoch=0, train_loss=0.516007, val_miou=0.532115, val_dice=0.611414, infer_ms=2.482
epoch=1, train_loss=0.450183, val_miou=0.728680, val_dice=0.817574, infer_ms=1.122
epoch=2, train_loss=0.395607, val_miou=0.738484, val_dice=0.831901, infer_ms=1.187
epoch=3, train_loss=0.383838, val_miou=0.753850, val_dice=0.850393, infer_ms=1.185
epoch=4, train_loss=0.367533, val_miou=0.688402, val_dice=0.793245, infer_ms=1.277
epoch=5, train_loss=0.355138, val_miou=0.725173, val_dice=0.818240, infer_ms=1.209
epoch=6, train_loss=0.332403, val_miou=0.736268, val_dice=0.825551, infer_ms=1.179
epoch=7, train_loss=0.326276, val_miou=0.612418, val_dice=0.701559, infer_ms=1.915
epoch=8, train_loss=0.316526, val_miou=0.713454, val_dice=0.801998, infer_ms=1.126
epoch=9, train_loss=0.311831, val_miou=0.688902, val_dice=0.777595, infer_ms=1.213
epoch=10, train_loss=0.299831, val_miou=0.747513, val_dice=0.830820, infer_ms=1.196
epoch=11, train_loss=0.290195, val_miou=0.781609, val_dice=0.863771, infer_ms=1.146
epoch=12, train_loss=0.282236, val_miou=0.756801, val_dice=0.857279, infer_ms=1.212
epoch=13, train_loss=0.298151, val_miou=0.763929, val_dice=0.847747, infer_ms=1.260
epoch=14, train_loss=0.274350, val_miou=0.785738, val_dice=0.863547, infer_ms=1.173
epoch=15, train_loss=0.278705, val_miou=0.798400, val_dice=0.875447, infer_ms=1.272
epoch=16, train_loss=0.268364, val_miou=0.791116, val_dice=0.870268, infer_ms=1.224
epoch=17, train_loss=0.254764, val_miou=0.790937, val_dice=0.866720, infer_ms=1.180
epoch=18, train_loss=0.251893, val_miou=0.794373, val_dice=0.870670, infer_ms=1.161
epoch=19, train_loss=0.250739, val_miou=0.802330, val_dice=0.878799, infer_ms=1.189
epoch=20, train_loss=0.238435, val_miou=0.778931, val_dice=0.865232, infer_ms=1.159
epoch=21, train_loss=0.242709, val_miou=0.809470, val_dice=0.882307, infer_ms=1.239
epoch=22, train_loss=0.239658, val_miou=0.793492, val_dice=0.877538, infer_ms=1.149
epoch=23, train_loss=0.238371, val_miou=0.763745, val_dice=0.848417, infer_ms=1.217
epoch=24, train_loss=0.220978, val_miou=0.807951, val_dice=0.880722, infer_ms=1.171
epoch=25, train_loss=0.226470, val_miou=0.788786, val_dice=0.873461, infer_ms=1.183
epoch=26, train_loss=0.217522, val_miou=0.801095, val_dice=0.879370, infer_ms=1.168
epoch=27, train_loss=0.218747, val_miou=0.783542, val_dice=0.861085, infer_ms=1.213
epoch=28, train_loss=0.208691, val_miou=0.813432, val_dice=0.887220, infer_ms=1.128
epoch=29, train_loss=0.207586, val_miou=0.813542, val_dice=0.886350, infer_ms=1.138
epoch=30, train_loss=0.199593, val_miou=0.823024, val_dice=0.890836, infer_ms=1.197
epoch=31, train_loss=0.201377, val_miou=0.816532, val_dice=0.888143, infer_ms=1.208
epoch=32, train_loss=0.199274, val_miou=0.823606, val_dice=0.892694, infer_ms=1.156
epoch=33, train_loss=0.191293, val_miou=0.826250, val_dice=0.893739, infer_ms=1.210
epoch=34, train_loss=0.189629, val_miou=0.814351, val_dice=0.884577, infer_ms=1.287
epoch=35, train_loss=0.187682, val_miou=0.828411, val_dice=0.897251, infer_ms=1.268
epoch=36, train_loss=0.186036, val_miou=0.828005, val_dice=0.894276, infer_ms=1.195
epoch=37, train_loss=0.183790, val_miou=0.829093, val_dice=0.897555, infer_ms=1.225
epoch=38, train_loss=0.178238, val_miou=0.828892, val_dice=0.895433, infer_ms=1.225
epoch=39, train_loss=0.180518, val_miou=0.836982, val_dice=0.901714, infer_ms=1.175
epoch=40, train_loss=0.178283, val_miou=0.826730, val_dice=0.894299, infer_ms=1.181
epoch=41, train_loss=0.176221, val_miou=0.829657, val_dice=0.896689, infer_ms=1.119
epoch=42, train_loss=0.176762, val_miou=0.834137, val_dice=0.899344, infer_ms=1.143
epoch=43, train_loss=0.172631, val_miou=0.836678, val_dice=0.901287, infer_ms=1.213
epoch=44, train_loss=0.173978, val_miou=0.836001, val_dice=0.900676, infer_ms=1.142
epoch=45, train_loss=0.172623, val_miou=0.839030, val_dice=0.902706, infer_ms=1.197
epoch=46, train_loss=0.173150, val_miou=0.838219, val_dice=0.902557, infer_ms=1.208
epoch=47, train_loss=0.170321, val_miou=0.839014, val_dice=0.902576, infer_ms=1.228
epoch=48, train_loss=0.168967, val_miou=0.838380, val_dice=0.902399, infer_ms=1.131
epoch=49, train_loss=0.170163, val_miou=0.836266, val_dice=0.900847, infer_ms=1.224
