method=U-Net + FA-DCG V2d, seed=123
epoch=0, train_loss=0.466378, val_miou=0.711850, val_dice=0.813835, infer_ms=2.569
epoch=1, train_loss=0.375656, val_miou=0.772557, val_dice=0.858954, infer_ms=2.603
epoch=2, train_loss=0.352754, val_miou=0.743567, val_dice=0.839469, infer_ms=2.606
epoch=3, train_loss=0.329263, val_miou=0.669493, val_dice=0.761511, infer_ms=2.586
epoch=4, train_loss=0.316176, val_miou=0.694869, val_dice=0.784041, infer_ms=2.577
epoch=5, train_loss=0.291228, val_miou=0.679570, val_dice=0.768447, infer_ms=2.593
epoch=6, train_loss=0.306720, val_miou=0.815195, val_dice=0.890512, infer_ms=2.616
epoch=7, train_loss=0.286251, val_miou=0.772115, val_dice=0.853335, infer_ms=2.610
epoch=8, train_loss=0.265612, val_miou=0.822670, val_dice=0.895543, infer_ms=2.615
epoch=9, train_loss=0.266556, val_miou=0.824991, val_dice=0.896056, infer_ms=2.671
epoch=10, train_loss=0.243638, val_miou=0.807061, val_dice=0.879370, infer_ms=2.644
epoch=11, train_loss=0.242391, val_miou=0.672575, val_dice=0.761548, infer_ms=2.643
epoch=12, train_loss=0.234302, val_miou=0.797988, val_dice=0.875658, infer_ms=2.644
epoch=13, train_loss=0.228014, val_miou=0.835270, val_dice=0.900609, infer_ms=2.614
epoch=14, train_loss=0.219198, val_miou=0.833494, val_dice=0.898895, infer_ms=2.613
epoch=15, train_loss=0.217165, val_miou=0.831835, val_dice=0.895999, infer_ms=2.610
epoch=16, train_loss=0.219197, val_miou=0.831570, val_dice=0.901683, infer_ms=2.594
epoch=17, train_loss=0.203292, val_miou=0.847828, val_dice=0.907847, infer_ms=2.605
epoch=18, train_loss=0.202038, val_miou=0.822210, val_dice=0.889371, infer_ms=2.594
epoch=19, train_loss=0.198774, val_miou=0.857061, val_dice=0.916403, infer_ms=2.599
epoch=20, train_loss=0.190079, val_miou=0.848279, val_dice=0.908846, infer_ms=2.590
epoch=21, train_loss=0.179716, val_miou=0.863922, val_dice=0.920136, infer_ms=2.587
epoch=22, train_loss=0.176464, val_miou=0.859757, val_dice=0.917714, infer_ms=2.624
epoch=23, train_loss=0.183464, val_miou=0.789191, val_dice=0.866010, infer_ms=2.628
epoch=24, train_loss=0.171311, val_miou=0.874737, val_dice=0.928002, infer_ms=2.646
epoch=25, train_loss=0.162307, val_miou=0.863142, val_dice=0.919291, infer_ms=2.622
epoch=26, train_loss=0.158108, val_miou=0.863491, val_dice=0.917990, infer_ms=2.634
epoch=27, train_loss=0.155691, val_miou=0.882282, val_dice=0.932410, infer_ms=2.624
epoch=28, train_loss=0.146174, val_miou=0.886621, val_dice=0.933968, infer_ms=2.647
epoch=29, train_loss=0.147600, val_miou=0.885179, val_dice=0.934586, infer_ms=2.596
epoch=30, train_loss=0.135001, val_miou=0.881739, val_dice=0.931666, infer_ms=2.569
epoch=31, train_loss=0.130341, val_miou=0.876901, val_dice=0.928261, infer_ms=2.593
epoch=32, train_loss=0.142924, val_miou=0.889079, val_dice=0.936404, infer_ms=2.595
epoch=33, train_loss=0.133607, val_miou=0.882186, val_dice=0.931583, infer_ms=2.590
epoch=34, train_loss=0.128832, val_miou=0.886053, val_dice=0.934192, infer_ms=2.592
epoch=35, train_loss=0.121465, val_miou=0.887339, val_dice=0.934590, infer_ms=2.598
epoch=36, train_loss=0.121567, val_miou=0.886165, val_dice=0.934297, infer_ms=2.588
epoch=37, train_loss=0.120173, val_miou=0.874282, val_dice=0.926753, infer_ms=2.614
epoch=38, train_loss=0.121063, val_miou=0.893772, val_dice=0.939096, infer_ms=2.580
epoch=39, train_loss=0.114520, val_miou=0.893860, val_dice=0.938698, infer_ms=2.616
epoch=40, train_loss=0.111902, val_miou=0.887210, val_dice=0.934595, infer_ms=2.637
epoch=41, train_loss=0.115381, val_miou=0.889329, val_dice=0.936194, infer_ms=2.648
epoch=42, train_loss=0.116882, val_miou=0.891101, val_dice=0.937013, infer_ms=2.654
epoch=43, train_loss=0.110581, val_miou=0.893889, val_dice=0.938753, infer_ms=2.659
epoch=44, train_loss=0.110502, val_miou=0.894073, val_dice=0.939084, infer_ms=2.653
epoch=45, train_loss=0.108102, val_miou=0.895623, val_dice=0.940014, infer_ms=2.609
epoch=46, train_loss=0.107246, val_miou=0.889244, val_dice=0.935881, infer_ms=2.600
epoch=47, train_loss=0.112082, val_miou=0.892699, val_dice=0.938174, infer_ms=2.583
epoch=48, train_loss=0.108093, val_miou=0.892708, val_dice=0.938308, infer_ms=2.618
epoch=49, train_loss=0.109173, val_miou=0.893072, val_dice=0.938325, infer_ms=2.614
