method=FCN + FA-DCG V2d, seed=2024
epoch=0, train_loss=0.503545, val_miou=0.686564, val_dice=0.785590, infer_ms=2.452
epoch=1, train_loss=0.417050, val_miou=0.576727, val_dice=0.659657, infer_ms=1.161
epoch=2, train_loss=0.395429, val_miou=0.739349, val_dice=0.833044, infer_ms=1.278
epoch=3, train_loss=0.361692, val_miou=0.691220, val_dice=0.778741, infer_ms=1.248
epoch=4, train_loss=0.343917, val_miou=0.710372, val_dice=0.822986, infer_ms=1.239
epoch=5, train_loss=0.346751, val_miou=0.734507, val_dice=0.825751, infer_ms=1.204
epoch=6, train_loss=0.336229, val_miou=0.746908, val_dice=0.847155, infer_ms=1.192
epoch=7, train_loss=0.318585, val_miou=0.748866, val_dice=0.844605, infer_ms=1.144
epoch=8, train_loss=0.309722, val_miou=0.768268, val_dice=0.861836, infer_ms=1.187
epoch=9, train_loss=0.311741, val_miou=0.751894, val_dice=0.841872, infer_ms=1.144
epoch=10, train_loss=0.287165, val_miou=0.773911, val_dice=0.856734, infer_ms=1.228
epoch=11, train_loss=0.291207, val_miou=0.751402, val_dice=0.844414, infer_ms=1.176
epoch=12, train_loss=0.291505, val_miou=0.772200, val_dice=0.855239, infer_ms=1.162
epoch=13, train_loss=0.276221, val_miou=0.770976, val_dice=0.855143, infer_ms=1.226
epoch=14, train_loss=0.279731, val_miou=0.794640, val_dice=0.873820, infer_ms=1.196
epoch=15, train_loss=0.264286, val_miou=0.785131, val_dice=0.865819, infer_ms=1.202
epoch=16, train_loss=0.258068, val_miou=0.769237, val_dice=0.853128, infer_ms=1.179
epoch=17, train_loss=0.252012, val_miou=0.780381, val_dice=0.856983, infer_ms=1.179
epoch=18, train_loss=0.248207, val_miou=0.787427, val_dice=0.868851, infer_ms=1.130
epoch=19, train_loss=0.244998, val_miou=0.787714, val_dice=0.868156, infer_ms=1.173
epoch=20, train_loss=0.235742, val_miou=0.780634, val_dice=0.859315, infer_ms=1.115
epoch=21, train_loss=0.235091, val_miou=0.802734, val_dice=0.878875, infer_ms=1.223
epoch=22, train_loss=0.230250, val_miou=0.795631, val_dice=0.871207, infer_ms=1.176
epoch=23, train_loss=0.226632, val_miou=0.772295, val_dice=0.855653, infer_ms=1.133
epoch=24, train_loss=0.225158, val_miou=0.803392, val_dice=0.878533, infer_ms=1.124
epoch=25, train_loss=0.215156, val_miou=0.808716, val_dice=0.885338, infer_ms=1.138
epoch=26, train_loss=0.210580, val_miou=0.795348, val_dice=0.872950, infer_ms=1.173
epoch=27, train_loss=0.220219, val_miou=0.813050, val_dice=0.884901, infer_ms=1.290
epoch=28, train_loss=0.213002, val_miou=0.803243, val_dice=0.877350, infer_ms=1.246
epoch=29, train_loss=0.206255, val_miou=0.817664, val_dice=0.888361, infer_ms=1.187
epoch=30, train_loss=0.196770, val_miou=0.829914, val_dice=0.897554, infer_ms=1.186
epoch=31, train_loss=0.188070, val_miou=0.838326, val_dice=0.902715, infer_ms=1.182
epoch=32, train_loss=0.194802, val_miou=0.840206, val_dice=0.903470, infer_ms=1.203
epoch=33, train_loss=0.189213, val_miou=0.839812, val_dice=0.903649, infer_ms=1.174
epoch=34, train_loss=0.189883, val_miou=0.830354, val_dice=0.897813, infer_ms=1.175
epoch=35, train_loss=0.189842, val_miou=0.830877, val_dice=0.898056, infer_ms=1.175
epoch=36, train_loss=0.184781, val_miou=0.844098, val_dice=0.907050, infer_ms=1.160
epoch=37, train_loss=0.177732, val_miou=0.836196, val_dice=0.901306, infer_ms=1.176
epoch=38, train_loss=0.179452, val_miou=0.845364, val_dice=0.908284, infer_ms=1.120
epoch=39, train_loss=0.179510, val_miou=0.839624, val_dice=0.903502, infer_ms=1.154
epoch=40, train_loss=0.173729, val_miou=0.834567, val_dice=0.899779, infer_ms=1.137
epoch=41, train_loss=0.174592, val_miou=0.842819, val_dice=0.906336, infer_ms=1.136
epoch=42, train_loss=0.173862, val_miou=0.844758, val_dice=0.907265, infer_ms=1.251
epoch=43, train_loss=0.171332, val_miou=0.844419, val_dice=0.906711, infer_ms=1.161
epoch=44, train_loss=0.168188, val_miou=0.844102, val_dice=0.906567, infer_ms=1.248
epoch=45, train_loss=0.168353, val_miou=0.844080, val_dice=0.906885, infer_ms=1.230
epoch=46, train_loss=0.168662, val_miou=0.843987, val_dice=0.906720, infer_ms=1.166
epoch=47, train_loss=0.170036, val_miou=0.842881, val_dice=0.905686, infer_ms=1.152
epoch=48, train_loss=0.167363, val_miou=0.845103, val_dice=0.907616, infer_ms=1.215
epoch=49, train_loss=0.165688, val_miou=0.845975, val_dice=0.908181, infer_ms=1.225
