method=FCN + V1.1 after conv3, seed=2024, alpha_init=0.25
epoch=0, train_loss=0.781436, val_miou=0.450334, val_dice=0.570414, infer_ms=2.207
epoch=1, train_loss=0.660752, val_miou=0.430669, val_dice=0.521816, infer_ms=1.358
epoch=2, train_loss=0.626296, val_miou=0.355497, val_dice=0.264558, infer_ms=1.366
epoch=3, train_loss=0.610729, val_miou=0.491231, val_dice=0.590515, infer_ms=1.356
epoch=4, train_loss=0.607161, val_miou=0.477181, val_dice=0.559742, infer_ms=1.356
epoch=5, train_loss=0.601770, val_miou=0.503159, val_dice=0.591928, infer_ms=1.374
epoch=6, train_loss=0.598601, val_miou=0.417079, val_dice=0.417860, infer_ms=1.370
epoch=7, train_loss=0.597163, val_miou=0.357339, val_dice=0.275423, infer_ms=1.281
epoch=8, train_loss=0.570972, val_miou=0.366970, val_dice=0.299059, infer_ms=1.361
epoch=9, train_loss=0.570080, val_miou=0.502088, val_dice=0.688673, infer_ms=1.450
epoch=10, train_loss=0.546344, val_miou=0.385037, val_dice=0.316758, infer_ms=1.364
epoch=11, train_loss=0.532856, val_miou=0.573748, val_dice=0.690903, infer_ms=1.349
epoch=12, train_loss=0.526295, val_miou=0.557945, val_dice=0.640671, infer_ms=1.357
epoch=13, train_loss=0.514266, val_miou=0.555363, val_dice=0.633757, infer_ms=1.402
epoch=14, train_loss=0.509151, val_miou=0.572523, val_dice=0.656692, infer_ms=1.303
epoch=15, train_loss=0.505812, val_miou=0.594525, val_dice=0.693800, infer_ms=1.325
epoch=16, train_loss=0.498815, val_miou=0.579910, val_dice=0.668033, infer_ms=1.284
epoch=17, train_loss=0.490900, val_miou=0.593412, val_dice=0.685178, infer_ms=1.355
epoch=18, train_loss=0.500182, val_miou=0.539490, val_dice=0.617692, infer_ms=1.330
epoch=19, train_loss=0.491174, val_miou=0.612358, val_dice=0.702916, infer_ms=1.335
epoch=20, train_loss=0.482179, val_miou=0.534027, val_dice=0.594608, infer_ms=1.328
epoch=21, train_loss=0.475161, val_miou=0.617109, val_dice=0.734378, infer_ms=1.405
epoch=22, train_loss=0.481774, val_miou=0.515689, val_dice=0.576238, infer_ms=1.375
epoch=23, train_loss=0.469920, val_miou=0.589659, val_dice=0.678798, infer_ms=1.339
epoch=24, train_loss=0.466490, val_miou=0.634216, val_dice=0.744208, infer_ms=1.375
epoch=25, train_loss=0.465783, val_miou=0.636289, val_dice=0.754484, infer_ms=1.288
epoch=26, train_loss=0.458714, val_miou=0.615492, val_dice=0.730463, infer_ms=1.305
epoch=27, train_loss=0.464534, val_miou=0.641092, val_dice=0.748327, infer_ms=1.287
epoch=28, train_loss=0.458810, val_miou=0.627687, val_dice=0.725276, infer_ms=1.238
epoch=29, train_loss=0.455248, val_miou=0.636568, val_dice=0.743565, infer_ms=1.270
epoch=30, train_loss=0.450584, val_miou=0.626434, val_dice=0.736095, infer_ms=1.307
epoch=31, train_loss=0.444718, val_miou=0.635436, val_dice=0.741673, infer_ms=1.250
epoch=32, train_loss=0.448230, val_miou=0.635583, val_dice=0.739002, infer_ms=1.246
epoch=33, train_loss=0.443824, val_miou=0.631745, val_dice=0.739057, infer_ms=1.283
epoch=34, train_loss=0.438449, val_miou=0.621975, val_dice=0.725340, infer_ms=1.320
epoch=35, train_loss=0.438587, val_miou=0.627039, val_dice=0.725191, infer_ms=1.330
epoch=36, train_loss=0.434520, val_miou=0.653409, val_dice=0.756980, infer_ms=1.287
epoch=37, train_loss=0.435784, val_miou=0.644801, val_dice=0.754713, infer_ms=1.275
epoch=38, train_loss=0.436747, val_miou=0.642318, val_dice=0.742654, infer_ms=1.282
epoch=39, train_loss=0.430922, val_miou=0.634081, val_dice=0.735300, infer_ms=1.339
epoch=40, train_loss=0.428362, val_miou=0.623369, val_dice=0.719338, infer_ms=1.333
epoch=41, train_loss=0.429898, val_miou=0.640973, val_dice=0.744587, infer_ms=1.294
epoch=42, train_loss=0.429271, val_miou=0.630599, val_dice=0.738677, infer_ms=1.277
epoch=43, train_loss=0.427452, val_miou=0.633560, val_dice=0.738659, infer_ms=1.284
epoch=44, train_loss=0.424182, val_miou=0.642182, val_dice=0.747725, infer_ms=1.307
epoch=45, train_loss=0.421590, val_miou=0.637827, val_dice=0.745668, infer_ms=1.338
epoch=46, train_loss=0.425052, val_miou=0.644945, val_dice=0.749234, infer_ms=1.333
epoch=47, train_loss=0.422023, val_miou=0.640966, val_dice=0.747022, infer_ms=1.315
epoch=48, train_loss=0.419507, val_miou=0.650135, val_dice=0.757464, infer_ms=1.293
epoch=49, train_loss=0.420754, val_miou=0.653049, val_dice=0.760905, infer_ms=1.284
