method=FCN + V2d after conv3, seed=2024, alpha_init=0.25
epoch=0, train_loss=0.792081, val_miou=0.472949, val_dice=0.626769, infer_ms=1.541
epoch=1, train_loss=0.687772, val_miou=0.403939, val_dice=0.454908, infer_ms=1.310
epoch=2, train_loss=0.620769, val_miou=0.468678, val_dice=0.542188, infer_ms=1.362
epoch=3, train_loss=0.617217, val_miou=0.401862, val_dice=0.404332, infer_ms=1.298
epoch=4, train_loss=0.604121, val_miou=0.492858, val_dice=0.625183, infer_ms=1.342
epoch=5, train_loss=0.597638, val_miou=0.503553, val_dice=0.600611, infer_ms=1.356
epoch=6, train_loss=0.595557, val_miou=0.431954, val_dice=0.449870, infer_ms=1.326
epoch=7, train_loss=0.584771, val_miou=0.487488, val_dice=0.583889, infer_ms=1.365
epoch=8, train_loss=0.563681, val_miou=0.533055, val_dice=0.622541, infer_ms=1.344
epoch=9, train_loss=0.558234, val_miou=0.552054, val_dice=0.677489, infer_ms=1.307
epoch=10, train_loss=0.542407, val_miou=0.495087, val_dice=0.543155, infer_ms=1.340
epoch=11, train_loss=0.535768, val_miou=0.552184, val_dice=0.658132, infer_ms=1.318
epoch=12, train_loss=0.521810, val_miou=0.396912, val_dice=0.346491, infer_ms=1.351
epoch=13, train_loss=0.516619, val_miou=0.590352, val_dice=0.706192, infer_ms=1.346
epoch=14, train_loss=0.505755, val_miou=0.576655, val_dice=0.663356, infer_ms=1.358
epoch=15, train_loss=0.497145, val_miou=0.589896, val_dice=0.685970, infer_ms=1.334
epoch=16, train_loss=0.495276, val_miou=0.603850, val_dice=0.706928, infer_ms=1.330
epoch=17, train_loss=0.494106, val_miou=0.593509, val_dice=0.693602, infer_ms=1.333
epoch=18, train_loss=0.494086, val_miou=0.543386, val_dice=0.617839, infer_ms=1.308
epoch=19, train_loss=0.483940, val_miou=0.554758, val_dice=0.626944, infer_ms=1.340
epoch=20, train_loss=0.474669, val_miou=0.544954, val_dice=0.612969, infer_ms=1.322
epoch=21, train_loss=0.471444, val_miou=0.612057, val_dice=0.725041, infer_ms=1.337
epoch=22, train_loss=0.476254, val_miou=0.524061, val_dice=0.591531, infer_ms=1.320
epoch=23, train_loss=0.466260, val_miou=0.617084, val_dice=0.714025, infer_ms=1.338
epoch=24, train_loss=0.467950, val_miou=0.628086, val_dice=0.741939, infer_ms=1.310
epoch=25, train_loss=0.457295, val_miou=0.627435, val_dice=0.729474, infer_ms=1.353
epoch=26, train_loss=0.456695, val_miou=0.589148, val_dice=0.702105, infer_ms=1.316
epoch=27, train_loss=0.461337, val_miou=0.625792, val_dice=0.738880, infer_ms=1.294
epoch=28, train_loss=0.457092, val_miou=0.621480, val_dice=0.721447, infer_ms=1.347
epoch=29, train_loss=0.454671, val_miou=0.620786, val_dice=0.718626, infer_ms=1.352
epoch=30, train_loss=0.448235, val_miou=0.636318, val_dice=0.743922, infer_ms=1.355
epoch=31, train_loss=0.442494, val_miou=0.617870, val_dice=0.717896, infer_ms=1.343
epoch=32, train_loss=0.446003, val_miou=0.624490, val_dice=0.723628, infer_ms=1.351
epoch=33, train_loss=0.441240, val_miou=0.643543, val_dice=0.749361, infer_ms=1.313
epoch=34, train_loss=0.438116, val_miou=0.630468, val_dice=0.734321, infer_ms=1.314
epoch=35, train_loss=0.435204, val_miou=0.638046, val_dice=0.737917, infer_ms=1.378
epoch=36, train_loss=0.433901, val_miou=0.645822, val_dice=0.752018, infer_ms=1.331
epoch=37, train_loss=0.431896, val_miou=0.649433, val_dice=0.755535, infer_ms=1.337
epoch=38, train_loss=0.436233, val_miou=0.652240, val_dice=0.755838, infer_ms=1.351
epoch=39, train_loss=0.429323, val_miou=0.637408, val_dice=0.737155, infer_ms=1.282
epoch=40, train_loss=0.425311, val_miou=0.638225, val_dice=0.738166, infer_ms=1.319
epoch=41, train_loss=0.430032, val_miou=0.657825, val_dice=0.759923, infer_ms=1.305
epoch=42, train_loss=0.427817, val_miou=0.653733, val_dice=0.758415, infer_ms=1.323
epoch=43, train_loss=0.422237, val_miou=0.638260, val_dice=0.738729, infer_ms=1.356
epoch=44, train_loss=0.419815, val_miou=0.660408, val_dice=0.764524, infer_ms=1.333
epoch=45, train_loss=0.419455, val_miou=0.653670, val_dice=0.757530, infer_ms=1.344
epoch=46, train_loss=0.421445, val_miou=0.652113, val_dice=0.753576, infer_ms=1.338
epoch=47, train_loss=0.419108, val_miou=0.653998, val_dice=0.756479, infer_ms=1.364
epoch=48, train_loss=0.418657, val_miou=0.660667, val_dice=0.765494, infer_ms=1.357
epoch=49, train_loss=0.419485, val_miou=0.659596, val_dice=0.762567, infer_ms=1.352
