method=U-Net + V1.1 after encoder3, seed=2024, alpha_init=0.25
epoch=0, train_loss=0.424578, val_miou=0.762104, val_dice=0.851408, infer_ms=2.740
epoch=1, train_loss=0.363348, val_miou=0.482138, val_dice=0.499807, infer_ms=2.734
epoch=2, train_loss=0.348298, val_miou=0.748386, val_dice=0.832453, infer_ms=2.702
epoch=3, train_loss=0.321400, val_miou=0.650462, val_dice=0.742595, infer_ms=2.617
epoch=4, train_loss=0.305078, val_miou=0.647490, val_dice=0.732817, infer_ms=2.580
epoch=5, train_loss=0.291135, val_miou=0.689977, val_dice=0.786029, infer_ms=2.573
epoch=6, train_loss=0.286352, val_miou=0.785209, val_dice=0.867975, infer_ms=2.572
epoch=7, train_loss=0.266133, val_miou=0.820852, val_dice=0.893280, infer_ms=2.580
epoch=8, train_loss=0.260553, val_miou=0.790349, val_dice=0.867576, infer_ms=2.582
epoch=9, train_loss=0.250935, val_miou=0.808394, val_dice=0.880900, infer_ms=2.610
epoch=10, train_loss=0.235486, val_miou=0.812723, val_dice=0.889527, infer_ms=2.591
epoch=11, train_loss=0.237579, val_miou=0.786843, val_dice=0.862801, infer_ms=2.577
epoch=12, train_loss=0.233345, val_miou=0.817695, val_dice=0.885671, infer_ms=2.578
epoch=13, train_loss=0.217640, val_miou=0.806201, val_dice=0.877572, infer_ms=2.576
epoch=14, train_loss=0.224563, val_miou=0.828406, val_dice=0.896423, infer_ms=2.564
epoch=15, train_loss=0.203719, val_miou=0.831213, val_dice=0.898562, infer_ms=2.592
epoch=16, train_loss=0.202280, val_miou=0.848832, val_dice=0.910118, infer_ms=2.601
epoch=17, train_loss=0.195362, val_miou=0.800337, val_dice=0.871609, infer_ms=2.598
epoch=18, train_loss=0.200450, val_miou=0.842521, val_dice=0.906814, infer_ms=2.584
epoch=19, train_loss=0.192261, val_miou=0.821915, val_dice=0.892203, infer_ms=2.583
epoch=20, train_loss=0.181886, val_miou=0.853907, val_dice=0.915610, infer_ms=2.613
epoch=21, train_loss=0.168072, val_miou=0.863007, val_dice=0.920496, infer_ms=2.591
epoch=22, train_loss=0.179798, val_miou=0.849111, val_dice=0.909623, infer_ms=2.586
epoch=23, train_loss=0.177585, val_miou=0.821836, val_dice=0.889036, infer_ms=2.644
epoch=24, train_loss=0.165657, val_miou=0.868138, val_dice=0.924035, infer_ms=2.612
epoch=25, train_loss=0.168507, val_miou=0.868399, val_dice=0.922608, infer_ms=2.619
epoch=26, train_loss=0.151385, val_miou=0.856669, val_dice=0.913362, infer_ms=2.620
epoch=27, train_loss=0.160930, val_miou=0.869992, val_dice=0.924766, infer_ms=2.589
epoch=28, train_loss=0.153726, val_miou=0.871490, val_dice=0.924170, infer_ms=2.583
epoch=29, train_loss=0.147451, val_miou=0.883457, val_dice=0.932727, infer_ms=2.631
epoch=30, train_loss=0.139342, val_miou=0.863908, val_dice=0.921592, infer_ms=2.642
epoch=31, train_loss=0.134657, val_miou=0.878173, val_dice=0.929360, infer_ms=2.634
epoch=32, train_loss=0.139196, val_miou=0.860662, val_dice=0.919544, infer_ms=2.609
epoch=33, train_loss=0.130151, val_miou=0.878706, val_dice=0.930213, infer_ms=2.638
epoch=34, train_loss=0.135033, val_miou=0.885491, val_dice=0.934160, infer_ms=2.604
epoch=35, train_loss=0.126902, val_miou=0.883281, val_dice=0.932298, infer_ms=2.595
epoch=36, train_loss=0.124821, val_miou=0.885252, val_dice=0.934298, infer_ms=2.626
epoch=37, train_loss=0.121216, val_miou=0.887795, val_dice=0.935279, infer_ms=2.573
epoch=38, train_loss=0.120036, val_miou=0.888685, val_dice=0.936085, infer_ms=2.604
epoch=39, train_loss=0.116484, val_miou=0.881951, val_dice=0.931780, infer_ms=2.587
epoch=40, train_loss=0.116225, val_miou=0.878736, val_dice=0.929519, infer_ms=2.590
epoch=41, train_loss=0.114246, val_miou=0.886722, val_dice=0.935174, infer_ms=2.626
epoch=42, train_loss=0.115967, val_miou=0.886354, val_dice=0.934550, infer_ms=2.619
epoch=43, train_loss=0.115173, val_miou=0.886415, val_dice=0.934359, infer_ms=2.592
epoch=44, train_loss=0.107923, val_miou=0.880909, val_dice=0.930523, infer_ms=2.592
epoch=45, train_loss=0.107456, val_miou=0.886682, val_dice=0.934643, infer_ms=2.571
epoch=46, train_loss=0.107830, val_miou=0.887728, val_dice=0.935443, infer_ms=2.585
epoch=47, train_loss=0.111561, val_miou=0.884365, val_dice=0.933092, infer_ms=2.552
epoch=48, train_loss=0.105156, val_miou=0.886218, val_dice=0.934460, infer_ms=2.586
epoch=49, train_loss=0.107235, val_miou=0.886444, val_dice=0.934638, infer_ms=2.569
