method=U-Net + V2d after encoder2, seed=2024, alpha_init=0.25
epoch=0, train_loss=0.425288, val_miou=0.746524, val_dice=0.834385, infer_ms=3.298
epoch=1, train_loss=0.369881, val_miou=0.504210, val_dice=0.534983, infer_ms=3.353
epoch=2, train_loss=0.347556, val_miou=0.786928, val_dice=0.869186, infer_ms=3.343
epoch=3, train_loss=0.316233, val_miou=0.751477, val_dice=0.841700, infer_ms=3.273
epoch=4, train_loss=0.299800, val_miou=0.747198, val_dice=0.835157, infer_ms=3.339
epoch=5, train_loss=0.296017, val_miou=0.695957, val_dice=0.792224, infer_ms=3.354
epoch=6, train_loss=0.284502, val_miou=0.781288, val_dice=0.872685, infer_ms=3.356
epoch=7, train_loss=0.265890, val_miou=0.777077, val_dice=0.858797, infer_ms=3.308
epoch=8, train_loss=0.254126, val_miou=0.818836, val_dice=0.895221, infer_ms=3.344
epoch=9, train_loss=0.246439, val_miou=0.830538, val_dice=0.901320, infer_ms=3.369
epoch=10, train_loss=0.224256, val_miou=0.830410, val_dice=0.900344, infer_ms=3.368
epoch=11, train_loss=0.241288, val_miou=0.765505, val_dice=0.846895, infer_ms=3.313
epoch=12, train_loss=0.230117, val_miou=0.827097, val_dice=0.895702, infer_ms=3.595
epoch=13, train_loss=0.216809, val_miou=0.817949, val_dice=0.887979, infer_ms=3.480
epoch=14, train_loss=0.225138, val_miou=0.792335, val_dice=0.867037, infer_ms=3.638
epoch=15, train_loss=0.195647, val_miou=0.848522, val_dice=0.912871, infer_ms=3.513
epoch=16, train_loss=0.194752, val_miou=0.846713, val_dice=0.910208, infer_ms=3.563
epoch=17, train_loss=0.194778, val_miou=0.723041, val_dice=0.804739, infer_ms=3.513
epoch=18, train_loss=0.200694, val_miou=0.846539, val_dice=0.910421, infer_ms=3.499
epoch=19, train_loss=0.184064, val_miou=0.833566, val_dice=0.901699, infer_ms=3.553
epoch=20, train_loss=0.181155, val_miou=0.829699, val_dice=0.899785, infer_ms=3.547
epoch=21, train_loss=0.169373, val_miou=0.862628, val_dice=0.920139, infer_ms=3.557
epoch=22, train_loss=0.181791, val_miou=0.850675, val_dice=0.910951, infer_ms=3.546
epoch=23, train_loss=0.168192, val_miou=0.847450, val_dice=0.909100, infer_ms=3.535
epoch=24, train_loss=0.171684, val_miou=0.854365, val_dice=0.915261, infer_ms=3.508
epoch=25, train_loss=0.165487, val_miou=0.858126, val_dice=0.916264, infer_ms=3.570
epoch=26, train_loss=0.153748, val_miou=0.836825, val_dice=0.898803, infer_ms=3.481
epoch=27, train_loss=0.163805, val_miou=0.868415, val_dice=0.924212, infer_ms=3.502
epoch=28, train_loss=0.156165, val_miou=0.875056, val_dice=0.926619, infer_ms=3.471
epoch=29, train_loss=0.152327, val_miou=0.875755, val_dice=0.928227, infer_ms=3.442
epoch=30, train_loss=0.138532, val_miou=0.853282, val_dice=0.915458, infer_ms=3.510
epoch=31, train_loss=0.137903, val_miou=0.874090, val_dice=0.927144, infer_ms=3.487
epoch=32, train_loss=0.142661, val_miou=0.861218, val_dice=0.919743, infer_ms=3.523
epoch=33, train_loss=0.132081, val_miou=0.866043, val_dice=0.922504, infer_ms=3.558
epoch=34, train_loss=0.134149, val_miou=0.877580, val_dice=0.929108, infer_ms=3.489
epoch=35, train_loss=0.128393, val_miou=0.880935, val_dice=0.931215, infer_ms=3.638
epoch=36, train_loss=0.125774, val_miou=0.873041, val_dice=0.927331, infer_ms=3.554
epoch=37, train_loss=0.123030, val_miou=0.876502, val_dice=0.928378, infer_ms=3.557
epoch=38, train_loss=0.127192, val_miou=0.869906, val_dice=0.924017, infer_ms=3.585
epoch=39, train_loss=0.120662, val_miou=0.872653, val_dice=0.926119, infer_ms=3.562
epoch=40, train_loss=0.119886, val_miou=0.868088, val_dice=0.922646, infer_ms=3.590
epoch=41, train_loss=0.119254, val_miou=0.879708, val_dice=0.931180, infer_ms=3.506
epoch=42, train_loss=0.120861, val_miou=0.873221, val_dice=0.926250, infer_ms=3.551
epoch=43, train_loss=0.118472, val_miou=0.874728, val_dice=0.927063, infer_ms=3.448
epoch=44, train_loss=0.111635, val_miou=0.874789, val_dice=0.926860, infer_ms=3.461
epoch=45, train_loss=0.111713, val_miou=0.873878, val_dice=0.926650, infer_ms=3.470
epoch=46, train_loss=0.113562, val_miou=0.878278, val_dice=0.929668, infer_ms=3.594
epoch=47, train_loss=0.115775, val_miou=0.874395, val_dice=0.926891, infer_ms=3.521
epoch=48, train_loss=0.110113, val_miou=0.876418, val_dice=0.928520, infer_ms=3.531
epoch=49, train_loss=0.111219, val_miou=0.875830, val_dice=0.927997, infer_ms=3.572
