architecture=fcn, variant=full, seed=2024
epoch=0, train_loss=0.505868, val_miou=0.667808, val_dice=0.761560, infer_ms=2.545
epoch=1, train_loss=0.414268, val_miou=0.637106, val_dice=0.729780, infer_ms=1.135
epoch=2, train_loss=0.389787, val_miou=0.757625, val_dice=0.849254, infer_ms=1.165
epoch=3, train_loss=0.361003, val_miou=0.620780, val_dice=0.701612, infer_ms=1.139
epoch=4, train_loss=0.344209, val_miou=0.652250, val_dice=0.752040, infer_ms=1.248
epoch=5, train_loss=0.351004, val_miou=0.630195, val_dice=0.724595, infer_ms=1.173
epoch=6, train_loss=0.334943, val_miou=0.750369, val_dice=0.845777, infer_ms=1.232
epoch=7, train_loss=0.314064, val_miou=0.742262, val_dice=0.841431, infer_ms=1.124
epoch=8, train_loss=0.302403, val_miou=0.752078, val_dice=0.849012, infer_ms=1.283
epoch=9, train_loss=0.306463, val_miou=0.772500, val_dice=0.855407, infer_ms=1.136
epoch=10, train_loss=0.282966, val_miou=0.775537, val_dice=0.858683, infer_ms=1.215
epoch=11, train_loss=0.292300, val_miou=0.745126, val_dice=0.836872, infer_ms=1.257
epoch=12, train_loss=0.293012, val_miou=0.767327, val_dice=0.848616, infer_ms=1.287
epoch=13, train_loss=0.277956, val_miou=0.771605, val_dice=0.857342, infer_ms=1.251
epoch=14, train_loss=0.284055, val_miou=0.782581, val_dice=0.864245, infer_ms=1.249
epoch=15, train_loss=0.263292, val_miou=0.767835, val_dice=0.849924, infer_ms=1.223
epoch=16, train_loss=0.259912, val_miou=0.768544, val_dice=0.850820, infer_ms=1.204
epoch=17, train_loss=0.253743, val_miou=0.793627, val_dice=0.868675, infer_ms=1.151
epoch=18, train_loss=0.247765, val_miou=0.789305, val_dice=0.870611, infer_ms=1.246
epoch=19, train_loss=0.241761, val_miou=0.769213, val_dice=0.851677, infer_ms=1.209
epoch=20, train_loss=0.233477, val_miou=0.733721, val_dice=0.820227, infer_ms=1.175
epoch=21, train_loss=0.232808, val_miou=0.800152, val_dice=0.877141, infer_ms=1.174
epoch=22, train_loss=0.231721, val_miou=0.789220, val_dice=0.867426, infer_ms=1.222
epoch=23, train_loss=0.223978, val_miou=0.793515, val_dice=0.872027, infer_ms=1.159
epoch=24, train_loss=0.223394, val_miou=0.810775, val_dice=0.883786, infer_ms=1.253
epoch=25, train_loss=0.218206, val_miou=0.807848, val_dice=0.883660, infer_ms=1.238
epoch=26, train_loss=0.212344, val_miou=0.802693, val_dice=0.878386, infer_ms=1.167
epoch=27, train_loss=0.218566, val_miou=0.809345, val_dice=0.881319, infer_ms=1.238
epoch=28, train_loss=0.212958, val_miou=0.806324, val_dice=0.879070, infer_ms=1.144
epoch=29, train_loss=0.204496, val_miou=0.818142, val_dice=0.889256, infer_ms=1.155
epoch=30, train_loss=0.198217, val_miou=0.820987, val_dice=0.890941, infer_ms=1.241
epoch=31, train_loss=0.187551, val_miou=0.837121, val_dice=0.901817, infer_ms=1.195
epoch=32, train_loss=0.194472, val_miou=0.833862, val_dice=0.898988, infer_ms=1.182
epoch=33, train_loss=0.187797, val_miou=0.833045, val_dice=0.898025, infer_ms=1.226
epoch=34, train_loss=0.191566, val_miou=0.832565, val_dice=0.899069, infer_ms=1.236
epoch=35, train_loss=0.187880, val_miou=0.834455, val_dice=0.899594, infer_ms=1.253
epoch=36, train_loss=0.184463, val_miou=0.842997, val_dice=0.906109, infer_ms=1.202
epoch=37, train_loss=0.178372, val_miou=0.837656, val_dice=0.901957, infer_ms=1.191
epoch=38, train_loss=0.179330, val_miou=0.844352, val_dice=0.906953, infer_ms=1.158
epoch=39, train_loss=0.177724, val_miou=0.842037, val_dice=0.905699, infer_ms=1.208
epoch=40, train_loss=0.172935, val_miou=0.835353, val_dice=0.899815, infer_ms=1.174
epoch=41, train_loss=0.172630, val_miou=0.845375, val_dice=0.907630, infer_ms=1.184
epoch=42, train_loss=0.173319, val_miou=0.843065, val_dice=0.906034, infer_ms=1.199
epoch=43, train_loss=0.170226, val_miou=0.841568, val_dice=0.904589, infer_ms=1.188
epoch=44, train_loss=0.166884, val_miou=0.842188, val_dice=0.905050, infer_ms=1.218
epoch=45, train_loss=0.166929, val_miou=0.843732, val_dice=0.906673, infer_ms=1.154
epoch=46, train_loss=0.168975, val_miou=0.843837, val_dice=0.906577, infer_ms=1.233
epoch=47, train_loss=0.168172, val_miou=0.841076, val_dice=0.904313, infer_ms=1.261
epoch=48, train_loss=0.165535, val_miou=0.842742, val_dice=0.905812, infer_ms=1.195
epoch=49, train_loss=0.165133, val_miou=0.845166, val_dice=0.907453, infer_ms=1.147
