architecture=fcn, variant=no_all_gates, seed=2024
epoch=0, train_loss=0.544700, val_miou=0.682239, val_dice=0.801564, infer_ms=1.100
epoch=1, train_loss=0.449747, val_miou=0.612210, val_dice=0.702748, infer_ms=1.132
epoch=2, train_loss=0.419945, val_miou=0.647923, val_dice=0.744811, infer_ms=1.135
epoch=3, train_loss=0.401213, val_miou=0.575986, val_dice=0.648142, infer_ms=1.123
epoch=4, train_loss=0.367631, val_miou=0.749102, val_dice=0.845862, infer_ms=1.138
epoch=5, train_loss=0.355264, val_miou=0.571786, val_dice=0.642845, infer_ms=1.121
epoch=6, train_loss=0.356366, val_miou=0.715789, val_dice=0.805214, infer_ms=1.095
epoch=7, train_loss=0.338942, val_miou=0.739907, val_dice=0.835488, infer_ms=1.068
epoch=8, train_loss=0.332890, val_miou=0.765908, val_dice=0.860323, infer_ms=1.068
epoch=9, train_loss=0.319179, val_miou=0.712653, val_dice=0.799045, infer_ms=1.113
epoch=10, train_loss=0.297778, val_miou=0.745885, val_dice=0.846956, infer_ms=1.150
epoch=11, train_loss=0.309723, val_miou=0.755023, val_dice=0.846189, infer_ms=1.113
epoch=12, train_loss=0.298541, val_miou=0.751161, val_dice=0.832946, infer_ms=1.150
epoch=13, train_loss=0.292527, val_miou=0.770500, val_dice=0.856398, infer_ms=1.168
epoch=14, train_loss=0.293310, val_miou=0.785575, val_dice=0.863061, infer_ms=1.066
epoch=15, train_loss=0.284242, val_miou=0.749950, val_dice=0.841621, infer_ms=1.118
epoch=16, train_loss=0.273118, val_miou=0.765018, val_dice=0.853717, infer_ms=1.109
epoch=17, train_loss=0.267365, val_miou=0.772634, val_dice=0.852812, infer_ms=1.149
epoch=18, train_loss=0.262184, val_miou=0.744046, val_dice=0.832619, infer_ms=1.120
epoch=19, train_loss=0.254910, val_miou=0.760675, val_dice=0.843545, infer_ms=1.085
epoch=20, train_loss=0.254371, val_miou=0.803986, val_dice=0.877457, infer_ms=1.138
epoch=21, train_loss=0.243338, val_miou=0.806528, val_dice=0.882093, infer_ms=1.061
epoch=22, train_loss=0.236629, val_miou=0.783377, val_dice=0.863657, infer_ms=1.073
epoch=23, train_loss=0.235229, val_miou=0.794673, val_dice=0.873435, infer_ms=1.094
epoch=24, train_loss=0.233479, val_miou=0.805326, val_dice=0.881546, infer_ms=1.120
epoch=25, train_loss=0.232079, val_miou=0.797577, val_dice=0.878046, infer_ms=1.148
epoch=26, train_loss=0.225827, val_miou=0.776936, val_dice=0.856178, infer_ms=1.095
epoch=27, train_loss=0.235190, val_miou=0.809290, val_dice=0.886678, infer_ms=1.109
epoch=28, train_loss=0.223947, val_miou=0.803815, val_dice=0.877393, infer_ms=1.111
epoch=29, train_loss=0.219159, val_miou=0.813558, val_dice=0.886307, infer_ms=1.087
epoch=30, train_loss=0.211097, val_miou=0.812028, val_dice=0.883656, infer_ms=1.079
epoch=31, train_loss=0.204317, val_miou=0.828973, val_dice=0.895704, infer_ms=1.120
epoch=32, train_loss=0.203214, val_miou=0.822859, val_dice=0.891149, infer_ms=1.106
epoch=33, train_loss=0.200323, val_miou=0.830300, val_dice=0.896664, infer_ms=1.101
epoch=34, train_loss=0.200472, val_miou=0.825048, val_dice=0.893951, infer_ms=1.076
epoch=35, train_loss=0.197178, val_miou=0.826764, val_dice=0.894725, infer_ms=1.063
epoch=36, train_loss=0.196355, val_miou=0.836603, val_dice=0.900854, infer_ms=1.080
epoch=37, train_loss=0.190476, val_miou=0.826489, val_dice=0.894686, infer_ms=1.070
epoch=38, train_loss=0.188523, val_miou=0.839207, val_dice=0.903462, infer_ms=1.081
epoch=39, train_loss=0.190288, val_miou=0.829261, val_dice=0.895865, infer_ms=1.094
epoch=40, train_loss=0.183787, val_miou=0.829813, val_dice=0.895742, infer_ms=1.089
epoch=41, train_loss=0.184501, val_miou=0.838963, val_dice=0.903340, infer_ms=1.098
epoch=42, train_loss=0.183670, val_miou=0.835779, val_dice=0.900036, infer_ms=1.094
epoch=43, train_loss=0.180618, val_miou=0.838920, val_dice=0.902714, infer_ms=1.068
epoch=44, train_loss=0.178272, val_miou=0.839516, val_dice=0.903193, infer_ms=1.071
epoch=45, train_loss=0.178379, val_miou=0.840829, val_dice=0.904586, infer_ms=1.084
epoch=46, train_loss=0.177393, val_miou=0.839181, val_dice=0.903156, infer_ms=1.138
epoch=47, train_loss=0.177242, val_miou=0.837500, val_dice=0.901687, infer_ms=1.094
epoch=48, train_loss=0.176277, val_miou=0.839910, val_dice=0.903633, infer_ms=1.083
epoch=49, train_loss=0.176987, val_miou=0.839621, val_dice=0.903347, infer_ms=1.095
