architecture=fcn, variant=no_boundary_no_speckle, seed=2024
epoch=0, train_loss=0.496039, val_miou=0.711796, val_dice=0.818069, infer_ms=1.085
epoch=1, train_loss=0.424095, val_miou=0.427171, val_dice=0.406018, infer_ms=1.165
epoch=2, train_loss=0.405269, val_miou=0.746469, val_dice=0.840226, infer_ms=1.096
epoch=3, train_loss=0.367449, val_miou=0.661810, val_dice=0.751963, infer_ms=1.149
epoch=4, train_loss=0.343850, val_miou=0.716121, val_dice=0.823209, infer_ms=1.092
epoch=5, train_loss=0.346202, val_miou=0.650839, val_dice=0.750281, infer_ms=1.081
epoch=6, train_loss=0.340377, val_miou=0.746894, val_dice=0.847461, infer_ms=1.121
epoch=7, train_loss=0.319044, val_miou=0.723128, val_dice=0.828986, infer_ms=1.101
epoch=8, train_loss=0.309885, val_miou=0.758409, val_dice=0.852715, infer_ms=1.150
epoch=9, train_loss=0.304246, val_miou=0.685724, val_dice=0.776460, infer_ms=1.135
epoch=10, train_loss=0.286152, val_miou=0.772092, val_dice=0.858489, infer_ms=1.129
epoch=11, train_loss=0.289227, val_miou=0.761970, val_dice=0.849863, infer_ms=1.150
epoch=12, train_loss=0.284968, val_miou=0.779189, val_dice=0.861722, infer_ms=1.107
epoch=13, train_loss=0.275544, val_miou=0.732775, val_dice=0.821203, infer_ms=1.113
epoch=14, train_loss=0.281290, val_miou=0.804845, val_dice=0.881318, infer_ms=1.131
epoch=15, train_loss=0.260561, val_miou=0.753307, val_dice=0.839174, infer_ms=1.090
epoch=16, train_loss=0.252080, val_miou=0.769414, val_dice=0.854299, infer_ms=1.166
epoch=17, train_loss=0.258879, val_miou=0.704357, val_dice=0.792870, infer_ms=1.109
epoch=18, train_loss=0.253665, val_miou=0.772883, val_dice=0.854609, infer_ms=1.129
epoch=19, train_loss=0.245961, val_miou=0.767757, val_dice=0.851848, infer_ms=1.104
epoch=20, train_loss=0.235340, val_miou=0.810690, val_dice=0.883234, infer_ms=1.185
epoch=21, train_loss=0.235256, val_miou=0.810380, val_dice=0.885275, infer_ms=1.102
epoch=22, train_loss=0.231615, val_miou=0.786681, val_dice=0.862933, infer_ms=1.137
epoch=23, train_loss=0.231309, val_miou=0.799059, val_dice=0.874785, infer_ms=1.137
epoch=24, train_loss=0.228276, val_miou=0.817326, val_dice=0.888408, infer_ms=1.137
epoch=25, train_loss=0.221111, val_miou=0.812209, val_dice=0.886299, infer_ms=1.157
epoch=26, train_loss=0.212291, val_miou=0.783013, val_dice=0.862867, infer_ms=1.211
epoch=27, train_loss=0.223892, val_miou=0.817407, val_dice=0.889800, infer_ms=1.165
epoch=28, train_loss=0.212596, val_miou=0.790207, val_dice=0.866543, infer_ms=1.143
epoch=29, train_loss=0.206324, val_miou=0.823136, val_dice=0.893004, infer_ms=1.104
epoch=30, train_loss=0.199541, val_miou=0.822614, val_dice=0.892835, infer_ms=1.138
epoch=31, train_loss=0.194874, val_miou=0.830988, val_dice=0.897256, infer_ms=1.114
epoch=32, train_loss=0.196599, val_miou=0.832524, val_dice=0.898686, infer_ms=1.207
epoch=33, train_loss=0.190115, val_miou=0.830460, val_dice=0.896719, infer_ms=1.101
epoch=34, train_loss=0.190630, val_miou=0.823615, val_dice=0.892032, infer_ms=1.123
epoch=35, train_loss=0.185598, val_miou=0.832543, val_dice=0.898668, infer_ms=1.102
epoch=36, train_loss=0.189640, val_miou=0.833495, val_dice=0.900129, infer_ms=1.087
epoch=37, train_loss=0.179651, val_miou=0.830952, val_dice=0.898520, infer_ms=1.128
epoch=38, train_loss=0.179756, val_miou=0.841070, val_dice=0.906049, infer_ms=1.146
epoch=39, train_loss=0.182534, val_miou=0.838253, val_dice=0.903445, infer_ms=1.105
epoch=40, train_loss=0.175340, val_miou=0.834646, val_dice=0.900025, infer_ms=1.099
epoch=41, train_loss=0.174319, val_miou=0.840043, val_dice=0.904916, infer_ms=1.142
epoch=42, train_loss=0.173476, val_miou=0.844877, val_dice=0.907139, infer_ms=1.094
epoch=43, train_loss=0.171725, val_miou=0.842478, val_dice=0.905401, infer_ms=1.173
epoch=44, train_loss=0.169933, val_miou=0.839096, val_dice=0.903033, infer_ms=1.107
epoch=45, train_loss=0.166792, val_miou=0.841947, val_dice=0.905567, infer_ms=1.102
epoch=46, train_loss=0.168562, val_miou=0.841992, val_dice=0.905381, infer_ms=1.112
epoch=47, train_loss=0.169685, val_miou=0.840995, val_dice=0.904532, infer_ms=1.121
epoch=48, train_loss=0.168319, val_miou=0.839990, val_dice=0.904426, infer_ms=1.148
epoch=49, train_loss=0.165611, val_miou=0.842548, val_dice=0.906023, infer_ms=1.140
