architecture=fcn, variant=no_boundary, seed=2024
epoch=0, train_loss=0.497318, val_miou=0.694471, val_dice=0.806001, infer_ms=1.186
epoch=1, train_loss=0.430856, val_miou=0.543363, val_dice=0.607269, infer_ms=1.215
epoch=2, train_loss=0.392199, val_miou=0.726553, val_dice=0.829681, infer_ms=1.170
epoch=3, train_loss=0.357256, val_miou=0.607426, val_dice=0.684346, infer_ms=1.171
epoch=4, train_loss=0.342723, val_miou=0.681547, val_dice=0.781040, infer_ms=1.157
epoch=5, train_loss=0.348067, val_miou=0.571448, val_dice=0.654906, infer_ms=1.164
epoch=6, train_loss=0.341308, val_miou=0.717275, val_dice=0.819978, infer_ms=1.179
epoch=7, train_loss=0.317931, val_miou=0.742542, val_dice=0.837040, infer_ms=1.132
epoch=8, train_loss=0.309986, val_miou=0.713643, val_dice=0.830302, infer_ms=1.196
epoch=9, train_loss=0.307301, val_miou=0.720622, val_dice=0.813236, infer_ms=1.189
epoch=10, train_loss=0.292343, val_miou=0.760381, val_dice=0.851055, infer_ms=1.208
epoch=11, train_loss=0.292605, val_miou=0.759866, val_dice=0.855695, infer_ms=1.198
epoch=12, train_loss=0.282415, val_miou=0.780606, val_dice=0.862547, infer_ms=1.132
epoch=13, train_loss=0.277037, val_miou=0.754654, val_dice=0.840800, infer_ms=1.181
epoch=14, train_loss=0.278838, val_miou=0.808795, val_dice=0.884684, infer_ms=1.182
epoch=15, train_loss=0.262519, val_miou=0.780228, val_dice=0.862225, infer_ms=1.115
epoch=16, train_loss=0.259775, val_miou=0.746163, val_dice=0.831618, infer_ms=1.258
epoch=17, train_loss=0.258977, val_miou=0.734884, val_dice=0.820233, infer_ms=1.261
epoch=18, train_loss=0.256023, val_miou=0.762411, val_dice=0.845566, infer_ms=1.150
epoch=19, train_loss=0.248921, val_miou=0.752900, val_dice=0.836727, infer_ms=1.220
epoch=20, train_loss=0.242452, val_miou=0.813315, val_dice=0.885089, infer_ms=1.170
epoch=21, train_loss=0.231364, val_miou=0.804793, val_dice=0.879700, infer_ms=1.185
epoch=22, train_loss=0.234103, val_miou=0.767554, val_dice=0.847072, infer_ms=1.149
epoch=23, train_loss=0.228142, val_miou=0.796761, val_dice=0.873114, infer_ms=1.193
epoch=24, train_loss=0.227473, val_miou=0.806317, val_dice=0.880902, infer_ms=1.151
epoch=25, train_loss=0.222398, val_miou=0.807280, val_dice=0.881857, infer_ms=1.132
epoch=26, train_loss=0.213104, val_miou=0.773750, val_dice=0.853040, infer_ms=1.215
epoch=27, train_loss=0.227100, val_miou=0.819221, val_dice=0.891596, infer_ms=1.193
epoch=28, train_loss=0.214363, val_miou=0.807887, val_dice=0.880405, infer_ms=1.104
epoch=29, train_loss=0.205545, val_miou=0.812043, val_dice=0.883250, infer_ms=1.173
epoch=30, train_loss=0.203202, val_miou=0.823326, val_dice=0.891760, infer_ms=1.168
epoch=31, train_loss=0.194182, val_miou=0.833385, val_dice=0.899095, infer_ms=1.181
epoch=32, train_loss=0.197681, val_miou=0.826528, val_dice=0.894195, infer_ms=1.213
epoch=33, train_loss=0.192126, val_miou=0.830070, val_dice=0.895439, infer_ms=1.175
epoch=34, train_loss=0.191556, val_miou=0.828289, val_dice=0.896375, infer_ms=1.166
epoch=35, train_loss=0.188817, val_miou=0.830833, val_dice=0.896761, infer_ms=1.132
epoch=36, train_loss=0.185060, val_miou=0.840676, val_dice=0.903944, infer_ms=1.157
epoch=37, train_loss=0.178752, val_miou=0.830845, val_dice=0.897542, infer_ms=1.170
epoch=38, train_loss=0.182320, val_miou=0.842052, val_dice=0.904999, infer_ms=1.196
epoch=39, train_loss=0.179533, val_miou=0.835451, val_dice=0.900550, infer_ms=1.149
epoch=40, train_loss=0.175784, val_miou=0.825983, val_dice=0.893057, infer_ms=1.111
epoch=41, train_loss=0.177412, val_miou=0.839819, val_dice=0.904171, infer_ms=1.156
epoch=42, train_loss=0.177627, val_miou=0.841548, val_dice=0.904316, infer_ms=1.106
epoch=43, train_loss=0.173434, val_miou=0.839588, val_dice=0.902955, infer_ms=1.142
epoch=44, train_loss=0.170628, val_miou=0.839745, val_dice=0.903316, infer_ms=1.171
epoch=45, train_loss=0.170574, val_miou=0.842076, val_dice=0.905348, infer_ms=1.130
epoch=46, train_loss=0.170202, val_miou=0.840254, val_dice=0.904105, infer_ms=1.112
epoch=47, train_loss=0.171569, val_miou=0.840190, val_dice=0.903616, infer_ms=1.179
epoch=48, train_loss=0.167803, val_miou=0.839748, val_dice=0.903418, infer_ms=1.201
epoch=49, train_loss=0.167589, val_miou=0.843355, val_dice=0.906143, infer_ms=1.196
