architecture=fcn, variant=no_channel, seed=2024
epoch=0, train_loss=0.549579, val_miou=0.684371, val_dice=0.796238, infer_ms=1.217
epoch=1, train_loss=0.470713, val_miou=0.527661, val_dice=0.595226, infer_ms=1.160
epoch=2, train_loss=0.441732, val_miou=0.753963, val_dice=0.844995, infer_ms=1.158
epoch=3, train_loss=0.402707, val_miou=0.596274, val_dice=0.671043, infer_ms=1.153
epoch=4, train_loss=0.366676, val_miou=0.691336, val_dice=0.789178, infer_ms=1.121
epoch=5, train_loss=0.357249, val_miou=0.720454, val_dice=0.812631, infer_ms=1.143
epoch=6, train_loss=0.356528, val_miou=0.738121, val_dice=0.839360, infer_ms=1.210
epoch=7, train_loss=0.339158, val_miou=0.741578, val_dice=0.844063, infer_ms=1.162
epoch=8, train_loss=0.326856, val_miou=0.753625, val_dice=0.853314, infer_ms=1.193
epoch=9, train_loss=0.320312, val_miou=0.740905, val_dice=0.825058, infer_ms=1.128
epoch=10, train_loss=0.304467, val_miou=0.747117, val_dice=0.846059, infer_ms=1.125
epoch=11, train_loss=0.312313, val_miou=0.742191, val_dice=0.838785, infer_ms=1.160
epoch=12, train_loss=0.298096, val_miou=0.771877, val_dice=0.855562, infer_ms=1.115
epoch=13, train_loss=0.290563, val_miou=0.741115, val_dice=0.829348, infer_ms=1.164
epoch=14, train_loss=0.290858, val_miou=0.796070, val_dice=0.877013, infer_ms=1.150
epoch=15, train_loss=0.277607, val_miou=0.778116, val_dice=0.861759, infer_ms=1.146
epoch=16, train_loss=0.264269, val_miou=0.774844, val_dice=0.856413, infer_ms=1.156
epoch=17, train_loss=0.270236, val_miou=0.725191, val_dice=0.810087, infer_ms=1.158
epoch=18, train_loss=0.258579, val_miou=0.709254, val_dice=0.796485, infer_ms=1.127
epoch=19, train_loss=0.251586, val_miou=0.753333, val_dice=0.835657, infer_ms=1.127
epoch=20, train_loss=0.248365, val_miou=0.782853, val_dice=0.858584, infer_ms=1.173
epoch=21, train_loss=0.243977, val_miou=0.797156, val_dice=0.873049, infer_ms=1.136
epoch=22, train_loss=0.243056, val_miou=0.797712, val_dice=0.874744, infer_ms=1.179
epoch=23, train_loss=0.237186, val_miou=0.747732, val_dice=0.835349, infer_ms=1.195
epoch=24, train_loss=0.229706, val_miou=0.806894, val_dice=0.881599, infer_ms=1.170
epoch=25, train_loss=0.223421, val_miou=0.793599, val_dice=0.875837, infer_ms=1.224
epoch=26, train_loss=0.219050, val_miou=0.802356, val_dice=0.876636, infer_ms=1.107
epoch=27, train_loss=0.224208, val_miou=0.817876, val_dice=0.889757, infer_ms=1.129
epoch=28, train_loss=0.225004, val_miou=0.803892, val_dice=0.879808, infer_ms=1.169
epoch=29, train_loss=0.213319, val_miou=0.818491, val_dice=0.888554, infer_ms=1.163
epoch=30, train_loss=0.207128, val_miou=0.818093, val_dice=0.888999, infer_ms=1.231
epoch=31, train_loss=0.200844, val_miou=0.823694, val_dice=0.891581, infer_ms=1.120
epoch=32, train_loss=0.203297, val_miou=0.824685, val_dice=0.894824, infer_ms=1.164
epoch=33, train_loss=0.199717, val_miou=0.829033, val_dice=0.896005, infer_ms=1.287
epoch=34, train_loss=0.200685, val_miou=0.816923, val_dice=0.887200, infer_ms=1.147
epoch=35, train_loss=0.196564, val_miou=0.812301, val_dice=0.883678, infer_ms=1.174
epoch=36, train_loss=0.195118, val_miou=0.823581, val_dice=0.892260, infer_ms=1.195
epoch=37, train_loss=0.188673, val_miou=0.820255, val_dice=0.890375, infer_ms=1.162
epoch=38, train_loss=0.187030, val_miou=0.830879, val_dice=0.897326, infer_ms=1.130
epoch=39, train_loss=0.186820, val_miou=0.828815, val_dice=0.895506, infer_ms=1.202
epoch=40, train_loss=0.183532, val_miou=0.821023, val_dice=0.889454, infer_ms=1.114
epoch=41, train_loss=0.182940, val_miou=0.836355, val_dice=0.901098, infer_ms=1.153
epoch=42, train_loss=0.181397, val_miou=0.831397, val_dice=0.897184, infer_ms=1.187
epoch=43, train_loss=0.180780, val_miou=0.832385, val_dice=0.897471, infer_ms=1.154
epoch=44, train_loss=0.177708, val_miou=0.827671, val_dice=0.893632, infer_ms=1.194
epoch=45, train_loss=0.175731, val_miou=0.833922, val_dice=0.899388, infer_ms=1.160
epoch=46, train_loss=0.178795, val_miou=0.833030, val_dice=0.898873, infer_ms=1.144
epoch=47, train_loss=0.176281, val_miou=0.831349, val_dice=0.896997, infer_ms=1.150
epoch=48, train_loss=0.174892, val_miou=0.834695, val_dice=0.899604, infer_ms=1.146
epoch=49, train_loss=0.174115, val_miou=0.834613, val_dice=0.899510, infer_ms=1.216
