architecture=fcn, variant=no_local_var, seed=2024
epoch=0, train_loss=0.493206, val_miou=0.721330, val_dice=0.824868, infer_ms=1.211
epoch=1, train_loss=0.424700, val_miou=0.457607, val_dice=0.463212, infer_ms=1.277
epoch=2, train_loss=0.392083, val_miou=0.754452, val_dice=0.849488, infer_ms=1.153
epoch=3, train_loss=0.370866, val_miou=0.587732, val_dice=0.663374, infer_ms=1.120
epoch=4, train_loss=0.335253, val_miou=0.720841, val_dice=0.828872, infer_ms=1.209
epoch=5, train_loss=0.344562, val_miou=0.688491, val_dice=0.782700, infer_ms=1.215
epoch=6, train_loss=0.331551, val_miou=0.756299, val_dice=0.847191, infer_ms=1.155
epoch=7, train_loss=0.320770, val_miou=0.728945, val_dice=0.822922, infer_ms=1.162
epoch=8, train_loss=0.305748, val_miou=0.764249, val_dice=0.855711, infer_ms=1.171
epoch=9, train_loss=0.305362, val_miou=0.697669, val_dice=0.789534, infer_ms=1.202
epoch=10, train_loss=0.294124, val_miou=0.758707, val_dice=0.850330, infer_ms=1.222
epoch=11, train_loss=0.292427, val_miou=0.752874, val_dice=0.841379, infer_ms=1.218
epoch=12, train_loss=0.293705, val_miou=0.782048, val_dice=0.862016, infer_ms=1.191
epoch=13, train_loss=0.273815, val_miou=0.742948, val_dice=0.832743, infer_ms=1.232
epoch=14, train_loss=0.274114, val_miou=0.792868, val_dice=0.871764, infer_ms=1.157
epoch=15, train_loss=0.260748, val_miou=0.777512, val_dice=0.862373, infer_ms=1.176
epoch=16, train_loss=0.263637, val_miou=0.762730, val_dice=0.847645, infer_ms=1.218
epoch=17, train_loss=0.257136, val_miou=0.754811, val_dice=0.835069, infer_ms=1.170
epoch=18, train_loss=0.255961, val_miou=0.766663, val_dice=0.850712, infer_ms=1.122
epoch=19, train_loss=0.239197, val_miou=0.779725, val_dice=0.859072, infer_ms=1.157
epoch=20, train_loss=0.241558, val_miou=0.819583, val_dice=0.892654, infer_ms=1.214
epoch=21, train_loss=0.235084, val_miou=0.794601, val_dice=0.873121, infer_ms=1.190
epoch=22, train_loss=0.233029, val_miou=0.758615, val_dice=0.841987, infer_ms=1.239
epoch=23, train_loss=0.226124, val_miou=0.787226, val_dice=0.866481, infer_ms=1.168
epoch=24, train_loss=0.224995, val_miou=0.814144, val_dice=0.886194, infer_ms=1.134
epoch=25, train_loss=0.216312, val_miou=0.799084, val_dice=0.878596, infer_ms=1.151
epoch=26, train_loss=0.212097, val_miou=0.771622, val_dice=0.851384, infer_ms=1.123
epoch=27, train_loss=0.221254, val_miou=0.822308, val_dice=0.893048, infer_ms=1.126
epoch=28, train_loss=0.216151, val_miou=0.745496, val_dice=0.829570, infer_ms=1.148
epoch=29, train_loss=0.206715, val_miou=0.818482, val_dice=0.887469, infer_ms=1.119
epoch=30, train_loss=0.199095, val_miou=0.819694, val_dice=0.890530, infer_ms=1.126
epoch=31, train_loss=0.189414, val_miou=0.838972, val_dice=0.903161, infer_ms=1.212
epoch=32, train_loss=0.198466, val_miou=0.828259, val_dice=0.895952, infer_ms=1.150
epoch=33, train_loss=0.190395, val_miou=0.832250, val_dice=0.897649, infer_ms=1.194
epoch=34, train_loss=0.189783, val_miou=0.835843, val_dice=0.901171, infer_ms=1.139
epoch=35, train_loss=0.187519, val_miou=0.842748, val_dice=0.905792, infer_ms=1.194
epoch=36, train_loss=0.190611, val_miou=0.837983, val_dice=0.903066, infer_ms=1.179
epoch=37, train_loss=0.178535, val_miou=0.833521, val_dice=0.900266, infer_ms=1.157
epoch=38, train_loss=0.180448, val_miou=0.842937, val_dice=0.906542, infer_ms=1.217
epoch=39, train_loss=0.179082, val_miou=0.836620, val_dice=0.901268, infer_ms=1.216
epoch=40, train_loss=0.175303, val_miou=0.837515, val_dice=0.902095, infer_ms=1.188
epoch=41, train_loss=0.174039, val_miou=0.841345, val_dice=0.905129, infer_ms=1.124
epoch=42, train_loss=0.173259, val_miou=0.845585, val_dice=0.907911, infer_ms=1.200
epoch=43, train_loss=0.171241, val_miou=0.841877, val_dice=0.905091, infer_ms=1.242
epoch=44, train_loss=0.168480, val_miou=0.838961, val_dice=0.902961, infer_ms=1.197
epoch=45, train_loss=0.169519, val_miou=0.843330, val_dice=0.906351, infer_ms=1.141
epoch=46, train_loss=0.167141, val_miou=0.841948, val_dice=0.905099, infer_ms=1.185
epoch=47, train_loss=0.167964, val_miou=0.839289, val_dice=0.903007, infer_ms=1.211
epoch=48, train_loss=0.166318, val_miou=0.841930, val_dice=0.905074, infer_ms=1.241
epoch=49, train_loss=0.165552, val_miou=0.842771, val_dice=0.905730, infer_ms=1.233
