architecture=fcn, variant=no_msc, seed=2024
epoch=0, train_loss=0.504208, val_miou=0.626234, val_dice=0.735066, infer_ms=1.176
epoch=1, train_loss=0.418286, val_miou=0.563019, val_dice=0.632494, infer_ms=1.180
epoch=2, train_loss=0.396893, val_miou=0.747643, val_dice=0.842129, infer_ms=1.168
epoch=3, train_loss=0.357932, val_miou=0.628889, val_dice=0.708532, infer_ms=1.169
epoch=4, train_loss=0.338896, val_miou=0.700392, val_dice=0.803386, infer_ms=1.180
epoch=5, train_loss=0.337954, val_miou=0.767945, val_dice=0.853105, infer_ms=1.231
epoch=6, train_loss=0.334505, val_miou=0.728443, val_dice=0.842117, infer_ms=1.233
epoch=7, train_loss=0.319672, val_miou=0.768986, val_dice=0.860198, infer_ms=1.189
epoch=8, train_loss=0.310878, val_miou=0.762611, val_dice=0.848181, infer_ms=1.205
epoch=9, train_loss=0.309972, val_miou=0.741376, val_dice=0.830786, infer_ms=1.111
epoch=10, train_loss=0.284297, val_miou=0.759330, val_dice=0.849420, infer_ms=1.230
epoch=11, train_loss=0.294016, val_miou=0.765179, val_dice=0.851509, infer_ms=1.190
epoch=12, train_loss=0.291731, val_miou=0.754055, val_dice=0.837062, infer_ms=1.209
epoch=13, train_loss=0.274831, val_miou=0.767083, val_dice=0.852946, infer_ms=1.234
epoch=14, train_loss=0.279017, val_miou=0.788542, val_dice=0.868050, infer_ms=1.183
epoch=15, train_loss=0.262791, val_miou=0.779807, val_dice=0.864285, infer_ms=1.275
epoch=16, train_loss=0.259443, val_miou=0.765393, val_dice=0.849866, infer_ms=1.223
epoch=17, train_loss=0.250637, val_miou=0.760366, val_dice=0.840614, infer_ms=1.104
epoch=18, train_loss=0.249394, val_miou=0.750636, val_dice=0.836590, infer_ms=1.254
epoch=19, train_loss=0.241877, val_miou=0.750435, val_dice=0.834661, infer_ms=1.187
epoch=20, train_loss=0.237286, val_miou=0.788894, val_dice=0.865000, infer_ms=1.204
epoch=21, train_loss=0.232183, val_miou=0.797221, val_dice=0.873657, infer_ms=1.190
epoch=22, train_loss=0.231177, val_miou=0.791737, val_dice=0.868156, infer_ms=1.194
epoch=23, train_loss=0.227335, val_miou=0.819453, val_dice=0.891252, infer_ms=1.250
epoch=24, train_loss=0.220264, val_miou=0.807544, val_dice=0.882905, infer_ms=1.189
epoch=25, train_loss=0.217508, val_miou=0.814706, val_dice=0.888048, infer_ms=1.214
epoch=26, train_loss=0.208323, val_miou=0.789966, val_dice=0.866207, infer_ms=1.199
epoch=27, train_loss=0.217303, val_miou=0.823329, val_dice=0.894386, infer_ms=1.140
epoch=28, train_loss=0.214622, val_miou=0.809749, val_dice=0.882939, infer_ms=1.103
epoch=29, train_loss=0.205077, val_miou=0.816760, val_dice=0.887234, infer_ms=1.232
epoch=30, train_loss=0.201350, val_miou=0.825656, val_dice=0.895039, infer_ms=1.240
epoch=31, train_loss=0.192378, val_miou=0.830141, val_dice=0.896753, infer_ms=1.171
epoch=32, train_loss=0.195647, val_miou=0.832028, val_dice=0.897469, infer_ms=1.196
epoch=33, train_loss=0.187998, val_miou=0.830094, val_dice=0.896874, infer_ms=1.200
epoch=34, train_loss=0.187572, val_miou=0.834186, val_dice=0.899359, infer_ms=1.270
epoch=35, train_loss=0.186982, val_miou=0.830991, val_dice=0.897104, infer_ms=1.144
epoch=36, train_loss=0.186940, val_miou=0.836696, val_dice=0.901739, infer_ms=1.216
epoch=37, train_loss=0.178835, val_miou=0.839506, val_dice=0.904389, infer_ms=1.165
epoch=38, train_loss=0.179945, val_miou=0.844655, val_dice=0.907461, infer_ms=1.135
epoch=39, train_loss=0.179153, val_miou=0.836025, val_dice=0.901166, infer_ms=1.234
epoch=40, train_loss=0.174942, val_miou=0.834481, val_dice=0.899473, infer_ms=1.158
epoch=41, train_loss=0.175228, val_miou=0.848363, val_dice=0.910157, infer_ms=1.146
epoch=42, train_loss=0.172691, val_miou=0.845078, val_dice=0.906908, infer_ms=1.137
epoch=43, train_loss=0.172380, val_miou=0.847809, val_dice=0.909027, infer_ms=1.172
epoch=44, train_loss=0.169898, val_miou=0.844804, val_dice=0.907086, infer_ms=1.136
epoch=45, train_loss=0.168467, val_miou=0.846937, val_dice=0.909058, infer_ms=1.122
epoch=46, train_loss=0.169344, val_miou=0.845315, val_dice=0.907805, infer_ms=1.170
epoch=47, train_loss=0.169483, val_miou=0.843615, val_dice=0.906156, infer_ms=1.212
epoch=48, train_loss=0.166963, val_miou=0.846572, val_dice=0.908507, infer_ms=1.147
epoch=49, train_loss=0.166694, val_miou=0.846283, val_dice=0.908473, infer_ms=1.207
