architecture=fcn, variant=no_speckle, seed=2024
epoch=0, train_loss=0.494158, val_miou=0.721947, val_dice=0.827326, infer_ms=1.151
epoch=1, train_loss=0.421618, val_miou=0.578971, val_dice=0.655591, infer_ms=1.219
epoch=2, train_loss=0.389142, val_miou=0.756448, val_dice=0.845495, infer_ms=1.173
epoch=3, train_loss=0.363555, val_miou=0.707846, val_dice=0.794878, infer_ms=1.154
epoch=4, train_loss=0.343385, val_miou=0.710761, val_dice=0.809636, infer_ms=1.296
epoch=5, train_loss=0.336612, val_miou=0.657843, val_dice=0.751579, infer_ms=1.154
epoch=6, train_loss=0.341885, val_miou=0.735058, val_dice=0.836628, infer_ms=1.122
epoch=7, train_loss=0.322963, val_miou=0.748570, val_dice=0.845647, infer_ms=1.126
epoch=8, train_loss=0.303052, val_miou=0.752086, val_dice=0.847670, infer_ms=1.121
epoch=9, train_loss=0.308309, val_miou=0.757099, val_dice=0.846547, infer_ms=1.177
epoch=10, train_loss=0.281010, val_miou=0.748798, val_dice=0.838290, infer_ms=1.136
epoch=11, train_loss=0.296564, val_miou=0.766405, val_dice=0.859226, infer_ms=1.122
epoch=12, train_loss=0.290033, val_miou=0.775783, val_dice=0.857625, infer_ms=1.134
epoch=13, train_loss=0.272969, val_miou=0.798355, val_dice=0.878154, infer_ms=1.136
epoch=14, train_loss=0.274850, val_miou=0.807738, val_dice=0.885362, infer_ms=1.122
epoch=15, train_loss=0.263076, val_miou=0.755129, val_dice=0.846537, infer_ms=1.140
epoch=16, train_loss=0.251628, val_miou=0.779098, val_dice=0.858469, infer_ms=1.144
epoch=17, train_loss=0.251799, val_miou=0.794956, val_dice=0.871719, infer_ms=1.144
epoch=18, train_loss=0.255163, val_miou=0.768468, val_dice=0.854427, infer_ms=1.113
epoch=19, train_loss=0.247151, val_miou=0.786863, val_dice=0.864648, infer_ms=1.141
epoch=20, train_loss=0.237568, val_miou=0.804926, val_dice=0.877988, infer_ms=1.124
epoch=21, train_loss=0.233033, val_miou=0.800786, val_dice=0.876023, infer_ms=1.201
epoch=22, train_loss=0.229488, val_miou=0.799549, val_dice=0.874766, infer_ms=1.129
epoch=23, train_loss=0.230412, val_miou=0.800328, val_dice=0.876482, infer_ms=1.135
epoch=24, train_loss=0.223531, val_miou=0.814727, val_dice=0.886584, infer_ms=1.131
epoch=25, train_loss=0.223462, val_miou=0.809802, val_dice=0.885642, infer_ms=1.132
epoch=26, train_loss=0.210699, val_miou=0.770322, val_dice=0.852311, infer_ms=1.120
epoch=27, train_loss=0.217510, val_miou=0.817809, val_dice=0.889718, infer_ms=1.150
epoch=28, train_loss=0.209806, val_miou=0.801616, val_dice=0.875279, infer_ms=1.136
epoch=29, train_loss=0.204642, val_miou=0.814136, val_dice=0.886052, infer_ms=1.131
epoch=30, train_loss=0.198275, val_miou=0.821223, val_dice=0.890929, infer_ms=1.111
epoch=31, train_loss=0.191629, val_miou=0.832997, val_dice=0.899367, infer_ms=1.118
epoch=32, train_loss=0.194731, val_miou=0.825148, val_dice=0.892966, infer_ms=1.119
epoch=33, train_loss=0.188273, val_miou=0.821867, val_dice=0.890556, infer_ms=1.095
epoch=34, train_loss=0.187508, val_miou=0.825901, val_dice=0.894381, infer_ms=1.150
epoch=35, train_loss=0.186470, val_miou=0.831555, val_dice=0.898060, infer_ms=1.160
epoch=36, train_loss=0.189199, val_miou=0.834318, val_dice=0.901391, infer_ms=1.137
epoch=37, train_loss=0.179322, val_miou=0.829246, val_dice=0.896796, infer_ms=1.170
epoch=38, train_loss=0.177786, val_miou=0.842669, val_dice=0.906265, infer_ms=1.163
epoch=39, train_loss=0.181070, val_miou=0.839182, val_dice=0.903426, infer_ms=1.139
epoch=40, train_loss=0.174653, val_miou=0.829793, val_dice=0.896436, infer_ms=1.157
epoch=41, train_loss=0.175036, val_miou=0.842623, val_dice=0.906620, infer_ms=1.139
epoch=42, train_loss=0.174020, val_miou=0.839285, val_dice=0.903877, infer_ms=1.153
epoch=43, train_loss=0.170396, val_miou=0.838006, val_dice=0.902392, infer_ms=1.104
epoch=44, train_loss=0.168503, val_miou=0.836712, val_dice=0.901472, infer_ms=1.144
epoch=45, train_loss=0.167632, val_miou=0.839965, val_dice=0.904567, infer_ms=1.102
epoch=46, train_loss=0.167199, val_miou=0.843500, val_dice=0.906690, infer_ms=1.150
epoch=47, train_loss=0.170977, val_miou=0.837942, val_dice=0.902338, infer_ms=1.120
epoch=48, train_loss=0.166188, val_miou=0.843198, val_dice=0.906632, infer_ms=1.092
epoch=49, train_loss=0.165489, val_miou=0.842758, val_dice=0.906333, infer_ms=1.139
