architecture=unet, variant=full, seed=2024
epoch=0, train_loss=0.423643, val_miou=0.715533, val_dice=0.806243, infer_ms=3.012
epoch=1, train_loss=0.373453, val_miou=0.558597, val_dice=0.620011, infer_ms=2.649
epoch=2, train_loss=0.347309, val_miou=0.789947, val_dice=0.874321, infer_ms=2.699
epoch=3, train_loss=0.310883, val_miou=0.770900, val_dice=0.861181, infer_ms=2.696
epoch=4, train_loss=0.305384, val_miou=0.655570, val_dice=0.742214, infer_ms=2.662
epoch=5, train_loss=0.295017, val_miou=0.628801, val_dice=0.721915, infer_ms=2.697
epoch=6, train_loss=0.290245, val_miou=0.768026, val_dice=0.868454, infer_ms=2.636
epoch=7, train_loss=0.270614, val_miou=0.827642, val_dice=0.899772, infer_ms=2.657
epoch=8, train_loss=0.262300, val_miou=0.809828, val_dice=0.888623, infer_ms=2.681
epoch=9, train_loss=0.253266, val_miou=0.820020, val_dice=0.892251, infer_ms=2.706
epoch=10, train_loss=0.234366, val_miou=0.808850, val_dice=0.886733, infer_ms=2.648
epoch=11, train_loss=0.238286, val_miou=0.772307, val_dice=0.856776, infer_ms=2.595
epoch=12, train_loss=0.238268, val_miou=0.789991, val_dice=0.865637, infer_ms=2.576
epoch=13, train_loss=0.217155, val_miou=0.779046, val_dice=0.855968, infer_ms=2.591
epoch=14, train_loss=0.225304, val_miou=0.784168, val_dice=0.864520, infer_ms=2.572
epoch=15, train_loss=0.197803, val_miou=0.836489, val_dice=0.906526, infer_ms=2.623
epoch=16, train_loss=0.205686, val_miou=0.832360, val_dice=0.899831, infer_ms=2.584
epoch=17, train_loss=0.194969, val_miou=0.839400, val_dice=0.902209, infer_ms=2.599
epoch=18, train_loss=0.195716, val_miou=0.858110, val_dice=0.917608, infer_ms=2.583
epoch=19, train_loss=0.186555, val_miou=0.824951, val_dice=0.893956, infer_ms=2.702
epoch=20, train_loss=0.173382, val_miou=0.865988, val_dice=0.920709, infer_ms=2.664
epoch=21, train_loss=0.168863, val_miou=0.860061, val_dice=0.918762, infer_ms=2.651
epoch=22, train_loss=0.175758, val_miou=0.815475, val_dice=0.884776, infer_ms=2.606
epoch=23, train_loss=0.166770, val_miou=0.860736, val_dice=0.917047, infer_ms=2.670
epoch=24, train_loss=0.161635, val_miou=0.869525, val_dice=0.923604, infer_ms=2.624
epoch=25, train_loss=0.155062, val_miou=0.879762, val_dice=0.930848, infer_ms=2.621
epoch=26, train_loss=0.149523, val_miou=0.873740, val_dice=0.924966, infer_ms=2.600
epoch=27, train_loss=0.153712, val_miou=0.884332, val_dice=0.933503, infer_ms=2.595
epoch=28, train_loss=0.157380, val_miou=0.870281, val_dice=0.923845, infer_ms=2.571
epoch=29, train_loss=0.144799, val_miou=0.885347, val_dice=0.933305, infer_ms=2.607
epoch=30, train_loss=0.134803, val_miou=0.883197, val_dice=0.933177, infer_ms=2.587
epoch=31, train_loss=0.129319, val_miou=0.878042, val_dice=0.929793, infer_ms=2.604
epoch=32, train_loss=0.134816, val_miou=0.877678, val_dice=0.928887, infer_ms=2.604
epoch=33, train_loss=0.124908, val_miou=0.893472, val_dice=0.938617, infer_ms=2.663
epoch=34, train_loss=0.126745, val_miou=0.880727, val_dice=0.930622, infer_ms=2.636
epoch=35, train_loss=0.123474, val_miou=0.892845, val_dice=0.938158, infer_ms=2.669
epoch=36, train_loss=0.119169, val_miou=0.889100, val_dice=0.936370, infer_ms=2.646
epoch=37, train_loss=0.114956, val_miou=0.892243, val_dice=0.937875, infer_ms=2.612
epoch=38, train_loss=0.117359, val_miou=0.891725, val_dice=0.937719, infer_ms=2.628
epoch=39, train_loss=0.110281, val_miou=0.887909, val_dice=0.935115, infer_ms=2.640
epoch=40, train_loss=0.110412, val_miou=0.889291, val_dice=0.935664, infer_ms=3.259
epoch=41, train_loss=0.109360, val_miou=0.893142, val_dice=0.938816, infer_ms=2.630
epoch=42, train_loss=0.110320, val_miou=0.891615, val_dice=0.937476, infer_ms=2.620
epoch=43, train_loss=0.107652, val_miou=0.892407, val_dice=0.937933, infer_ms=2.647
epoch=44, train_loss=0.104317, val_miou=0.889248, val_dice=0.935815, infer_ms=2.676
epoch=45, train_loss=0.103963, val_miou=0.891603, val_dice=0.937573, infer_ms=2.647
epoch=46, train_loss=0.105115, val_miou=0.889028, val_dice=0.936000, infer_ms=2.622
epoch=47, train_loss=0.107837, val_miou=0.890876, val_dice=0.936967, infer_ms=2.629
epoch=48, train_loss=0.102048, val_miou=0.890292, val_dice=0.936721, infer_ms=2.663
epoch=49, train_loss=0.103857, val_miou=0.892395, val_dice=0.938039, infer_ms=2.656
