architecture=unet, variant=no_all_gates, seed=2024
epoch=0, train_loss=0.424902, val_miou=0.736166, val_dice=0.825484, infer_ms=2.549
epoch=1, train_loss=0.363487, val_miou=0.558007, val_dice=0.619916, infer_ms=2.495
epoch=2, train_loss=0.351343, val_miou=0.804471, val_dice=0.883357, infer_ms=2.519
epoch=3, train_loss=0.321734, val_miou=0.736005, val_dice=0.831015, infer_ms=2.543
epoch=4, train_loss=0.305110, val_miou=0.646821, val_dice=0.734137, infer_ms=2.542
epoch=5, train_loss=0.294385, val_miou=0.698564, val_dice=0.793529, infer_ms=2.487
epoch=6, train_loss=0.287196, val_miou=0.736096, val_dice=0.853569, infer_ms=2.518
epoch=7, train_loss=0.275915, val_miou=0.805977, val_dice=0.885588, infer_ms=2.553
epoch=8, train_loss=0.264743, val_miou=0.821306, val_dice=0.892186, infer_ms=2.586
epoch=9, train_loss=0.260568, val_miou=0.784392, val_dice=0.865286, infer_ms=2.532
epoch=10, train_loss=0.237526, val_miou=0.793857, val_dice=0.880706, infer_ms=2.520
epoch=11, train_loss=0.251691, val_miou=0.777753, val_dice=0.860715, infer_ms=2.511
epoch=12, train_loss=0.244818, val_miou=0.815659, val_dice=0.885454, infer_ms=2.500
epoch=13, train_loss=0.226086, val_miou=0.772835, val_dice=0.850957, infer_ms=2.518
epoch=14, train_loss=0.236079, val_miou=0.842553, val_dice=0.909539, infer_ms=2.513
epoch=15, train_loss=0.209967, val_miou=0.807494, val_dice=0.882619, infer_ms=2.518
epoch=16, train_loss=0.208144, val_miou=0.829267, val_dice=0.898660, infer_ms=2.491
epoch=17, train_loss=0.203332, val_miou=0.816627, val_dice=0.885150, infer_ms=2.508
epoch=18, train_loss=0.205922, val_miou=0.830294, val_dice=0.897783, infer_ms=2.562
epoch=19, train_loss=0.195587, val_miou=0.768737, val_dice=0.849118, infer_ms=2.516
epoch=20, train_loss=0.188062, val_miou=0.847886, val_dice=0.909569, infer_ms=2.525
epoch=21, train_loss=0.186461, val_miou=0.861361, val_dice=0.919692, infer_ms=2.550
epoch=22, train_loss=0.184443, val_miou=0.811200, val_dice=0.881389, infer_ms=2.575
epoch=23, train_loss=0.184196, val_miou=0.836649, val_dice=0.899723, infer_ms=2.563
epoch=24, train_loss=0.174062, val_miou=0.858884, val_dice=0.917268, infer_ms=2.539
epoch=25, train_loss=0.175246, val_miou=0.870374, val_dice=0.923531, infer_ms=2.525
epoch=26, train_loss=0.161754, val_miou=0.833736, val_dice=0.896589, infer_ms=2.530
epoch=27, train_loss=0.169891, val_miou=0.865870, val_dice=0.922570, infer_ms=2.499
epoch=28, train_loss=0.164470, val_miou=0.859154, val_dice=0.915186, infer_ms=2.526
epoch=29, train_loss=0.159274, val_miou=0.884811, val_dice=0.932930, infer_ms=2.506
epoch=30, train_loss=0.148267, val_miou=0.864359, val_dice=0.919870, infer_ms=2.519
epoch=31, train_loss=0.143252, val_miou=0.879010, val_dice=0.929667, infer_ms=2.553
epoch=32, train_loss=0.148893, val_miou=0.871285, val_dice=0.925304, infer_ms=2.541
epoch=33, train_loss=0.141857, val_miou=0.876978, val_dice=0.928076, infer_ms=2.549
epoch=34, train_loss=0.142679, val_miou=0.881370, val_dice=0.931496, infer_ms=2.527
epoch=35, train_loss=0.137536, val_miou=0.885021, val_dice=0.933236, infer_ms=2.496
epoch=36, train_loss=0.134662, val_miou=0.885143, val_dice=0.933723, infer_ms=2.532
epoch=37, train_loss=0.129853, val_miou=0.886542, val_dice=0.934355, infer_ms=2.563
epoch=38, train_loss=0.131911, val_miou=0.885828, val_dice=0.933665, infer_ms=2.490
epoch=39, train_loss=0.128900, val_miou=0.884007, val_dice=0.932392, infer_ms=2.526
epoch=40, train_loss=0.126361, val_miou=0.871019, val_dice=0.923643, infer_ms=2.523
epoch=41, train_loss=0.125597, val_miou=0.888086, val_dice=0.935599, infer_ms=2.512
epoch=42, train_loss=0.127497, val_miou=0.883295, val_dice=0.931973, infer_ms=2.509
epoch=43, train_loss=0.124235, val_miou=0.887496, val_dice=0.934725, infer_ms=2.532
epoch=44, train_loss=0.117783, val_miou=0.882367, val_dice=0.931151, infer_ms=2.517
epoch=45, train_loss=0.117068, val_miou=0.887552, val_dice=0.935040, infer_ms=2.541
epoch=46, train_loss=0.119642, val_miou=0.889492, val_dice=0.936226, infer_ms=2.503
epoch=47, train_loss=0.122422, val_miou=0.886681, val_dice=0.934145, infer_ms=2.554
epoch=48, train_loss=0.115718, val_miou=0.888920, val_dice=0.935899, infer_ms=2.528
epoch=49, train_loss=0.118524, val_miou=0.890295, val_dice=0.936652, infer_ms=2.534
