architecture=unet, variant=no_boundary, seed=2024
epoch=0, train_loss=0.425193, val_miou=0.774791, val_dice=0.859107, infer_ms=2.546
epoch=1, train_loss=0.364697, val_miou=0.547840, val_dice=0.603457, infer_ms=2.557
epoch=2, train_loss=0.345231, val_miou=0.768354, val_dice=0.867074, infer_ms=2.507
epoch=3, train_loss=0.312722, val_miou=0.672881, val_dice=0.770479, infer_ms=2.530
epoch=4, train_loss=0.304295, val_miou=0.754694, val_dice=0.836694, infer_ms=2.540
epoch=5, train_loss=0.290456, val_miou=0.781570, val_dice=0.864954, infer_ms=2.533
epoch=6, train_loss=0.291001, val_miou=0.747458, val_dice=0.858189, infer_ms=2.505
epoch=7, train_loss=0.270799, val_miou=0.814326, val_dice=0.889977, infer_ms=2.554
epoch=8, train_loss=0.259844, val_miou=0.778506, val_dice=0.860043, infer_ms=2.547
epoch=9, train_loss=0.257840, val_miou=0.808106, val_dice=0.882872, infer_ms=2.550
epoch=10, train_loss=0.241320, val_miou=0.811678, val_dice=0.888143, infer_ms=2.531
epoch=11, train_loss=0.243774, val_miou=0.795388, val_dice=0.873675, infer_ms=2.528
epoch=12, train_loss=0.238494, val_miou=0.837834, val_dice=0.902778, infer_ms=2.561
epoch=13, train_loss=0.223776, val_miou=0.806342, val_dice=0.877908, infer_ms=2.586
epoch=14, train_loss=0.226631, val_miou=0.843011, val_dice=0.906772, infer_ms=2.555
epoch=15, train_loss=0.203886, val_miou=0.854718, val_dice=0.915389, infer_ms=2.585
epoch=16, train_loss=0.205929, val_miou=0.837105, val_dice=0.904737, infer_ms=2.547
epoch=17, train_loss=0.199836, val_miou=0.854393, val_dice=0.913147, infer_ms=2.528
epoch=18, train_loss=0.199291, val_miou=0.850856, val_dice=0.912965, infer_ms=2.560
epoch=19, train_loss=0.190207, val_miou=0.828701, val_dice=0.895054, infer_ms=2.532
epoch=20, train_loss=0.181567, val_miou=0.852084, val_dice=0.911425, infer_ms=2.572
epoch=21, train_loss=0.174452, val_miou=0.857124, val_dice=0.916732, infer_ms=2.574
epoch=22, train_loss=0.170121, val_miou=0.858601, val_dice=0.915339, infer_ms=2.555
epoch=23, train_loss=0.172824, val_miou=0.865688, val_dice=0.920661, infer_ms=2.555
epoch=24, train_loss=0.171196, val_miou=0.870251, val_dice=0.924475, infer_ms=2.580
epoch=25, train_loss=0.169739, val_miou=0.866061, val_dice=0.920970, infer_ms=2.528
epoch=26, train_loss=0.153957, val_miou=0.879248, val_dice=0.928595, infer_ms=2.561
epoch=27, train_loss=0.156089, val_miou=0.877912, val_dice=0.928984, infer_ms=2.569
epoch=28, train_loss=0.161802, val_miou=0.880386, val_dice=0.929922, infer_ms=2.560
epoch=29, train_loss=0.148028, val_miou=0.875842, val_dice=0.926857, infer_ms=2.518
epoch=30, train_loss=0.136689, val_miou=0.884011, val_dice=0.933440, infer_ms=2.576
epoch=31, train_loss=0.132640, val_miou=0.874947, val_dice=0.927310, infer_ms=2.587
epoch=32, train_loss=0.139716, val_miou=0.868786, val_dice=0.922749, infer_ms=2.543
epoch=33, train_loss=0.130094, val_miou=0.887680, val_dice=0.934985, infer_ms=2.557
epoch=34, train_loss=0.129892, val_miou=0.882291, val_dice=0.931473, infer_ms=2.567
epoch=35, train_loss=0.127983, val_miou=0.888099, val_dice=0.935042, infer_ms=2.529
epoch=36, train_loss=0.122924, val_miou=0.889087, val_dice=0.935916, infer_ms=2.560
epoch=37, train_loss=0.118551, val_miou=0.886214, val_dice=0.934127, infer_ms=2.576
epoch=38, train_loss=0.124376, val_miou=0.887176, val_dice=0.934499, infer_ms=2.564
epoch=39, train_loss=0.115626, val_miou=0.889671, val_dice=0.935969, infer_ms=2.585
epoch=40, train_loss=0.115396, val_miou=0.890045, val_dice=0.936093, infer_ms=2.532
epoch=41, train_loss=0.114064, val_miou=0.894519, val_dice=0.939492, infer_ms=2.571
epoch=42, train_loss=0.114905, val_miou=0.888451, val_dice=0.935104, infer_ms=2.576
epoch=43, train_loss=0.113707, val_miou=0.894634, val_dice=0.939136, infer_ms=2.542
epoch=44, train_loss=0.108929, val_miou=0.889802, val_dice=0.935886, infer_ms=2.556
epoch=45, train_loss=0.107566, val_miou=0.889568, val_dice=0.936039, infer_ms=2.561
epoch=46, train_loss=0.110604, val_miou=0.891005, val_dice=0.936990, infer_ms=2.531
epoch=47, train_loss=0.112764, val_miou=0.888403, val_dice=0.935141, infer_ms=2.600
epoch=48, train_loss=0.105706, val_miou=0.890793, val_dice=0.936811, infer_ms=2.547
epoch=49, train_loss=0.107454, val_miou=0.891708, val_dice=0.937378, infer_ms=2.513
