architecture=unet, variant=no_channel, seed=2024
epoch=0, train_loss=0.426534, val_miou=0.769670, val_dice=0.858770, infer_ms=2.590
epoch=1, train_loss=0.368622, val_miou=0.570728, val_dice=0.638519, infer_ms=2.594
epoch=2, train_loss=0.348221, val_miou=0.769096, val_dice=0.867561, infer_ms=2.593
epoch=3, train_loss=0.327781, val_miou=0.784182, val_dice=0.869656, infer_ms=2.608
epoch=4, train_loss=0.309037, val_miou=0.689914, val_dice=0.776081, infer_ms=2.619
epoch=5, train_loss=0.297265, val_miou=0.564898, val_dice=0.634027, infer_ms=2.623
epoch=6, train_loss=0.290316, val_miou=0.767002, val_dice=0.868984, infer_ms=2.627
epoch=7, train_loss=0.283936, val_miou=0.807628, val_dice=0.887433, infer_ms=2.665
epoch=8, train_loss=0.269450, val_miou=0.794952, val_dice=0.874017, infer_ms=2.648
epoch=9, train_loss=0.267115, val_miou=0.820280, val_dice=0.891711, infer_ms=2.603
epoch=10, train_loss=0.245340, val_miou=0.805505, val_dice=0.886011, infer_ms=2.674
epoch=11, train_loss=0.255396, val_miou=0.751106, val_dice=0.836483, infer_ms=2.622
epoch=12, train_loss=0.247491, val_miou=0.795186, val_dice=0.868856, infer_ms=2.677
epoch=13, train_loss=0.235950, val_miou=0.738182, val_dice=0.822313, infer_ms=2.621
epoch=14, train_loss=0.243965, val_miou=0.830599, val_dice=0.901234, infer_ms=2.635
epoch=15, train_loss=0.217154, val_miou=0.810718, val_dice=0.886112, infer_ms=2.579
epoch=16, train_loss=0.214062, val_miou=0.824296, val_dice=0.896460, infer_ms=2.602
epoch=17, train_loss=0.209915, val_miou=0.835618, val_dice=0.899372, infer_ms=2.602
epoch=18, train_loss=0.211747, val_miou=0.816959, val_dice=0.889258, infer_ms=2.591
epoch=19, train_loss=0.202913, val_miou=0.798759, val_dice=0.874117, infer_ms=2.584
epoch=20, train_loss=0.194002, val_miou=0.840001, val_dice=0.904944, infer_ms=2.599
epoch=21, train_loss=0.190074, val_miou=0.853941, val_dice=0.915740, infer_ms=2.640
epoch=22, train_loss=0.187206, val_miou=0.834514, val_dice=0.899269, infer_ms=2.639
epoch=23, train_loss=0.189725, val_miou=0.793573, val_dice=0.867912, infer_ms=2.645
epoch=24, train_loss=0.178892, val_miou=0.862269, val_dice=0.920562, infer_ms=2.612
epoch=25, train_loss=0.180860, val_miou=0.870998, val_dice=0.924779, infer_ms=2.626
epoch=26, train_loss=0.165467, val_miou=0.810807, val_dice=0.879349, infer_ms=2.622
epoch=27, train_loss=0.176152, val_miou=0.863870, val_dice=0.921530, infer_ms=2.631
epoch=28, train_loss=0.163925, val_miou=0.873530, val_dice=0.925180, infer_ms=2.617
epoch=29, train_loss=0.162450, val_miou=0.875817, val_dice=0.927639, infer_ms=2.668
epoch=30, train_loss=0.150756, val_miou=0.870619, val_dice=0.925561, infer_ms=2.603
epoch=31, train_loss=0.145214, val_miou=0.880797, val_dice=0.931012, infer_ms=2.566
epoch=32, train_loss=0.154005, val_miou=0.864773, val_dice=0.921271, infer_ms=2.591
epoch=33, train_loss=0.144506, val_miou=0.877731, val_dice=0.928954, infer_ms=2.604
epoch=34, train_loss=0.145174, val_miou=0.878181, val_dice=0.929554, infer_ms=2.559
epoch=35, train_loss=0.138590, val_miou=0.879561, val_dice=0.930007, infer_ms=2.580
epoch=36, train_loss=0.138233, val_miou=0.886983, val_dice=0.935121, infer_ms=2.578
epoch=37, train_loss=0.132657, val_miou=0.887327, val_dice=0.935181, infer_ms=2.608
epoch=38, train_loss=0.133853, val_miou=0.879808, val_dice=0.929819, infer_ms=2.618
epoch=39, train_loss=0.131761, val_miou=0.877966, val_dice=0.928479, infer_ms=2.580
epoch=40, train_loss=0.129415, val_miou=0.875413, val_dice=0.926765, infer_ms=2.597
epoch=41, train_loss=0.129809, val_miou=0.886949, val_dice=0.935161, infer_ms=2.555
epoch=42, train_loss=0.130766, val_miou=0.886353, val_dice=0.934047, infer_ms=2.552
epoch=43, train_loss=0.127155, val_miou=0.886708, val_dice=0.934330, infer_ms=2.556
epoch=44, train_loss=0.119829, val_miou=0.882579, val_dice=0.931238, infer_ms=2.577
epoch=45, train_loss=0.121250, val_miou=0.888770, val_dice=0.935840, infer_ms=2.616
epoch=46, train_loss=0.124101, val_miou=0.888036, val_dice=0.935473, infer_ms=2.547
epoch=47, train_loss=0.125726, val_miou=0.887607, val_dice=0.934813, infer_ms=2.541
epoch=48, train_loss=0.117832, val_miou=0.887932, val_dice=0.935378, infer_ms=2.505
epoch=49, train_loss=0.121193, val_miou=0.889718, val_dice=0.936340, infer_ms=2.531
