architecture=unet, variant=no_local_var, seed=2024
epoch=0, train_loss=0.423805, val_miou=0.747154, val_dice=0.833981, infer_ms=2.584
epoch=1, train_loss=0.370004, val_miou=0.727896, val_dice=0.814530, infer_ms=2.568
epoch=2, train_loss=0.344863, val_miou=0.792679, val_dice=0.875492, infer_ms=2.554
epoch=3, train_loss=0.315893, val_miou=0.752485, val_dice=0.844178, infer_ms=2.563
epoch=4, train_loss=0.306183, val_miou=0.796593, val_dice=0.875083, infer_ms=2.543
epoch=5, train_loss=0.293486, val_miou=0.788955, val_dice=0.870914, infer_ms=2.525
epoch=6, train_loss=0.287374, val_miou=0.764914, val_dice=0.867252, infer_ms=2.549
epoch=7, train_loss=0.271812, val_miou=0.734414, val_dice=0.820735, infer_ms=2.561
epoch=8, train_loss=0.263295, val_miou=0.733895, val_dice=0.819377, infer_ms=2.537
epoch=9, train_loss=0.260955, val_miou=0.786173, val_dice=0.866339, infer_ms=2.580
epoch=10, train_loss=0.239846, val_miou=0.805666, val_dice=0.883721, infer_ms=2.567
epoch=11, train_loss=0.248493, val_miou=0.785648, val_dice=0.865644, infer_ms=2.557
epoch=12, train_loss=0.240864, val_miou=0.834566, val_dice=0.899116, infer_ms=2.510
epoch=13, train_loss=0.222756, val_miou=0.824488, val_dice=0.892183, infer_ms=2.589
epoch=14, train_loss=0.227088, val_miou=0.821357, val_dice=0.892525, infer_ms=2.584
epoch=15, train_loss=0.202405, val_miou=0.848323, val_dice=0.912542, infer_ms=2.531
epoch=16, train_loss=0.205650, val_miou=0.840909, val_dice=0.905323, infer_ms=2.612
epoch=17, train_loss=0.203379, val_miou=0.860022, val_dice=0.915998, infer_ms=2.620
epoch=18, train_loss=0.201246, val_miou=0.844230, val_dice=0.907826, infer_ms=2.556
epoch=19, train_loss=0.193643, val_miou=0.842569, val_dice=0.905771, infer_ms=2.575
epoch=20, train_loss=0.189056, val_miou=0.860712, val_dice=0.917942, infer_ms=2.553
epoch=21, train_loss=0.174751, val_miou=0.866711, val_dice=0.922728, infer_ms=2.544
epoch=22, train_loss=0.182156, val_miou=0.847761, val_dice=0.908410, infer_ms=2.542
epoch=23, train_loss=0.176296, val_miou=0.870145, val_dice=0.923370, infer_ms=2.566
epoch=24, train_loss=0.172885, val_miou=0.880818, val_dice=0.930696, infer_ms=2.566
epoch=25, train_loss=0.165661, val_miou=0.879048, val_dice=0.929563, infer_ms=2.514
epoch=26, train_loss=0.157454, val_miou=0.869806, val_dice=0.922004, infer_ms=2.559
epoch=27, train_loss=0.160722, val_miou=0.878394, val_dice=0.929551, infer_ms=2.557
epoch=28, train_loss=0.162070, val_miou=0.882014, val_dice=0.931038, infer_ms=2.561
epoch=29, train_loss=0.152047, val_miou=0.884076, val_dice=0.932213, infer_ms=2.561
epoch=30, train_loss=0.141417, val_miou=0.881845, val_dice=0.931570, infer_ms=2.550
epoch=31, train_loss=0.137033, val_miou=0.883837, val_dice=0.933161, infer_ms=2.529
epoch=32, train_loss=0.138435, val_miou=0.873074, val_dice=0.925491, infer_ms=2.538
epoch=33, train_loss=0.133126, val_miou=0.892545, val_dice=0.937887, infer_ms=2.560
epoch=34, train_loss=0.132317, val_miou=0.887110, val_dice=0.934854, infer_ms=2.529
epoch=35, train_loss=0.128701, val_miou=0.889066, val_dice=0.935862, infer_ms=2.558
epoch=36, train_loss=0.125521, val_miou=0.883212, val_dice=0.932612, infer_ms=2.550
epoch=37, train_loss=0.121565, val_miou=0.886235, val_dice=0.934235, infer_ms=2.514
epoch=38, train_loss=0.124581, val_miou=0.888891, val_dice=0.935535, infer_ms=2.513
epoch=39, train_loss=0.117685, val_miou=0.893194, val_dice=0.938273, infer_ms=2.537
epoch=40, train_loss=0.115704, val_miou=0.890643, val_dice=0.936479, infer_ms=2.551
epoch=41, train_loss=0.116328, val_miou=0.897975, val_dice=0.941652, infer_ms=2.512
epoch=42, train_loss=0.117872, val_miou=0.892188, val_dice=0.937654, infer_ms=2.523
epoch=43, train_loss=0.115132, val_miou=0.892482, val_dice=0.937864, infer_ms=2.536
epoch=44, train_loss=0.110238, val_miou=0.890375, val_dice=0.936280, infer_ms=2.557
epoch=45, train_loss=0.109603, val_miou=0.890948, val_dice=0.937000, infer_ms=2.549
epoch=46, train_loss=0.111944, val_miou=0.890656, val_dice=0.936745, infer_ms=2.590
epoch=47, train_loss=0.113767, val_miou=0.889728, val_dice=0.936072, infer_ms=2.550
epoch=48, train_loss=0.107620, val_miou=0.890446, val_dice=0.936669, infer_ms=2.534
epoch=49, train_loss=0.109027, val_miou=0.892994, val_dice=0.938274, infer_ms=2.539
