architecture=fcn, variant=no_msc, seed=42
epoch=0, train_loss=0.523046, val_miou=0.582994, val_dice=0.688226, infer_ms=2.395
epoch=1, train_loss=0.429336, val_miou=0.701550, val_dice=0.791211, infer_ms=1.178
epoch=2, train_loss=0.389358, val_miou=0.686997, val_dice=0.781317, infer_ms=1.188
epoch=3, train_loss=0.373866, val_miou=0.736331, val_dice=0.839648, infer_ms=1.100
epoch=4, train_loss=0.360813, val_miou=0.634615, val_dice=0.726941, infer_ms=1.157
epoch=5, train_loss=0.349103, val_miou=0.568914, val_dice=0.641570, infer_ms=1.203
epoch=6, train_loss=0.326558, val_miou=0.693856, val_dice=0.782580, infer_ms=1.247
epoch=7, train_loss=0.321429, val_miou=0.763424, val_dice=0.843937, infer_ms=1.112
epoch=8, train_loss=0.309649, val_miou=0.730593, val_dice=0.818795, infer_ms=1.335
epoch=9, train_loss=0.308047, val_miou=0.685583, val_dice=0.782722, infer_ms=1.188
epoch=10, train_loss=0.301394, val_miou=0.766564, val_dice=0.848167, infer_ms=1.292
epoch=11, train_loss=0.294846, val_miou=0.783514, val_dice=0.865334, infer_ms=1.207
epoch=12, train_loss=0.290603, val_miou=0.775335, val_dice=0.867391, infer_ms=1.334
epoch=13, train_loss=0.290079, val_miou=0.659208, val_dice=0.750959, infer_ms=1.226
epoch=14, train_loss=0.274311, val_miou=0.788841, val_dice=0.866051, infer_ms=1.209
epoch=15, train_loss=0.270883, val_miou=0.791400, val_dice=0.870414, infer_ms=1.227
epoch=16, train_loss=0.259213, val_miou=0.739383, val_dice=0.827541, infer_ms=1.208
epoch=17, train_loss=0.254667, val_miou=0.784686, val_dice=0.862772, infer_ms=1.131
epoch=18, train_loss=0.263136, val_miou=0.730765, val_dice=0.819147, infer_ms=1.172
epoch=19, train_loss=0.249149, val_miou=0.791745, val_dice=0.868598, infer_ms=1.215
epoch=20, train_loss=0.243027, val_miou=0.783310, val_dice=0.869082, infer_ms=1.249
epoch=21, train_loss=0.242180, val_miou=0.779120, val_dice=0.858034, infer_ms=1.167
epoch=22, train_loss=0.240375, val_miou=0.797565, val_dice=0.879541, infer_ms=1.145
epoch=23, train_loss=0.241740, val_miou=0.790636, val_dice=0.872209, infer_ms=1.185
epoch=24, train_loss=0.226001, val_miou=0.798756, val_dice=0.874019, infer_ms=1.223
epoch=25, train_loss=0.246013, val_miou=0.784024, val_dice=0.866682, infer_ms=1.143
epoch=26, train_loss=0.221985, val_miou=0.781618, val_dice=0.862605, infer_ms=1.345
epoch=27, train_loss=0.218490, val_miou=0.773175, val_dice=0.853608, infer_ms=1.113
epoch=28, train_loss=0.213220, val_miou=0.810260, val_dice=0.887079, infer_ms=1.199
epoch=29, train_loss=0.206685, val_miou=0.817763, val_dice=0.888672, infer_ms=1.146
epoch=30, train_loss=0.205300, val_miou=0.823801, val_dice=0.891962, infer_ms=1.174
epoch=31, train_loss=0.203023, val_miou=0.807256, val_dice=0.880162, infer_ms=1.141
epoch=32, train_loss=0.196720, val_miou=0.811006, val_dice=0.883802, infer_ms=1.171
epoch=33, train_loss=0.197675, val_miou=0.821796, val_dice=0.893368, infer_ms=1.188
epoch=34, train_loss=0.192060, val_miou=0.818113, val_dice=0.890253, infer_ms=1.260
epoch=35, train_loss=0.194524, val_miou=0.824878, val_dice=0.894454, infer_ms=1.167
epoch=36, train_loss=0.188744, val_miou=0.823138, val_dice=0.891738, infer_ms=1.097
epoch=37, train_loss=0.183207, val_miou=0.824203, val_dice=0.895661, infer_ms=1.079
epoch=38, train_loss=0.181846, val_miou=0.824712, val_dice=0.892496, infer_ms=1.245
epoch=39, train_loss=0.181707, val_miou=0.833995, val_dice=0.899769, infer_ms=1.258
epoch=40, train_loss=0.180935, val_miou=0.819743, val_dice=0.889387, infer_ms=1.134
epoch=41, train_loss=0.183002, val_miou=0.823175, val_dice=0.892869, infer_ms=1.238
epoch=42, train_loss=0.181870, val_miou=0.835672, val_dice=0.901421, infer_ms=1.173
epoch=43, train_loss=0.177730, val_miou=0.833085, val_dice=0.899465, infer_ms=1.294
epoch=44, train_loss=0.177902, val_miou=0.829930, val_dice=0.896704, infer_ms=1.252
epoch=45, train_loss=0.176058, val_miou=0.831234, val_dice=0.897602, infer_ms=1.179
epoch=46, train_loss=0.175147, val_miou=0.834182, val_dice=0.900671, infer_ms=1.222
epoch=47, train_loss=0.175120, val_miou=0.834046, val_dice=0.899921, infer_ms=1.175
epoch=48, train_loss=0.173454, val_miou=0.835028, val_dice=0.901128, infer_ms=1.311
epoch=49, train_loss=0.173323, val_miou=0.833666, val_dice=0.900404, infer_ms=1.235
