architecture=unet, variant=no_msc, seed=123
epoch=0, train_loss=0.463563, val_miou=0.705228, val_dice=0.802506, infer_ms=2.503
epoch=1, train_loss=0.382032, val_miou=0.783186, val_dice=0.871321, infer_ms=2.596
epoch=2, train_loss=0.353558, val_miou=0.774792, val_dice=0.865154, infer_ms=2.528
epoch=3, train_loss=0.331773, val_miou=0.592374, val_dice=0.668808, infer_ms=2.519
epoch=4, train_loss=0.306474, val_miou=0.651304, val_dice=0.738215, infer_ms=2.526
epoch=5, train_loss=0.287283, val_miou=0.677284, val_dice=0.768743, infer_ms=2.506
epoch=6, train_loss=0.312143, val_miou=0.794597, val_dice=0.881041, infer_ms=2.505
epoch=7, train_loss=0.286640, val_miou=0.789358, val_dice=0.867174, infer_ms=2.510
epoch=8, train_loss=0.266961, val_miou=0.788098, val_dice=0.868596, infer_ms=2.510
epoch=9, train_loss=0.270708, val_miou=0.822670, val_dice=0.894734, infer_ms=2.520
epoch=10, train_loss=0.244950, val_miou=0.798312, val_dice=0.873634, infer_ms=2.549
epoch=11, train_loss=0.243708, val_miou=0.744089, val_dice=0.826834, infer_ms=2.521
epoch=12, train_loss=0.233960, val_miou=0.775592, val_dice=0.855208, infer_ms=2.528
epoch=13, train_loss=0.231344, val_miou=0.779964, val_dice=0.858372, infer_ms=2.542
epoch=14, train_loss=0.224918, val_miou=0.822212, val_dice=0.890981, infer_ms=2.529
epoch=15, train_loss=0.217476, val_miou=0.850647, val_dice=0.910564, infer_ms=2.527
epoch=16, train_loss=0.209308, val_miou=0.853319, val_dice=0.914214, infer_ms=2.527
epoch=17, train_loss=0.201615, val_miou=0.829677, val_dice=0.894429, infer_ms=2.537
epoch=18, train_loss=0.205681, val_miou=0.846504, val_dice=0.907034, infer_ms=2.554
epoch=19, train_loss=0.195127, val_miou=0.856412, val_dice=0.917057, infer_ms=2.622
epoch=20, train_loss=0.192896, val_miou=0.814148, val_dice=0.883797, infer_ms=2.514
epoch=21, train_loss=0.179692, val_miou=0.842081, val_dice=0.905832, infer_ms=2.530
epoch=22, train_loss=0.176325, val_miou=0.851895, val_dice=0.911491, infer_ms=2.538
epoch=23, train_loss=0.179773, val_miou=0.844405, val_dice=0.906470, infer_ms=2.538
epoch=24, train_loss=0.168372, val_miou=0.875622, val_dice=0.928336, infer_ms=2.602
epoch=25, train_loss=0.163911, val_miou=0.866478, val_dice=0.921703, infer_ms=2.617
epoch=26, train_loss=0.154273, val_miou=0.839458, val_dice=0.901400, infer_ms=2.551
epoch=27, train_loss=0.154463, val_miou=0.885621, val_dice=0.933362, infer_ms=2.569
epoch=28, train_loss=0.148458, val_miou=0.863467, val_dice=0.918498, infer_ms=2.537
epoch=29, train_loss=0.149865, val_miou=0.881934, val_dice=0.932349, infer_ms=2.586
epoch=30, train_loss=0.137512, val_miou=0.875868, val_dice=0.927465, infer_ms=2.600
epoch=31, train_loss=0.130849, val_miou=0.874049, val_dice=0.926268, infer_ms=2.562
epoch=32, train_loss=0.144059, val_miou=0.884294, val_dice=0.933546, infer_ms=2.565
epoch=33, train_loss=0.134487, val_miou=0.881947, val_dice=0.931319, infer_ms=2.588
epoch=34, train_loss=0.131165, val_miou=0.873803, val_dice=0.925898, infer_ms=2.591
epoch=35, train_loss=0.123101, val_miou=0.882432, val_dice=0.931201, infer_ms=2.556
epoch=36, train_loss=0.125355, val_miou=0.880054, val_dice=0.930562, infer_ms=2.549
epoch=37, train_loss=0.119959, val_miou=0.875019, val_dice=0.927111, infer_ms=2.607
epoch=38, train_loss=0.120093, val_miou=0.885886, val_dice=0.934114, infer_ms=2.538
epoch=39, train_loss=0.115442, val_miou=0.888169, val_dice=0.935031, infer_ms=2.616
epoch=40, train_loss=0.112338, val_miou=0.885238, val_dice=0.933428, infer_ms=2.534
epoch=41, train_loss=0.116946, val_miou=0.885835, val_dice=0.933973, infer_ms=2.800
epoch=42, train_loss=0.116830, val_miou=0.886319, val_dice=0.933978, infer_ms=2.534
epoch=43, train_loss=0.110984, val_miou=0.891527, val_dice=0.937269, infer_ms=2.535
epoch=44, train_loss=0.111025, val_miou=0.892408, val_dice=0.938051, infer_ms=2.580
epoch=45, train_loss=0.109163, val_miou=0.893497, val_dice=0.938788, infer_ms=2.563
epoch=46, train_loss=0.107262, val_miou=0.890045, val_dice=0.936307, infer_ms=2.545
epoch=47, train_loss=0.111564, val_miou=0.892324, val_dice=0.937888, infer_ms=2.548
epoch=48, train_loss=0.109307, val_miou=0.890623, val_dice=0.937085, infer_ms=2.524
epoch=49, train_loss=0.109411, val_miou=0.892304, val_dice=0.937874, infer_ms=2.555
