architecture,variant,seed,module_index,alpha_value,response_gate_mean,response_gate_std,lambda_value,base_response_gate_mean,base_response_gate_std,frequency_modulation_mean,frequency_modulation_std,final_response_gate_mean,final_response_gate_std,local_high_gap_mean,local_var_gap_mean,v1_response_gate_mean,v1_response_gate_std,v2d_boundary_gate_mean,v2d_speckle_gate_mean,v2d_combined_gate_mean,v2d_channel_gate_mean
fcn,v1_1,2024,0,0.4877764582633972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3366153836250305,0.31743746995925903,NA,NA,NA,NA
fcn,v1_1,2024,1,0.4947315454483032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49387305974960327,0.167603999376297,NA,NA,NA,NA
fcn,v2d_nomsc,2024,0,0.4856523871421814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9967085123062134,0.01854509487748146,0.9948329925537109,0.3589196801185608
fcn,v2d_nomsc,2024,1,0.49472999572753906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999291896820068,0.01799648255109787,0.9981216192245483,0.4925074577331543
fcn,v3_fcrg_a,2024,0,0.4863293468952179,0.3555245101451874,0.3158791959285736,NA,NA,NA,NA,NA,NA,NA,0.34504616260528564,0.9999926686286926,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_a,2024,1,0.48604074120521545,0.495940625667572,0.29389074444770813,NA,NA,NA,NA,NA,NA,NA,0.3106797933578491,0.9999935626983643,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_b,2024,0,0.48744845390319824,NA,NA,0.03494466096162796,0.35936522483825684,0.30460235476493835,-0.14329051971435547,0.7916203737258911,0.3597530126571655,0.30769604444503784,0.3576880395412445,0.999993085861206,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_b,2024,1,0.4922267496585846,NA,NA,0.0008614644757471979,0.49504852294921875,0.18095779418945312,0.012658300809562206,0.694595217704773,0.4950638711452484,0.18098805844783783,0.32861679792404175,0.9999942779541016,NA,NA,NA,NA,NA,NA
unet,v1_1,2024,0,0.5272253155708313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5164546966552734,0.3267512023448944,NA,NA,NA,NA
unet,v2d_nomsc,2024,0,0.5293522477149963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0018646717071533,0.018301712349057198,1.0000200271606445,0.504799485206604
unet,v3_fcrg_a,2024,0,0.5253247022628784,0.5565742254257202,0.3454080820083618,NA,NA,NA,NA,NA,NA,NA,0.14179563522338867,0.9919732809066772,NA,NA,NA,NA,NA,NA
unet,v3_fcrg_b,2024,0,0.524056077003479,NA,NA,0.008727735839784145,0.5246604681015015,0.3334278464317322,0.09250488877296448,0.8116390109062195,0.52599036693573,0.3350986838340759,0.1460125893354416,0.9999160766601562,NA,NA,NA,NA,NA,NA
