architecture=fcn, variant=v1_1, seed=2024
epoch=0, train_loss=0.504604, val_miou=0.678327, val_dice=0.810670, infer_ms=2.143
epoch=1, train_loss=0.417756, val_miou=0.581198, val_dice=0.668624, infer_ms=1.111
epoch=2, train_loss=0.396411, val_miou=0.733945, val_dice=0.839023, infer_ms=1.093
epoch=3, train_loss=0.367847, val_miou=0.735988, val_dice=0.824292, infer_ms=1.097
epoch=4, train_loss=0.338322, val_miou=0.690743, val_dice=0.792726, infer_ms=1.085
epoch=5, train_loss=0.350340, val_miou=0.761755, val_dice=0.846882, infer_ms=1.049
epoch=6, train_loss=0.339592, val_miou=0.751945, val_dice=0.846747, infer_ms=1.083
epoch=7, train_loss=0.318898, val_miou=0.738864, val_dice=0.834763, infer_ms=1.058
epoch=8, train_loss=0.310088, val_miou=0.745925, val_dice=0.842951, infer_ms=1.082
epoch=9, train_loss=0.306217, val_miou=0.740184, val_dice=0.829714, infer_ms=1.044
epoch=10, train_loss=0.288043, val_miou=0.757057, val_dice=0.854375, infer_ms=1.057
epoch=11, train_loss=0.291217, val_miou=0.751659, val_dice=0.842666, infer_ms=1.067
epoch=12, train_loss=0.287238, val_miou=0.779035, val_dice=0.859572, infer_ms=1.054
epoch=13, train_loss=0.275528, val_miou=0.746706, val_dice=0.834098, infer_ms=1.066
epoch=14, train_loss=0.288454, val_miou=0.791344, val_dice=0.869829, infer_ms=1.068
epoch=15, train_loss=0.262083, val_miou=0.781147, val_dice=0.863744, infer_ms=1.072
epoch=16, train_loss=0.253943, val_miou=0.773689, val_dice=0.857770, infer_ms=1.070
epoch=17, train_loss=0.258401, val_miou=0.710372, val_dice=0.798072, infer_ms=1.103
epoch=18, train_loss=0.252921, val_miou=0.781399, val_dice=0.861552, infer_ms=1.068
epoch=19, train_loss=0.246871, val_miou=0.752216, val_dice=0.836771, infer_ms=1.054
epoch=20, train_loss=0.237261, val_miou=0.777968, val_dice=0.856474, infer_ms=1.123
epoch=21, train_loss=0.237556, val_miou=0.789677, val_dice=0.868771, infer_ms=1.073
epoch=22, train_loss=0.236714, val_miou=0.785235, val_dice=0.863325, infer_ms=1.059
epoch=23, train_loss=0.230820, val_miou=0.783967, val_dice=0.864348, infer_ms=1.114
epoch=24, train_loss=0.227922, val_miou=0.819856, val_dice=0.889605, infer_ms=1.406
epoch=25, train_loss=0.219337, val_miou=0.801664, val_dice=0.881461, infer_ms=1.092
epoch=26, train_loss=0.215525, val_miou=0.788901, val_dice=0.865957, infer_ms=1.065
epoch=27, train_loss=0.225681, val_miou=0.818341, val_dice=0.891441, infer_ms=1.325
epoch=28, train_loss=0.215064, val_miou=0.802864, val_dice=0.877167, infer_ms=1.117
epoch=29, train_loss=0.204299, val_miou=0.818007, val_dice=0.889629, infer_ms=1.061
epoch=30, train_loss=0.197904, val_miou=0.823783, val_dice=0.893349, infer_ms=1.097
epoch=31, train_loss=0.192953, val_miou=0.834539, val_dice=0.899952, infer_ms=1.094
epoch=32, train_loss=0.197523, val_miou=0.832524, val_dice=0.898404, infer_ms=1.079
epoch=33, train_loss=0.191408, val_miou=0.835344, val_dice=0.900340, infer_ms=1.067
epoch=34, train_loss=0.189993, val_miou=0.827451, val_dice=0.895165, infer_ms=1.135
epoch=35, train_loss=0.187472, val_miou=0.834482, val_dice=0.899813, infer_ms=1.088
epoch=36, train_loss=0.194097, val_miou=0.832135, val_dice=0.899370, infer_ms=1.065
epoch=37, train_loss=0.182987, val_miou=0.837255, val_dice=0.902167, infer_ms=1.070
epoch=38, train_loss=0.183063, val_miou=0.840755, val_dice=0.905776, infer_ms=1.078
epoch=39, train_loss=0.182708, val_miou=0.836604, val_dice=0.901857, infer_ms=1.049
epoch=40, train_loss=0.176251, val_miou=0.834242, val_dice=0.900179, infer_ms=1.050
epoch=41, train_loss=0.176657, val_miou=0.836903, val_dice=0.903331, infer_ms=1.082
epoch=42, train_loss=0.173464, val_miou=0.842662, val_dice=0.905899, infer_ms=1.092
epoch=43, train_loss=0.173473, val_miou=0.843120, val_dice=0.906027, infer_ms=1.064
epoch=44, train_loss=0.170298, val_miou=0.840996, val_dice=0.904696, infer_ms=1.090
epoch=45, train_loss=0.168171, val_miou=0.841705, val_dice=0.905820, infer_ms=1.080
epoch=46, train_loss=0.169225, val_miou=0.841937, val_dice=0.905616, infer_ms=1.057
epoch=47, train_loss=0.171369, val_miou=0.840393, val_dice=0.904330, infer_ms=1.054
epoch=48, train_loss=0.167462, val_miou=0.841204, val_dice=0.905479, infer_ms=1.058
epoch=49, train_loss=0.166861, val_miou=0.842468, val_dice=0.906300, infer_ms=1.081
