architecture=fcn, variant=v2d_nomsc, seed=2024
epoch=0, train_loss=0.503710, val_miou=0.668378, val_dice=0.776899, infer_ms=1.326
epoch=1, train_loss=0.416617, val_miou=0.490884, val_dice=0.522818, infer_ms=1.098
epoch=2, train_loss=0.395379, val_miou=0.690213, val_dice=0.784514, infer_ms=1.186
epoch=3, train_loss=0.361516, val_miou=0.573659, val_dice=0.639851, infer_ms=1.197
epoch=4, train_loss=0.340559, val_miou=0.693733, val_dice=0.798468, infer_ms=1.093
epoch=5, train_loss=0.342780, val_miou=0.681559, val_dice=0.773911, infer_ms=1.196
epoch=6, train_loss=0.338179, val_miou=0.745967, val_dice=0.844866, infer_ms=1.180
epoch=7, train_loss=0.316044, val_miou=0.741155, val_dice=0.837249, infer_ms=1.206
epoch=8, train_loss=0.315540, val_miou=0.775079, val_dice=0.862760, infer_ms=1.145
epoch=9, train_loss=0.312290, val_miou=0.717157, val_dice=0.810011, infer_ms=1.262
epoch=10, train_loss=0.286687, val_miou=0.738603, val_dice=0.837194, infer_ms=1.242
epoch=11, train_loss=0.292833, val_miou=0.754022, val_dice=0.844203, infer_ms=1.337
epoch=12, train_loss=0.291760, val_miou=0.764433, val_dice=0.846620, infer_ms=1.215
epoch=13, train_loss=0.277747, val_miou=0.763729, val_dice=0.849131, infer_ms=1.249
epoch=14, train_loss=0.279592, val_miou=0.808010, val_dice=0.884026, infer_ms=1.222
epoch=15, train_loss=0.263107, val_miou=0.774587, val_dice=0.860712, infer_ms=1.207
epoch=16, train_loss=0.262030, val_miou=0.758144, val_dice=0.845912, infer_ms=1.194
epoch=17, train_loss=0.252377, val_miou=0.786148, val_dice=0.862774, infer_ms=1.181
epoch=18, train_loss=0.248828, val_miou=0.771598, val_dice=0.855089, infer_ms=1.221
epoch=19, train_loss=0.241488, val_miou=0.771204, val_dice=0.853045, infer_ms=1.250
epoch=20, train_loss=0.237537, val_miou=0.798184, val_dice=0.872295, infer_ms=1.197
epoch=21, train_loss=0.230143, val_miou=0.798775, val_dice=0.875404, infer_ms=1.131
epoch=22, train_loss=0.230719, val_miou=0.774548, val_dice=0.853412, infer_ms=1.133
epoch=23, train_loss=0.231022, val_miou=0.803819, val_dice=0.879584, infer_ms=1.214
epoch=24, train_loss=0.225943, val_miou=0.822058, val_dice=0.892711, infer_ms=1.204
epoch=25, train_loss=0.220013, val_miou=0.807285, val_dice=0.883165, infer_ms=1.184
epoch=26, train_loss=0.212084, val_miou=0.768635, val_dice=0.848420, infer_ms=1.242
epoch=27, train_loss=0.223786, val_miou=0.807103, val_dice=0.882605, infer_ms=1.147
epoch=28, train_loss=0.213855, val_miou=0.809815, val_dice=0.885000, infer_ms=1.137
epoch=29, train_loss=0.206283, val_miou=0.819728, val_dice=0.888741, infer_ms=1.200
epoch=30, train_loss=0.203014, val_miou=0.823039, val_dice=0.892969, infer_ms=1.184
epoch=31, train_loss=0.191651, val_miou=0.838366, val_dice=0.902299, infer_ms=1.131
epoch=32, train_loss=0.195335, val_miou=0.830299, val_dice=0.897258, infer_ms=1.221
epoch=33, train_loss=0.190590, val_miou=0.831676, val_dice=0.897857, infer_ms=1.187
epoch=34, train_loss=0.190538, val_miou=0.826073, val_dice=0.893441, infer_ms=1.162
epoch=35, train_loss=0.186455, val_miou=0.839844, val_dice=0.903698, infer_ms=1.161
epoch=36, train_loss=0.191019, val_miou=0.840804, val_dice=0.904987, infer_ms=1.177
epoch=37, train_loss=0.182375, val_miou=0.838307, val_dice=0.903760, infer_ms=1.178
epoch=38, train_loss=0.179715, val_miou=0.843976, val_dice=0.906638, infer_ms=1.178
epoch=39, train_loss=0.181016, val_miou=0.835780, val_dice=0.901453, infer_ms=1.172
epoch=40, train_loss=0.176736, val_miou=0.834885, val_dice=0.899857, infer_ms=1.200
epoch=41, train_loss=0.177151, val_miou=0.843602, val_dice=0.906918, infer_ms=1.104
epoch=42, train_loss=0.175653, val_miou=0.842480, val_dice=0.905200, infer_ms=1.249
epoch=43, train_loss=0.174507, val_miou=0.847445, val_dice=0.908951, infer_ms=1.091
epoch=44, train_loss=0.170071, val_miou=0.842845, val_dice=0.905862, infer_ms=1.154
epoch=45, train_loss=0.169640, val_miou=0.845438, val_dice=0.908126, infer_ms=1.138
epoch=46, train_loss=0.171654, val_miou=0.844002, val_dice=0.906898, infer_ms=1.220
epoch=47, train_loss=0.172448, val_miou=0.842715, val_dice=0.905541, infer_ms=1.092
epoch=48, train_loss=0.169142, val_miou=0.845705, val_dice=0.907994, infer_ms=1.143
epoch=49, train_loss=0.167783, val_miou=0.846382, val_dice=0.908499, infer_ms=1.145
