architecture=fcn, variant=v3_fcrg_a, seed=2024
epoch=0, train_loss=0.493458, val_miou=0.689022, val_dice=0.784421, infer_ms=1.427
epoch=1, train_loss=0.424857, val_miou=0.640075, val_dice=0.737553, infer_ms=1.128
epoch=2, train_loss=0.389905, val_miou=0.725900, val_dice=0.815031, infer_ms=1.089
epoch=3, train_loss=0.358275, val_miou=0.684013, val_dice=0.768057, infer_ms=1.104
epoch=4, train_loss=0.335452, val_miou=0.672636, val_dice=0.771986, infer_ms=1.789
epoch=5, train_loss=0.349930, val_miou=0.601957, val_dice=0.691743, infer_ms=1.100
epoch=6, train_loss=0.339586, val_miou=0.731446, val_dice=0.832790, infer_ms=1.119
epoch=7, train_loss=0.320539, val_miou=0.748492, val_dice=0.843701, infer_ms=1.148
epoch=8, train_loss=0.316213, val_miou=0.759521, val_dice=0.853899, infer_ms=1.142
epoch=9, train_loss=0.303175, val_miou=0.706885, val_dice=0.801393, infer_ms=1.106
epoch=10, train_loss=0.284248, val_miou=0.748540, val_dice=0.846849, infer_ms=1.175
epoch=11, train_loss=0.291368, val_miou=0.708801, val_dice=0.803962, infer_ms=1.115
epoch=12, train_loss=0.287531, val_miou=0.773071, val_dice=0.853178, infer_ms=1.131
epoch=13, train_loss=0.283962, val_miou=0.764034, val_dice=0.853897, infer_ms=1.163
epoch=14, train_loss=0.284682, val_miou=0.794436, val_dice=0.876131, infer_ms=1.141
epoch=15, train_loss=0.266021, val_miou=0.718419, val_dice=0.811832, infer_ms=1.126
epoch=16, train_loss=0.260753, val_miou=0.758004, val_dice=0.842467, infer_ms=1.113
epoch=17, train_loss=0.254114, val_miou=0.740516, val_dice=0.825097, infer_ms=1.181
epoch=18, train_loss=0.257034, val_miou=0.747570, val_dice=0.832377, infer_ms=1.111
epoch=19, train_loss=0.245839, val_miou=0.763646, val_dice=0.846250, infer_ms=1.098
epoch=20, train_loss=0.239197, val_miou=0.809488, val_dice=0.882516, infer_ms=1.083
epoch=21, train_loss=0.234208, val_miou=0.799876, val_dice=0.877375, infer_ms=1.096
epoch=22, train_loss=0.236107, val_miou=0.772018, val_dice=0.852350, infer_ms=1.085
epoch=23, train_loss=0.232663, val_miou=0.760251, val_dice=0.843751, infer_ms=1.106
epoch=24, train_loss=0.225129, val_miou=0.810400, val_dice=0.884637, infer_ms=1.112
epoch=25, train_loss=0.218525, val_miou=0.796872, val_dice=0.878949, infer_ms=1.120
epoch=26, train_loss=0.217189, val_miou=0.772385, val_dice=0.851672, infer_ms=1.189
epoch=27, train_loss=0.222804, val_miou=0.813962, val_dice=0.886507, infer_ms=1.072
epoch=28, train_loss=0.217192, val_miou=0.809436, val_dice=0.882359, infer_ms=1.123
epoch=29, train_loss=0.207316, val_miou=0.809350, val_dice=0.883778, infer_ms=1.114
epoch=30, train_loss=0.200897, val_miou=0.814510, val_dice=0.888564, infer_ms=1.098
epoch=31, train_loss=0.195968, val_miou=0.816512, val_dice=0.886551, infer_ms=1.157
epoch=32, train_loss=0.199341, val_miou=0.828802, val_dice=0.895808, infer_ms=1.121
epoch=33, train_loss=0.192315, val_miou=0.829685, val_dice=0.896550, infer_ms=1.116
epoch=34, train_loss=0.194001, val_miou=0.813417, val_dice=0.885534, infer_ms=1.098
epoch=35, train_loss=0.188775, val_miou=0.826696, val_dice=0.894813, infer_ms=1.091
epoch=36, train_loss=0.188136, val_miou=0.825085, val_dice=0.893614, infer_ms=1.142
epoch=37, train_loss=0.184778, val_miou=0.823933, val_dice=0.893508, infer_ms=1.115
epoch=38, train_loss=0.182033, val_miou=0.836096, val_dice=0.901944, infer_ms=1.119
epoch=39, train_loss=0.180283, val_miou=0.825394, val_dice=0.894013, infer_ms=1.097
epoch=40, train_loss=0.176917, val_miou=0.823394, val_dice=0.892241, infer_ms=1.126
epoch=41, train_loss=0.178950, val_miou=0.830924, val_dice=0.899062, infer_ms=1.079
epoch=42, train_loss=0.176326, val_miou=0.831778, val_dice=0.898865, infer_ms=1.104
epoch=43, train_loss=0.172949, val_miou=0.831795, val_dice=0.898642, infer_ms=1.136
epoch=44, train_loss=0.172254, val_miou=0.830453, val_dice=0.897840, infer_ms=1.122
epoch=45, train_loss=0.169619, val_miou=0.830600, val_dice=0.897928, infer_ms=1.169
epoch=46, train_loss=0.170410, val_miou=0.829517, val_dice=0.897647, infer_ms=1.100
epoch=47, train_loss=0.170589, val_miou=0.830176, val_dice=0.897207, infer_ms=1.578
epoch=48, train_loss=0.169146, val_miou=0.831352, val_dice=0.898749, infer_ms=1.124
epoch=49, train_loss=0.167159, val_miou=0.832777, val_dice=0.899422, infer_ms=1.108
