architecture=fcn, variant=v3_fcrg_b, seed=2024
epoch=0, train_loss=0.487583, val_miou=0.706567, val_dice=0.805613, infer_ms=1.435
epoch=1, train_loss=0.409106, val_miou=0.678784, val_dice=0.781386, infer_ms=1.131
epoch=2, train_loss=0.387450, val_miou=0.706787, val_dice=0.806395, infer_ms=1.214
epoch=3, train_loss=0.359998, val_miou=0.636245, val_dice=0.719663, infer_ms=1.250
epoch=4, train_loss=0.341851, val_miou=0.657631, val_dice=0.770440, infer_ms=1.218
epoch=5, train_loss=0.344963, val_miou=0.673349, val_dice=0.771471, infer_ms=1.156
epoch=6, train_loss=0.328265, val_miou=0.763647, val_dice=0.857621, infer_ms=1.201
epoch=7, train_loss=0.322578, val_miou=0.752131, val_dice=0.842401, infer_ms=1.159
epoch=8, train_loss=0.312885, val_miou=0.750855, val_dice=0.845832, infer_ms=1.113
epoch=9, train_loss=0.307914, val_miou=0.750685, val_dice=0.837341, infer_ms=1.174
epoch=10, train_loss=0.290263, val_miou=0.761911, val_dice=0.850435, infer_ms=1.219
epoch=11, train_loss=0.292113, val_miou=0.755270, val_dice=0.844296, infer_ms=1.150
epoch=12, train_loss=0.290100, val_miou=0.781794, val_dice=0.860535, infer_ms=1.190
epoch=13, train_loss=0.274289, val_miou=0.786180, val_dice=0.868655, infer_ms=1.077
epoch=14, train_loss=0.280397, val_miou=0.796851, val_dice=0.876453, infer_ms=1.199
epoch=15, train_loss=0.261316, val_miou=0.756006, val_dice=0.842982, infer_ms=1.128
epoch=16, train_loss=0.260379, val_miou=0.779285, val_dice=0.859946, infer_ms=1.144
epoch=17, train_loss=0.251190, val_miou=0.753013, val_dice=0.834779, infer_ms=1.114
epoch=18, train_loss=0.249050, val_miou=0.725493, val_dice=0.812012, infer_ms=1.203
epoch=19, train_loss=0.243946, val_miou=0.767971, val_dice=0.850998, infer_ms=1.174
epoch=20, train_loss=0.232476, val_miou=0.811671, val_dice=0.885094, infer_ms=1.165
epoch=21, train_loss=0.232662, val_miou=0.798975, val_dice=0.876425, infer_ms=1.143
epoch=22, train_loss=0.229697, val_miou=0.800756, val_dice=0.874089, infer_ms=1.300
epoch=23, train_loss=0.221152, val_miou=0.771371, val_dice=0.852561, infer_ms=1.124
epoch=24, train_loss=0.219781, val_miou=0.815809, val_dice=0.886769, infer_ms=1.101
epoch=25, train_loss=0.213005, val_miou=0.811333, val_dice=0.885363, infer_ms=1.112
epoch=26, train_loss=0.211205, val_miou=0.766203, val_dice=0.847594, infer_ms=1.165
epoch=27, train_loss=0.222026, val_miou=0.799106, val_dice=0.875533, infer_ms=1.187
epoch=28, train_loss=0.217931, val_miou=0.792928, val_dice=0.868016, infer_ms=1.102
epoch=29, train_loss=0.207261, val_miou=0.816565, val_dice=0.886585, infer_ms=1.140
epoch=30, train_loss=0.196222, val_miou=0.819887, val_dice=0.889656, infer_ms=1.201
epoch=31, train_loss=0.191324, val_miou=0.829921, val_dice=0.896347, infer_ms=1.200
epoch=32, train_loss=0.194972, val_miou=0.830031, val_dice=0.896784, infer_ms=1.183
epoch=33, train_loss=0.190018, val_miou=0.833071, val_dice=0.898064, infer_ms=1.155
epoch=34, train_loss=0.192029, val_miou=0.831957, val_dice=0.897985, infer_ms=1.188
epoch=35, train_loss=0.187287, val_miou=0.823431, val_dice=0.891072, infer_ms=1.191
epoch=36, train_loss=0.183744, val_miou=0.832308, val_dice=0.897488, infer_ms=1.170
epoch=37, train_loss=0.179381, val_miou=0.835685, val_dice=0.900733, infer_ms=1.164
epoch=38, train_loss=0.179419, val_miou=0.839337, val_dice=0.904018, infer_ms=1.117
epoch=39, train_loss=0.181341, val_miou=0.835022, val_dice=0.900278, infer_ms=1.169
epoch=40, train_loss=0.177765, val_miou=0.826439, val_dice=0.893802, infer_ms=1.309
epoch=41, train_loss=0.173296, val_miou=0.845357, val_dice=0.908126, infer_ms=1.164
epoch=42, train_loss=0.173272, val_miou=0.842930, val_dice=0.905197, infer_ms=1.182
epoch=43, train_loss=0.170826, val_miou=0.840802, val_dice=0.904028, infer_ms=1.139
epoch=44, train_loss=0.169332, val_miou=0.838752, val_dice=0.902528, infer_ms=1.212
epoch=45, train_loss=0.167015, val_miou=0.844116, val_dice=0.906453, infer_ms=1.223
epoch=46, train_loss=0.167846, val_miou=0.845087, val_dice=0.907282, infer_ms=1.157
epoch=47, train_loss=0.167351, val_miou=0.841497, val_dice=0.904089, infer_ms=1.215
epoch=48, train_loss=0.167138, val_miou=0.844144, val_dice=0.906557, infer_ms=1.145
epoch=49, train_loss=0.166094, val_miou=0.844842, val_dice=0.906836, infer_ms=1.150
