architecture=unet, variant=v3_fcrg_a, seed=2024
epoch=0, train_loss=0.429179, val_miou=0.762056, val_dice=0.849482, infer_ms=2.581
epoch=1, train_loss=0.371588, val_miou=0.584772, val_dice=0.659433, infer_ms=2.625
epoch=2, train_loss=0.349883, val_miou=0.798941, val_dice=0.883016, infer_ms=2.563
epoch=3, train_loss=0.314981, val_miou=0.791521, val_dice=0.875994, infer_ms=2.578
epoch=4, train_loss=0.311005, val_miou=0.735526, val_dice=0.818243, infer_ms=2.621
epoch=5, train_loss=0.295718, val_miou=0.801634, val_dice=0.878115, infer_ms=2.723
epoch=6, train_loss=0.290742, val_miou=0.734385, val_dice=0.853078, infer_ms=2.625
epoch=7, train_loss=0.279133, val_miou=0.807669, val_dice=0.884040, infer_ms=2.587
epoch=8, train_loss=0.267529, val_miou=0.794861, val_dice=0.873122, infer_ms=2.608
epoch=9, train_loss=0.257665, val_miou=0.816238, val_dice=0.889405, infer_ms=2.611
epoch=10, train_loss=0.245354, val_miou=0.789313, val_dice=0.871864, infer_ms=3.321
epoch=11, train_loss=0.250940, val_miou=0.805294, val_dice=0.881526, infer_ms=2.626
epoch=12, train_loss=0.247610, val_miou=0.839746, val_dice=0.903649, infer_ms=2.592
epoch=13, train_loss=0.228733, val_miou=0.832996, val_dice=0.897790, infer_ms=2.632
epoch=14, train_loss=0.232277, val_miou=0.803567, val_dice=0.880190, infer_ms=2.587
epoch=15, train_loss=0.209280, val_miou=0.834919, val_dice=0.905489, infer_ms=2.612
epoch=16, train_loss=0.212238, val_miou=0.828141, val_dice=0.896719, infer_ms=2.612
epoch=17, train_loss=0.206014, val_miou=0.843133, val_dice=0.906058, infer_ms=2.643
epoch=18, train_loss=0.209935, val_miou=0.821862, val_dice=0.893616, infer_ms=2.555
epoch=19, train_loss=0.203619, val_miou=0.827560, val_dice=0.896400, infer_ms=2.587
epoch=20, train_loss=0.194358, val_miou=0.782128, val_dice=0.859948, infer_ms=2.531
epoch=21, train_loss=0.183243, val_miou=0.850727, val_dice=0.911815, infer_ms=3.225
epoch=22, train_loss=0.188477, val_miou=0.826647, val_dice=0.894610, infer_ms=2.569
epoch=23, train_loss=0.183782, val_miou=0.850918, val_dice=0.910816, infer_ms=2.569
epoch=24, train_loss=0.178775, val_miou=0.865098, val_dice=0.921440, infer_ms=2.567
epoch=25, train_loss=0.173163, val_miou=0.864339, val_dice=0.920903, infer_ms=2.581
epoch=26, train_loss=0.166016, val_miou=0.861682, val_dice=0.916824, infer_ms=2.551
epoch=27, train_loss=0.164288, val_miou=0.867815, val_dice=0.923629, infer_ms=2.588
epoch=28, train_loss=0.168211, val_miou=0.876222, val_dice=0.927378, infer_ms=2.605
epoch=29, train_loss=0.158110, val_miou=0.874727, val_dice=0.926660, infer_ms=2.635
epoch=30, train_loss=0.147565, val_miou=0.877790, val_dice=0.929464, infer_ms=2.636
epoch=31, train_loss=0.143397, val_miou=0.869042, val_dice=0.923481, infer_ms=2.599
epoch=32, train_loss=0.144534, val_miou=0.861521, val_dice=0.918280, infer_ms=2.617
epoch=33, train_loss=0.136667, val_miou=0.888919, val_dice=0.936162, infer_ms=2.635
epoch=34, train_loss=0.140183, val_miou=0.875432, val_dice=0.927348, infer_ms=2.607
epoch=35, train_loss=0.135468, val_miou=0.877896, val_dice=0.928660, infer_ms=2.637
epoch=36, train_loss=0.130956, val_miou=0.880681, val_dice=0.930969, infer_ms=2.608
epoch=37, train_loss=0.124850, val_miou=0.880262, val_dice=0.930421, infer_ms=2.625
epoch=38, train_loss=0.133331, val_miou=0.883855, val_dice=0.932672, infer_ms=2.562
epoch=39, train_loss=0.123117, val_miou=0.877263, val_dice=0.928401, infer_ms=2.642
epoch=40, train_loss=0.121108, val_miou=0.875800, val_dice=0.927148, infer_ms=2.625
epoch=41, train_loss=0.120215, val_miou=0.885048, val_dice=0.934047, infer_ms=2.620
epoch=42, train_loss=0.121923, val_miou=0.881923, val_dice=0.931192, infer_ms=2.630
epoch=43, train_loss=0.118317, val_miou=0.884797, val_dice=0.933295, infer_ms=2.567
epoch=44, train_loss=0.113843, val_miou=0.879153, val_dice=0.929475, infer_ms=2.592
epoch=45, train_loss=0.113127, val_miou=0.878742, val_dice=0.929518, infer_ms=2.578
epoch=46, train_loss=0.117017, val_miou=0.878288, val_dice=0.929516, infer_ms=2.565
epoch=47, train_loss=0.117380, val_miou=0.879388, val_dice=0.929781, infer_ms=2.589
epoch=48, train_loss=0.110563, val_miou=0.880695, val_dice=0.930843, infer_ms=2.592
epoch=49, train_loss=0.113515, val_miou=0.882492, val_dice=0.931974, infer_ms=2.585
