architecture=unet, variant=v3_fcrg_b, seed=2024
epoch=0, train_loss=0.427549, val_miou=0.746800, val_dice=0.836020, infer_ms=2.648
epoch=1, train_loss=0.367147, val_miou=0.593381, val_dice=0.667034, infer_ms=2.566
epoch=2, train_loss=0.345364, val_miou=0.789519, val_dice=0.874472, infer_ms=2.575
epoch=3, train_loss=0.319580, val_miou=0.680829, val_dice=0.777100, infer_ms=2.606
epoch=4, train_loss=0.306944, val_miou=0.597439, val_dice=0.671154, infer_ms=2.590
epoch=5, train_loss=0.293909, val_miou=0.803892, val_dice=0.882805, infer_ms=2.564
epoch=6, train_loss=0.291897, val_miou=0.739700, val_dice=0.854101, infer_ms=2.581
epoch=7, train_loss=0.272230, val_miou=0.812643, val_dice=0.887954, infer_ms=2.571
epoch=8, train_loss=0.262570, val_miou=0.793850, val_dice=0.872643, infer_ms=2.637
epoch=9, train_loss=0.255367, val_miou=0.797944, val_dice=0.874145, infer_ms=2.597
epoch=10, train_loss=0.241244, val_miou=0.810170, val_dice=0.886426, infer_ms=2.588
epoch=11, train_loss=0.248080, val_miou=0.759066, val_dice=0.844439, infer_ms=2.570
epoch=12, train_loss=0.243687, val_miou=0.824819, val_dice=0.890633, infer_ms=2.572
epoch=13, train_loss=0.223719, val_miou=0.777354, val_dice=0.855856, infer_ms=2.630
epoch=14, train_loss=0.224364, val_miou=0.805054, val_dice=0.880041, infer_ms=2.566
epoch=15, train_loss=0.202011, val_miou=0.844165, val_dice=0.909786, infer_ms=2.580
epoch=16, train_loss=0.202199, val_miou=0.842646, val_dice=0.906893, infer_ms=2.652
epoch=17, train_loss=0.199600, val_miou=0.840216, val_dice=0.901897, infer_ms=2.623
epoch=18, train_loss=0.200776, val_miou=0.823905, val_dice=0.892870, infer_ms=2.606
epoch=19, train_loss=0.196804, val_miou=0.838472, val_dice=0.903152, infer_ms=2.591
epoch=20, train_loss=0.189143, val_miou=0.848907, val_dice=0.910638, infer_ms=2.586
epoch=21, train_loss=0.174234, val_miou=0.863982, val_dice=0.920340, infer_ms=2.604
epoch=22, train_loss=0.174999, val_miou=0.864837, val_dice=0.919476, infer_ms=2.601
epoch=23, train_loss=0.179709, val_miou=0.863499, val_dice=0.918959, infer_ms=2.612
epoch=24, train_loss=0.169475, val_miou=0.866837, val_dice=0.922492, infer_ms=2.596
epoch=25, train_loss=0.164995, val_miou=0.867641, val_dice=0.923191, infer_ms=2.594
epoch=26, train_loss=0.157733, val_miou=0.874118, val_dice=0.924880, infer_ms=2.615
epoch=27, train_loss=0.158604, val_miou=0.879181, val_dice=0.930645, infer_ms=2.588
epoch=28, train_loss=0.162512, val_miou=0.871878, val_dice=0.924712, infer_ms=2.594
epoch=29, train_loss=0.151156, val_miou=0.880106, val_dice=0.929979, infer_ms=2.558
epoch=30, train_loss=0.140071, val_miou=0.880418, val_dice=0.931131, infer_ms=2.576
epoch=31, train_loss=0.136208, val_miou=0.876661, val_dice=0.928504, infer_ms=2.589
epoch=32, train_loss=0.141135, val_miou=0.874025, val_dice=0.926707, infer_ms=2.622
epoch=33, train_loss=0.134537, val_miou=0.890844, val_dice=0.936948, infer_ms=2.629
epoch=34, train_loss=0.132866, val_miou=0.877456, val_dice=0.928946, infer_ms=2.606
epoch=35, train_loss=0.131290, val_miou=0.887766, val_dice=0.935128, infer_ms=2.574
epoch=36, train_loss=0.125563, val_miou=0.886522, val_dice=0.934614, infer_ms=2.637
epoch=37, train_loss=0.119771, val_miou=0.886768, val_dice=0.934440, infer_ms=2.635
epoch=38, train_loss=0.123288, val_miou=0.890568, val_dice=0.936674, infer_ms=2.618
epoch=39, train_loss=0.116927, val_miou=0.888793, val_dice=0.935455, infer_ms=2.665
epoch=40, train_loss=0.116897, val_miou=0.886668, val_dice=0.933879, infer_ms=2.554
epoch=41, train_loss=0.116123, val_miou=0.891561, val_dice=0.937881, infer_ms=2.570
epoch=42, train_loss=0.119034, val_miou=0.887121, val_dice=0.934066, infer_ms=2.610
epoch=43, train_loss=0.113504, val_miou=0.893119, val_dice=0.938102, infer_ms=2.593
epoch=44, train_loss=0.110492, val_miou=0.888679, val_dice=0.935155, infer_ms=2.607
epoch=45, train_loss=0.109021, val_miou=0.890314, val_dice=0.936633, infer_ms=2.573
epoch=46, train_loss=0.111746, val_miou=0.890130, val_dice=0.936429, infer_ms=2.650
epoch=47, train_loss=0.113934, val_miou=0.888359, val_dice=0.935164, infer_ms=2.608
epoch=48, train_loss=0.106966, val_miou=0.890703, val_dice=0.936751, infer_ms=2.618
epoch=49, train_loss=0.108380, val_miou=0.891418, val_dice=0.937201, infer_ms=2.571
