architecture,variant,seed,module_index,alpha_value,response_gate_mean,response_gate_std,lambda_value,base_response_gate_mean,base_response_gate_std,frequency_modulation_mean,frequency_modulation_std,final_response_gate_mean,final_response_gate_std,local_high_gap_mean,local_var_gap_mean,v1_response_gate_mean,v1_response_gate_std,v2d_boundary_gate_mean,v2d_speckle_gate_mean,v2d_combined_gate_mean,v2d_channel_gate_mean
fcn,v1_1,2024,0,0.4853875935077667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3372449278831482,0.31303736567497253,NA,NA,NA,NA
fcn,v1_1,2024,1,0.49355220794677734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4933099150657654,0.1715080738067627,NA,NA,NA,NA
fcn,v2d_nomsc,2024,0,0.48738333582878113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9973608255386353,0.018504124134778976,0.9954915046691895,0.34904661774635315
fcn,v2d_nomsc,2024,1,0.4948972463607788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999719858169556,0.01799294725060463,0.9981650114059448,0.49355489015579224
fcn,v3_fcrg_a,2024,0,0.473283976316452,0.43692487478256226,0.30826738476753235,NA,NA,NA,NA,NA,NA,NA,0.35023874044418335,0.9999926090240479,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_a,2024,1,0.48632970452308655,0.5000436305999756,0.018045220524072647,NA,NA,NA,NA,NA,NA,NA,0.34125789999961853,0.9999948740005493,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_b,2024,0,0.4885745942592621,NA,NA,-0.012071656063199043,0.35684144496917725,0.29447540640830994,0.07183408737182617,0.7030817866325378,0.3569340109825134,0.294912725687027,0.348025918006897,0.9999936819076538,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_b,2024,1,0.49275684356689453,NA,NA,-0.0016635563224554062,0.49409595131874084,0.16264250874519348,0.019160669296979904,0.8241686224937439,0.49409034848213196,0.16267403960227966,0.3234703540802002,0.999994158744812,NA,NA,NA,NA,NA,NA
unet,v1_1,2024,0,0.5272253155708313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5164546966552734,0.3267512023448944,NA,NA,NA,NA
unet,v2d_nomsc,2024,0,0.5293522477149963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0018646717071533,0.018301712349057198,1.0000200271606445,0.504799485206604
unet,v3_fcrg_a,2024,0,0.5269413590431213,0.5405322909355164,0.31385546922683716,NA,NA,NA,NA,NA,NA,NA,0.14971303939819336,0.9973132610321045,NA,NA,NA,NA,NA,NA
unet,v3_fcrg_b,2024,0,0.5263257622718811,NA,NA,0.012849757447838783,0.5165661573410034,0.32575568556785583,0.051293641328811646,0.7811183333396912,0.5176386833190918,0.327134907245636,0.14520227909088135,0.9989107251167297,NA,NA,NA,NA,NA,NA
