architecture=fcn, variant=v1_1, seed=2024
epoch=0, train_loss=0.503542, val_miou=0.709503, val_dice=0.822707, infer_ms=2.351
epoch=1, train_loss=0.423424, val_miou=0.560648, val_dice=0.651976, infer_ms=1.053
epoch=2, train_loss=0.409058, val_miou=0.741381, val_dice=0.842909, infer_ms=1.091
epoch=3, train_loss=0.369593, val_miou=0.708278, val_dice=0.795531, infer_ms=1.055
epoch=4, train_loss=0.345127, val_miou=0.662553, val_dice=0.771105, infer_ms=1.049
epoch=5, train_loss=0.354382, val_miou=0.602399, val_dice=0.691372, infer_ms=1.092
epoch=6, train_loss=0.342706, val_miou=0.743948, val_dice=0.835021, infer_ms=1.102
epoch=7, train_loss=0.321431, val_miou=0.732625, val_dice=0.831393, infer_ms=1.049
epoch=8, train_loss=0.311605, val_miou=0.753192, val_dice=0.843975, infer_ms=1.087
epoch=9, train_loss=0.308631, val_miou=0.745858, val_dice=0.835737, infer_ms=1.112
epoch=10, train_loss=0.296355, val_miou=0.750846, val_dice=0.844770, infer_ms=1.073
epoch=11, train_loss=0.294052, val_miou=0.748638, val_dice=0.836917, infer_ms=1.057
epoch=12, train_loss=0.291391, val_miou=0.759096, val_dice=0.843499, infer_ms=1.059
epoch=13, train_loss=0.280489, val_miou=0.742357, val_dice=0.830353, infer_ms=1.068
epoch=14, train_loss=0.289785, val_miou=0.805526, val_dice=0.882162, infer_ms=1.096
epoch=15, train_loss=0.263972, val_miou=0.763467, val_dice=0.848015, infer_ms=1.094
epoch=16, train_loss=0.260790, val_miou=0.759658, val_dice=0.844734, infer_ms=1.084
epoch=17, train_loss=0.259780, val_miou=0.725414, val_dice=0.811163, infer_ms=1.043
epoch=18, train_loss=0.254580, val_miou=0.763914, val_dice=0.847614, infer_ms=1.078
epoch=19, train_loss=0.251937, val_miou=0.739782, val_dice=0.826038, infer_ms=1.076
epoch=20, train_loss=0.241776, val_miou=0.776038, val_dice=0.854119, infer_ms=1.035
epoch=21, train_loss=0.238723, val_miou=0.801304, val_dice=0.879123, infer_ms=1.093
epoch=22, train_loss=0.232082, val_miou=0.771340, val_dice=0.851889, infer_ms=1.050
epoch=23, train_loss=0.230117, val_miou=0.792445, val_dice=0.870114, infer_ms=1.094
epoch=24, train_loss=0.229047, val_miou=0.806142, val_dice=0.880132, infer_ms=1.066
epoch=25, train_loss=0.223306, val_miou=0.804907, val_dice=0.882351, infer_ms=1.101
epoch=26, train_loss=0.214404, val_miou=0.780469, val_dice=0.859600, infer_ms=1.038
epoch=27, train_loss=0.228563, val_miou=0.803139, val_dice=0.879495, infer_ms=1.063
epoch=28, train_loss=0.215978, val_miou=0.793269, val_dice=0.868817, infer_ms=1.067
epoch=29, train_loss=0.210088, val_miou=0.814773, val_dice=0.888218, infer_ms=1.072
epoch=30, train_loss=0.202498, val_miou=0.819179, val_dice=0.890974, infer_ms=1.058
epoch=31, train_loss=0.194103, val_miou=0.829056, val_dice=0.896204, infer_ms=1.062
epoch=32, train_loss=0.198999, val_miou=0.828767, val_dice=0.896951, infer_ms=1.042
epoch=33, train_loss=0.191869, val_miou=0.828123, val_dice=0.895807, infer_ms=1.056
epoch=34, train_loss=0.191508, val_miou=0.820608, val_dice=0.890459, infer_ms=1.077
epoch=35, train_loss=0.190420, val_miou=0.828423, val_dice=0.895966, infer_ms=1.083
epoch=36, train_loss=0.191945, val_miou=0.833636, val_dice=0.899948, infer_ms=1.046
epoch=37, train_loss=0.182179, val_miou=0.834130, val_dice=0.900572, infer_ms=1.072
epoch=38, train_loss=0.182471, val_miou=0.835560, val_dice=0.902553, infer_ms=1.074
epoch=39, train_loss=0.184021, val_miou=0.830522, val_dice=0.898802, infer_ms=1.062
epoch=40, train_loss=0.176370, val_miou=0.827580, val_dice=0.895335, infer_ms=1.086
epoch=41, train_loss=0.175776, val_miou=0.839397, val_dice=0.904630, infer_ms=1.075
epoch=42, train_loss=0.174074, val_miou=0.839412, val_dice=0.903911, infer_ms=1.103
epoch=43, train_loss=0.173606, val_miou=0.840983, val_dice=0.904855, infer_ms=1.082
epoch=44, train_loss=0.170536, val_miou=0.840279, val_dice=0.904517, infer_ms=1.077
epoch=45, train_loss=0.167548, val_miou=0.840711, val_dice=0.905237, infer_ms=1.084
epoch=46, train_loss=0.169800, val_miou=0.836037, val_dice=0.902164, infer_ms=1.059
epoch=47, train_loss=0.170552, val_miou=0.839044, val_dice=0.903619, infer_ms=1.066
epoch=48, train_loss=0.169156, val_miou=0.837027, val_dice=0.903101, infer_ms=1.032
epoch=49, train_loss=0.167187, val_miou=0.840750, val_dice=0.905343, infer_ms=1.060
