architecture=fcn, variant=v2d_nomsc, seed=2024
epoch=0, train_loss=0.501415, val_miou=0.665464, val_dice=0.775017, infer_ms=1.347
epoch=1, train_loss=0.422848, val_miou=0.688169, val_dice=0.793970, infer_ms=1.186
epoch=2, train_loss=0.401520, val_miou=0.694523, val_dice=0.789125, infer_ms=1.235
epoch=3, train_loss=0.364839, val_miou=0.756010, val_dice=0.846389, infer_ms=1.223
epoch=4, train_loss=0.344425, val_miou=0.655975, val_dice=0.760946, infer_ms=1.176
epoch=5, train_loss=0.347840, val_miou=0.736441, val_dice=0.830570, infer_ms=1.225
epoch=6, train_loss=0.338400, val_miou=0.726517, val_dice=0.836103, infer_ms=1.221
epoch=7, train_loss=0.317299, val_miou=0.745602, val_dice=0.845454, infer_ms=1.189
epoch=8, train_loss=0.320567, val_miou=0.768528, val_dice=0.855312, infer_ms=1.231
epoch=9, train_loss=0.315843, val_miou=0.752289, val_dice=0.841720, infer_ms=1.185
epoch=10, train_loss=0.290102, val_miou=0.753907, val_dice=0.845981, infer_ms=1.224
epoch=11, train_loss=0.292529, val_miou=0.765405, val_dice=0.853953, infer_ms=1.185
epoch=12, train_loss=0.299308, val_miou=0.729748, val_dice=0.816249, infer_ms=1.120
epoch=13, train_loss=0.274964, val_miou=0.762283, val_dice=0.847930, infer_ms=1.152
epoch=14, train_loss=0.278606, val_miou=0.798462, val_dice=0.877773, infer_ms=1.199
epoch=15, train_loss=0.263111, val_miou=0.707866, val_dice=0.802146, infer_ms=1.158
epoch=16, train_loss=0.261478, val_miou=0.783974, val_dice=0.865360, infer_ms=1.194
epoch=17, train_loss=0.251183, val_miou=0.766059, val_dice=0.846769, infer_ms=1.144
epoch=18, train_loss=0.249915, val_miou=0.753741, val_dice=0.837589, infer_ms=1.197
epoch=19, train_loss=0.243532, val_miou=0.767609, val_dice=0.851403, infer_ms=1.239
epoch=20, train_loss=0.238654, val_miou=0.787357, val_dice=0.863727, infer_ms=1.198
epoch=21, train_loss=0.233207, val_miou=0.797534, val_dice=0.875234, infer_ms=1.193
epoch=22, train_loss=0.231542, val_miou=0.767216, val_dice=0.846551, infer_ms=1.176
epoch=23, train_loss=0.228449, val_miou=0.805237, val_dice=0.881479, infer_ms=1.166
epoch=24, train_loss=0.226734, val_miou=0.814017, val_dice=0.887170, infer_ms=1.218
epoch=25, train_loss=0.218363, val_miou=0.804565, val_dice=0.882892, infer_ms=1.136
epoch=26, train_loss=0.214318, val_miou=0.760822, val_dice=0.842405, infer_ms=1.166
epoch=27, train_loss=0.222542, val_miou=0.815782, val_dice=0.888760, infer_ms=1.204
epoch=28, train_loss=0.218720, val_miou=0.793790, val_dice=0.872051, infer_ms=1.164
epoch=29, train_loss=0.208488, val_miou=0.811653, val_dice=0.882780, infer_ms=1.133
epoch=30, train_loss=0.202971, val_miou=0.815568, val_dice=0.887000, infer_ms=1.196
epoch=31, train_loss=0.194010, val_miou=0.838133, val_dice=0.902025, infer_ms=1.154
epoch=32, train_loss=0.197534, val_miou=0.823284, val_dice=0.892076, infer_ms=1.197
epoch=33, train_loss=0.191424, val_miou=0.837327, val_dice=0.901887, infer_ms=1.236
epoch=34, train_loss=0.191035, val_miou=0.831651, val_dice=0.897644, infer_ms=1.217
epoch=35, train_loss=0.188225, val_miou=0.834659, val_dice=0.899396, infer_ms=1.167
epoch=36, train_loss=0.190589, val_miou=0.843038, val_dice=0.906327, infer_ms=1.316
epoch=37, train_loss=0.181381, val_miou=0.838967, val_dice=0.903353, infer_ms=1.149
epoch=38, train_loss=0.181737, val_miou=0.844800, val_dice=0.907210, infer_ms=1.141
epoch=39, train_loss=0.182151, val_miou=0.843625, val_dice=0.906543, infer_ms=1.131
epoch=40, train_loss=0.176325, val_miou=0.841205, val_dice=0.904127, infer_ms=1.118
epoch=41, train_loss=0.177827, val_miou=0.845916, val_dice=0.908016, infer_ms=1.129
epoch=42, train_loss=0.174594, val_miou=0.844764, val_dice=0.906772, infer_ms=1.237
epoch=43, train_loss=0.175222, val_miou=0.847937, val_dice=0.909105, infer_ms=1.175
epoch=44, train_loss=0.171980, val_miou=0.845393, val_dice=0.907449, infer_ms=1.203
epoch=45, train_loss=0.170281, val_miou=0.848009, val_dice=0.909569, infer_ms=1.103
epoch=46, train_loss=0.171574, val_miou=0.846494, val_dice=0.908342, infer_ms=1.209
epoch=47, train_loss=0.171912, val_miou=0.845160, val_dice=0.906904, infer_ms=1.278
epoch=48, train_loss=0.168751, val_miou=0.848521, val_dice=0.909615, infer_ms=1.146
epoch=49, train_loss=0.168646, val_miou=0.849188, val_dice=0.910095, infer_ms=1.227
