architecture=fcn, variant=v3_fcrg_a, seed=2024
epoch=0, train_loss=0.496208, val_miou=0.681461, val_dice=0.788041, infer_ms=1.532
epoch=1, train_loss=0.430464, val_miou=0.636197, val_dice=0.728090, infer_ms=1.135
epoch=2, train_loss=0.396175, val_miou=0.723031, val_dice=0.815166, infer_ms=1.110
epoch=3, train_loss=0.362967, val_miou=0.675040, val_dice=0.761181, infer_ms=1.121
epoch=4, train_loss=0.338779, val_miou=0.629523, val_dice=0.725162, infer_ms=1.089
epoch=5, train_loss=0.351039, val_miou=0.545327, val_dice=0.616746, infer_ms=1.084
epoch=6, train_loss=0.342540, val_miou=0.744200, val_dice=0.846546, infer_ms=1.123
epoch=7, train_loss=0.324705, val_miou=0.714105, val_dice=0.811361, infer_ms=1.075
epoch=8, train_loss=0.317066, val_miou=0.766754, val_dice=0.857229, infer_ms=1.154
epoch=9, train_loss=0.304472, val_miou=0.744318, val_dice=0.836821, infer_ms=1.101
epoch=10, train_loss=0.286609, val_miou=0.777625, val_dice=0.862084, infer_ms=1.104
epoch=11, train_loss=0.287667, val_miou=0.739959, val_dice=0.835062, infer_ms=1.100
epoch=12, train_loss=0.293496, val_miou=0.785955, val_dice=0.865985, infer_ms=1.085
epoch=13, train_loss=0.276496, val_miou=0.770155, val_dice=0.854289, infer_ms=1.096
epoch=14, train_loss=0.281377, val_miou=0.800197, val_dice=0.879476, infer_ms=1.090
epoch=15, train_loss=0.268814, val_miou=0.749874, val_dice=0.841734, infer_ms=1.102
epoch=16, train_loss=0.258818, val_miou=0.772218, val_dice=0.852567, infer_ms=1.095
epoch=17, train_loss=0.257236, val_miou=0.747798, val_dice=0.830192, infer_ms=1.117
epoch=18, train_loss=0.249966, val_miou=0.721669, val_dice=0.811620, infer_ms=1.120
epoch=19, train_loss=0.247539, val_miou=0.715357, val_dice=0.804736, infer_ms=1.092
epoch=20, train_loss=0.243555, val_miou=0.730277, val_dice=0.817544, infer_ms=1.161
epoch=21, train_loss=0.234400, val_miou=0.791993, val_dice=0.868580, infer_ms=1.130
epoch=22, train_loss=0.236099, val_miou=0.775602, val_dice=0.854148, infer_ms=1.076
epoch=23, train_loss=0.231381, val_miou=0.771052, val_dice=0.854750, infer_ms=1.086
epoch=24, train_loss=0.226278, val_miou=0.811187, val_dice=0.881906, infer_ms=1.144
epoch=25, train_loss=0.225792, val_miou=0.807452, val_dice=0.885556, infer_ms=1.120
epoch=26, train_loss=0.213072, val_miou=0.791297, val_dice=0.867745, infer_ms=1.103
epoch=27, train_loss=0.226429, val_miou=0.821895, val_dice=0.891099, infer_ms=1.090
epoch=28, train_loss=0.222304, val_miou=0.818784, val_dice=0.887638, infer_ms=1.121
epoch=29, train_loss=0.211511, val_miou=0.822487, val_dice=0.890710, infer_ms=1.108
epoch=30, train_loss=0.200193, val_miou=0.828126, val_dice=0.895896, infer_ms=1.122
epoch=31, train_loss=0.192668, val_miou=0.832315, val_dice=0.897559, infer_ms=1.108
epoch=32, train_loss=0.198117, val_miou=0.836583, val_dice=0.901447, infer_ms=1.079
epoch=33, train_loss=0.192987, val_miou=0.825273, val_dice=0.892834, infer_ms=1.085
epoch=34, train_loss=0.196508, val_miou=0.833771, val_dice=0.899616, infer_ms=1.036
epoch=35, train_loss=0.190962, val_miou=0.829077, val_dice=0.895167, infer_ms=1.100
epoch=36, train_loss=0.186822, val_miou=0.840469, val_dice=0.904224, infer_ms=1.122
epoch=37, train_loss=0.181960, val_miou=0.838681, val_dice=0.903235, infer_ms=1.134
epoch=38, train_loss=0.182105, val_miou=0.840899, val_dice=0.904610, infer_ms=1.120
epoch=39, train_loss=0.183971, val_miou=0.837184, val_dice=0.901560, infer_ms=1.083
epoch=40, train_loss=0.178612, val_miou=0.836561, val_dice=0.900580, infer_ms=1.099
epoch=41, train_loss=0.176906, val_miou=0.845847, val_dice=0.908071, infer_ms=1.107
epoch=42, train_loss=0.175933, val_miou=0.842942, val_dice=0.905428, infer_ms=1.109
epoch=43, train_loss=0.174015, val_miou=0.844357, val_dice=0.906344, infer_ms=1.093
epoch=44, train_loss=0.170667, val_miou=0.843098, val_dice=0.905160, infer_ms=1.099
epoch=45, train_loss=0.170792, val_miou=0.844373, val_dice=0.906904, infer_ms=1.080
epoch=46, train_loss=0.170336, val_miou=0.843683, val_dice=0.906356, infer_ms=1.078
epoch=47, train_loss=0.172896, val_miou=0.841022, val_dice=0.903799, infer_ms=1.201
epoch=48, train_loss=0.170140, val_miou=0.843666, val_dice=0.906336, infer_ms=1.142
epoch=49, train_loss=0.169613, val_miou=0.845032, val_dice=0.907178, infer_ms=1.085
