architecture=fcn, variant=v3_fcrg_b, seed=2024
epoch=0, train_loss=0.502594, val_miou=0.685361, val_dice=0.782568, infer_ms=1.466
epoch=1, train_loss=0.427889, val_miou=0.521999, val_dice=0.570412, infer_ms=1.211
epoch=2, train_loss=0.391766, val_miou=0.721151, val_dice=0.810843, infer_ms=1.104
epoch=3, train_loss=0.364535, val_miou=0.592046, val_dice=0.668317, infer_ms=1.166
epoch=4, train_loss=0.340076, val_miou=0.705890, val_dice=0.807540, infer_ms=1.107
epoch=5, train_loss=0.342351, val_miou=0.655928, val_dice=0.746559, infer_ms=1.096
epoch=6, train_loss=0.333824, val_miou=0.744916, val_dice=0.839483, infer_ms=1.107
epoch=7, train_loss=0.314555, val_miou=0.747016, val_dice=0.839346, infer_ms=1.114
epoch=8, train_loss=0.300442, val_miou=0.754103, val_dice=0.852082, infer_ms=1.142
epoch=9, train_loss=0.302353, val_miou=0.746631, val_dice=0.839883, infer_ms=1.121
epoch=10, train_loss=0.274502, val_miou=0.754435, val_dice=0.847164, infer_ms=1.105
epoch=11, train_loss=0.289882, val_miou=0.769385, val_dice=0.859450, infer_ms=1.129
epoch=12, train_loss=0.289627, val_miou=0.774699, val_dice=0.857610, infer_ms=1.168
epoch=13, train_loss=0.273281, val_miou=0.770581, val_dice=0.856251, infer_ms=1.122
epoch=14, train_loss=0.276856, val_miou=0.800060, val_dice=0.880815, infer_ms=1.147
epoch=15, train_loss=0.267979, val_miou=0.760869, val_dice=0.847809, infer_ms=1.092
epoch=16, train_loss=0.257723, val_miou=0.747557, val_dice=0.834091, infer_ms=1.121
epoch=17, train_loss=0.256073, val_miou=0.772298, val_dice=0.850227, infer_ms=1.189
epoch=18, train_loss=0.250273, val_miou=0.766420, val_dice=0.848887, infer_ms=1.182
epoch=19, train_loss=0.236484, val_miou=0.779315, val_dice=0.859025, infer_ms=1.092
epoch=20, train_loss=0.235305, val_miou=0.813324, val_dice=0.885184, infer_ms=1.175
epoch=21, train_loss=0.227926, val_miou=0.803063, val_dice=0.878416, infer_ms=1.108
epoch=22, train_loss=0.225274, val_miou=0.743499, val_dice=0.824971, infer_ms=1.139
epoch=23, train_loss=0.223617, val_miou=0.819010, val_dice=0.890071, infer_ms=1.146
epoch=24, train_loss=0.217192, val_miou=0.818599, val_dice=0.888844, infer_ms=1.119
epoch=25, train_loss=0.216048, val_miou=0.808252, val_dice=0.883592, infer_ms=1.108
epoch=26, train_loss=0.213681, val_miou=0.783579, val_dice=0.859918, infer_ms=1.079
epoch=27, train_loss=0.221891, val_miou=0.822795, val_dice=0.892732, infer_ms=1.087
epoch=28, train_loss=0.211800, val_miou=0.782871, val_dice=0.860303, infer_ms=1.155
epoch=29, train_loss=0.205043, val_miou=0.819004, val_dice=0.889610, infer_ms=1.091
epoch=30, train_loss=0.197622, val_miou=0.823995, val_dice=0.893474, infer_ms=1.122
epoch=31, train_loss=0.188505, val_miou=0.836634, val_dice=0.901185, infer_ms=1.156
epoch=32, train_loss=0.194367, val_miou=0.831347, val_dice=0.896727, infer_ms=1.171
epoch=33, train_loss=0.187198, val_miou=0.833302, val_dice=0.898470, infer_ms=1.250
epoch=34, train_loss=0.188701, val_miou=0.828222, val_dice=0.895248, infer_ms=1.145
epoch=35, train_loss=0.185607, val_miou=0.832150, val_dice=0.898233, infer_ms=1.149
epoch=36, train_loss=0.182648, val_miou=0.837599, val_dice=0.902107, infer_ms=1.185
epoch=37, train_loss=0.176288, val_miou=0.838110, val_dice=0.902916, infer_ms=1.176
epoch=38, train_loss=0.177381, val_miou=0.843160, val_dice=0.906213, infer_ms=1.141
epoch=39, train_loss=0.177814, val_miou=0.837818, val_dice=0.901731, infer_ms=1.191
epoch=40, train_loss=0.174364, val_miou=0.834598, val_dice=0.899178, infer_ms=1.150
epoch=41, train_loss=0.173572, val_miou=0.842376, val_dice=0.906249, infer_ms=1.111
epoch=42, train_loss=0.172768, val_miou=0.845709, val_dice=0.907424, infer_ms=1.162
epoch=43, train_loss=0.170717, val_miou=0.842570, val_dice=0.905029, infer_ms=1.187
epoch=44, train_loss=0.166309, val_miou=0.841617, val_dice=0.904400, infer_ms=1.174
epoch=45, train_loss=0.166542, val_miou=0.844014, val_dice=0.906664, infer_ms=1.179
epoch=46, train_loss=0.167508, val_miou=0.842291, val_dice=0.905493, infer_ms=1.242
epoch=47, train_loss=0.168233, val_miou=0.843139, val_dice=0.905587, infer_ms=1.178
epoch=48, train_loss=0.165136, val_miou=0.843965, val_dice=0.906614, infer_ms=1.170
epoch=49, train_loss=0.163603, val_miou=0.844735, val_dice=0.906907, infer_ms=1.192
