architecture=unet, variant=v2d_nomsc, seed=2024
epoch=0, train_loss=0.425826, val_miou=0.758601, val_dice=0.847318, infer_ms=2.571
epoch=1, train_loss=0.364485, val_miou=0.555484, val_dice=0.616394, infer_ms=2.620
epoch=2, train_loss=0.351556, val_miou=0.781263, val_dice=0.868716, infer_ms=2.571
epoch=3, train_loss=0.317270, val_miou=0.769826, val_dice=0.858536, infer_ms=2.587
epoch=4, train_loss=0.314271, val_miou=0.761462, val_dice=0.843769, infer_ms=2.610
epoch=5, train_loss=0.295958, val_miou=0.516475, val_dice=0.567814, infer_ms=2.585
epoch=6, train_loss=0.291250, val_miou=0.750441, val_dice=0.856595, infer_ms=2.605
epoch=7, train_loss=0.276080, val_miou=0.806907, val_dice=0.887553, infer_ms=2.581
epoch=8, train_loss=0.261675, val_miou=0.763163, val_dice=0.847561, infer_ms=2.611
epoch=9, train_loss=0.261190, val_miou=0.817328, val_dice=0.889824, infer_ms=2.625
epoch=10, train_loss=0.239041, val_miou=0.796258, val_dice=0.875156, infer_ms=3.222
epoch=11, train_loss=0.246239, val_miou=0.778486, val_dice=0.862292, infer_ms=2.692
epoch=12, train_loss=0.244368, val_miou=0.826982, val_dice=0.893357, infer_ms=2.640
epoch=13, train_loss=0.222102, val_miou=0.803581, val_dice=0.877675, infer_ms=2.630
epoch=14, train_loss=0.235621, val_miou=0.783942, val_dice=0.864419, infer_ms=2.622
epoch=15, train_loss=0.209855, val_miou=0.841561, val_dice=0.909097, infer_ms=3.305
epoch=16, train_loss=0.204958, val_miou=0.835705, val_dice=0.901694, infer_ms=2.582
epoch=17, train_loss=0.200276, val_miou=0.790825, val_dice=0.866017, infer_ms=2.613
epoch=18, train_loss=0.206167, val_miou=0.844720, val_dice=0.907543, infer_ms=2.578
epoch=19, train_loss=0.196607, val_miou=0.835924, val_dice=0.900501, infer_ms=2.573
epoch=20, train_loss=0.187926, val_miou=0.860093, val_dice=0.917587, infer_ms=2.571
epoch=21, train_loss=0.174371, val_miou=0.861958, val_dice=0.919770, infer_ms=2.611
epoch=22, train_loss=0.176109, val_miou=0.861518, val_dice=0.917585, infer_ms=2.613
epoch=23, train_loss=0.174183, val_miou=0.858304, val_dice=0.915312, infer_ms=2.621
epoch=24, train_loss=0.173150, val_miou=0.876232, val_dice=0.928182, infer_ms=2.576
epoch=25, train_loss=0.164863, val_miou=0.873435, val_dice=0.926235, infer_ms=2.624
epoch=26, train_loss=0.157543, val_miou=0.869201, val_dice=0.921694, infer_ms=2.632
epoch=27, train_loss=0.159507, val_miou=0.872352, val_dice=0.926563, infer_ms=2.616
epoch=28, train_loss=0.166117, val_miou=0.873260, val_dice=0.925958, infer_ms=2.630
epoch=29, train_loss=0.152213, val_miou=0.881531, val_dice=0.930457, infer_ms=2.618
epoch=30, train_loss=0.140997, val_miou=0.880663, val_dice=0.930682, infer_ms=2.620
epoch=31, train_loss=0.135757, val_miou=0.878413, val_dice=0.929875, infer_ms=2.663
epoch=32, train_loss=0.140368, val_miou=0.875022, val_dice=0.926783, infer_ms=2.647
epoch=33, train_loss=0.134290, val_miou=0.895189, val_dice=0.939710, infer_ms=2.620
epoch=34, train_loss=0.133612, val_miou=0.881125, val_dice=0.930877, infer_ms=2.641
epoch=35, train_loss=0.129052, val_miou=0.885363, val_dice=0.933338, infer_ms=2.639
epoch=36, train_loss=0.125421, val_miou=0.883212, val_dice=0.932472, infer_ms=2.600
epoch=37, train_loss=0.121756, val_miou=0.889112, val_dice=0.935951, infer_ms=2.622
epoch=38, train_loss=0.126077, val_miou=0.890401, val_dice=0.936567, infer_ms=2.616
epoch=39, train_loss=0.118699, val_miou=0.889233, val_dice=0.935796, infer_ms=2.578
epoch=40, train_loss=0.116053, val_miou=0.887062, val_dice=0.934215, infer_ms=2.601
epoch=41, train_loss=0.116204, val_miou=0.891847, val_dice=0.938016, infer_ms=2.592
epoch=42, train_loss=0.117363, val_miou=0.890137, val_dice=0.936308, infer_ms=2.583
epoch=43, train_loss=0.113458, val_miou=0.892870, val_dice=0.938005, infer_ms=2.611
epoch=44, train_loss=0.111253, val_miou=0.891888, val_dice=0.937136, infer_ms=2.653
epoch=45, train_loss=0.109581, val_miou=0.890728, val_dice=0.936806, infer_ms=2.575
epoch=46, train_loss=0.112522, val_miou=0.889730, val_dice=0.936227, infer_ms=2.613
epoch=47, train_loss=0.114355, val_miou=0.891956, val_dice=0.937404, infer_ms=2.580
epoch=48, train_loss=0.107855, val_miou=0.892546, val_dice=0.937928, infer_ms=2.606
epoch=49, train_loss=0.109561, val_miou=0.894796, val_dice=0.939290, infer_ms=2.600
