architecture=unet, variant=v3_fcrg_a, seed=2024
epoch=0, train_loss=0.427857, val_miou=0.765912, val_dice=0.851870, infer_ms=2.590
epoch=1, train_loss=0.370349, val_miou=0.614349, val_dice=0.693200, infer_ms=2.576
epoch=2, train_loss=0.348666, val_miou=0.800508, val_dice=0.882060, infer_ms=2.613
epoch=3, train_loss=0.317556, val_miou=0.631534, val_dice=0.722396, infer_ms=2.590
epoch=4, train_loss=0.308603, val_miou=0.673081, val_dice=0.764846, infer_ms=2.600
epoch=5, train_loss=0.299123, val_miou=0.793368, val_dice=0.871990, infer_ms=2.588
epoch=6, train_loss=0.288134, val_miou=0.758093, val_dice=0.864043, infer_ms=2.592
epoch=7, train_loss=0.274557, val_miou=0.810018, val_dice=0.884355, infer_ms=2.593
epoch=8, train_loss=0.259731, val_miou=0.786328, val_dice=0.865012, infer_ms=2.592
epoch=9, train_loss=0.257799, val_miou=0.779191, val_dice=0.859993, infer_ms=2.660
epoch=10, train_loss=0.245023, val_miou=0.799797, val_dice=0.883589, infer_ms=2.628
epoch=11, train_loss=0.239796, val_miou=0.791420, val_dice=0.868431, infer_ms=2.626
epoch=12, train_loss=0.242583, val_miou=0.831320, val_dice=0.897620, infer_ms=2.621
epoch=13, train_loss=0.223930, val_miou=0.824223, val_dice=0.891150, infer_ms=2.602
epoch=14, train_loss=0.222445, val_miou=0.846954, val_dice=0.910948, infer_ms=2.589
epoch=15, train_loss=0.207716, val_miou=0.833691, val_dice=0.904239, infer_ms=2.634
epoch=16, train_loss=0.205651, val_miou=0.839421, val_dice=0.905014, infer_ms=2.662
epoch=17, train_loss=0.201665, val_miou=0.826021, val_dice=0.892752, infer_ms=2.584
epoch=18, train_loss=0.205319, val_miou=0.850510, val_dice=0.912591, infer_ms=2.619
epoch=19, train_loss=0.194109, val_miou=0.835692, val_dice=0.901145, infer_ms=2.612
epoch=20, train_loss=0.185288, val_miou=0.847743, val_dice=0.909118, infer_ms=2.632
epoch=21, train_loss=0.173783, val_miou=0.861489, val_dice=0.919590, infer_ms=2.609
epoch=22, train_loss=0.183153, val_miou=0.850756, val_dice=0.912475, infer_ms=2.651
epoch=23, train_loss=0.181304, val_miou=0.856264, val_dice=0.914425, infer_ms=2.625
epoch=24, train_loss=0.175136, val_miou=0.864729, val_dice=0.921291, infer_ms=2.794
epoch=25, train_loss=0.167944, val_miou=0.871388, val_dice=0.924843, infer_ms=2.597
epoch=26, train_loss=0.164982, val_miou=0.872065, val_dice=0.923340, infer_ms=2.616
epoch=27, train_loss=0.162284, val_miou=0.873732, val_dice=0.927188, infer_ms=2.591
epoch=28, train_loss=0.160911, val_miou=0.880755, val_dice=0.930538, infer_ms=2.559
epoch=29, train_loss=0.155512, val_miou=0.880515, val_dice=0.930939, infer_ms=2.586
epoch=30, train_loss=0.142602, val_miou=0.880366, val_dice=0.930641, infer_ms=2.560
epoch=31, train_loss=0.138462, val_miou=0.874085, val_dice=0.926849, infer_ms=2.554
epoch=32, train_loss=0.142642, val_miou=0.869151, val_dice=0.922680, infer_ms=2.579
epoch=33, train_loss=0.133352, val_miou=0.883716, val_dice=0.932710, infer_ms=2.577
epoch=34, train_loss=0.136935, val_miou=0.885332, val_dice=0.934079, infer_ms=3.267
epoch=35, train_loss=0.130840, val_miou=0.889324, val_dice=0.935957, infer_ms=2.589
epoch=36, train_loss=0.131157, val_miou=0.889578, val_dice=0.936335, infer_ms=2.603
epoch=37, train_loss=0.122732, val_miou=0.892701, val_dice=0.937967, infer_ms=2.587
epoch=38, train_loss=0.128028, val_miou=0.888979, val_dice=0.935862, infer_ms=2.579
epoch=39, train_loss=0.121933, val_miou=0.883855, val_dice=0.932435, infer_ms=2.606
epoch=40, train_loss=0.118156, val_miou=0.888894, val_dice=0.935174, infer_ms=2.626
epoch=41, train_loss=0.118374, val_miou=0.897218, val_dice=0.941095, infer_ms=2.663
epoch=42, train_loss=0.119940, val_miou=0.893386, val_dice=0.938310, infer_ms=2.647
epoch=43, train_loss=0.116220, val_miou=0.894007, val_dice=0.938718, infer_ms=2.609
epoch=44, train_loss=0.112671, val_miou=0.889570, val_dice=0.935690, infer_ms=2.608
epoch=45, train_loss=0.110814, val_miou=0.892317, val_dice=0.937853, infer_ms=2.595
epoch=46, train_loss=0.114720, val_miou=0.891113, val_dice=0.937247, infer_ms=2.653
epoch=47, train_loss=0.116312, val_miou=0.889328, val_dice=0.935801, infer_ms=2.616
epoch=48, train_loss=0.108913, val_miou=0.890497, val_dice=0.936742, infer_ms=2.598
epoch=49, train_loss=0.111137, val_miou=0.892220, val_dice=0.937807, infer_ms=2.591
