architecture=unet, variant=v3_fcrg_b, seed=2024
epoch=0, train_loss=0.427042, val_miou=0.746925, val_dice=0.836674, infer_ms=2.603
epoch=1, train_loss=0.366046, val_miou=0.603786, val_dice=0.679949, infer_ms=2.582
epoch=2, train_loss=0.344679, val_miou=0.808104, val_dice=0.885156, infer_ms=2.619
epoch=3, train_loss=0.314996, val_miou=0.640793, val_dice=0.734524, infer_ms=2.582
epoch=4, train_loss=0.314173, val_miou=0.768386, val_dice=0.854057, infer_ms=2.564
epoch=5, train_loss=0.298683, val_miou=0.575458, val_dice=0.653457, infer_ms=3.264
epoch=6, train_loss=0.289332, val_miou=0.777469, val_dice=0.867961, infer_ms=2.579
epoch=7, train_loss=0.274129, val_miou=0.791330, val_dice=0.872874, infer_ms=2.579
epoch=8, train_loss=0.260902, val_miou=0.819316, val_dice=0.893118, infer_ms=2.568
epoch=9, train_loss=0.255599, val_miou=0.789624, val_dice=0.868015, infer_ms=2.585
epoch=10, train_loss=0.240050, val_miou=0.793406, val_dice=0.880491, infer_ms=2.581
epoch=11, train_loss=0.244764, val_miou=0.792902, val_dice=0.875918, infer_ms=2.589
epoch=12, train_loss=0.242735, val_miou=0.826755, val_dice=0.892054, infer_ms=2.568
epoch=13, train_loss=0.219758, val_miou=0.810707, val_dice=0.881245, infer_ms=2.607
epoch=14, train_loss=0.220706, val_miou=0.819781, val_dice=0.893891, infer_ms=2.576
epoch=15, train_loss=0.208054, val_miou=0.840921, val_dice=0.907924, infer_ms=2.605
epoch=16, train_loss=0.203629, val_miou=0.846928, val_dice=0.910452, infer_ms=2.630
epoch=17, train_loss=0.198028, val_miou=0.826191, val_dice=0.891736, infer_ms=2.666
epoch=18, train_loss=0.201068, val_miou=0.829611, val_dice=0.898104, infer_ms=2.618
epoch=19, train_loss=0.192141, val_miou=0.839472, val_dice=0.903715, infer_ms=2.601
epoch=20, train_loss=0.184451, val_miou=0.845067, val_dice=0.906433, infer_ms=2.584
epoch=21, train_loss=0.173078, val_miou=0.870378, val_dice=0.924424, infer_ms=2.563
epoch=22, train_loss=0.181283, val_miou=0.838468, val_dice=0.900882, infer_ms=2.627
epoch=23, train_loss=0.171774, val_miou=0.863317, val_dice=0.918759, infer_ms=2.628
epoch=24, train_loss=0.167424, val_miou=0.874465, val_dice=0.926664, infer_ms=2.600
epoch=25, train_loss=0.166483, val_miou=0.874616, val_dice=0.926755, infer_ms=2.601
epoch=26, train_loss=0.157770, val_miou=0.863961, val_dice=0.917605, infer_ms=2.650
epoch=27, train_loss=0.156290, val_miou=0.876363, val_dice=0.928452, infer_ms=2.588
epoch=28, train_loss=0.159340, val_miou=0.881503, val_dice=0.930142, infer_ms=2.574
epoch=29, train_loss=0.151209, val_miou=0.885900, val_dice=0.933596, infer_ms=2.577
epoch=30, train_loss=0.141689, val_miou=0.882863, val_dice=0.932065, infer_ms=2.567
epoch=31, train_loss=0.134948, val_miou=0.879531, val_dice=0.930246, infer_ms=2.558
epoch=32, train_loss=0.140311, val_miou=0.864164, val_dice=0.919905, infer_ms=2.553
epoch=33, train_loss=0.134495, val_miou=0.894192, val_dice=0.938972, infer_ms=2.586
epoch=34, train_loss=0.132920, val_miou=0.881221, val_dice=0.931124, infer_ms=2.570
epoch=35, train_loss=0.128302, val_miou=0.888637, val_dice=0.935595, infer_ms=2.574
epoch=36, train_loss=0.125727, val_miou=0.887740, val_dice=0.935180, infer_ms=2.561
epoch=37, train_loss=0.119962, val_miou=0.884687, val_dice=0.933214, infer_ms=2.548
epoch=38, train_loss=0.122906, val_miou=0.893416, val_dice=0.938506, infer_ms=2.580
epoch=39, train_loss=0.116415, val_miou=0.890067, val_dice=0.936235, infer_ms=2.566
epoch=40, train_loss=0.116240, val_miou=0.887670, val_dice=0.934632, infer_ms=2.577
epoch=41, train_loss=0.114256, val_miou=0.895481, val_dice=0.939956, infer_ms=2.581
epoch=42, train_loss=0.117988, val_miou=0.889295, val_dice=0.935787, infer_ms=2.585
epoch=43, train_loss=0.112356, val_miou=0.891471, val_dice=0.937230, infer_ms=2.588
epoch=44, train_loss=0.110592, val_miou=0.889686, val_dice=0.935730, infer_ms=2.631
epoch=45, train_loss=0.108660, val_miou=0.889851, val_dice=0.936351, infer_ms=2.605
epoch=46, train_loss=0.111070, val_miou=0.891249, val_dice=0.937181, infer_ms=2.600
epoch=47, train_loss=0.113153, val_miou=0.889771, val_dice=0.936120, infer_ms=2.629
epoch=48, train_loss=0.107077, val_miou=0.891674, val_dice=0.937443, infer_ms=4.179
epoch=49, train_loss=0.108855, val_miou=0.893128, val_dice=0.938359, infer_ms=2.565
