architecture=fcn, variant=v2d_nomsc, seed=123
epoch=0, train_loss=0.506151, val_miou=0.699666, val_dice=0.812198, infer_ms=1.094
epoch=1, train_loss=0.402237, val_miou=0.709177, val_dice=0.803556, infer_ms=1.061
epoch=2, train_loss=0.386292, val_miou=0.669177, val_dice=0.758093, infer_ms=1.085
epoch=3, train_loss=0.374127, val_miou=0.695174, val_dice=0.797105, infer_ms=1.217
epoch=4, train_loss=0.349026, val_miou=0.652019, val_dice=0.742950, infer_ms=1.221
epoch=5, train_loss=0.326120, val_miou=0.771688, val_dice=0.856556, infer_ms=1.169
epoch=6, train_loss=0.339356, val_miou=0.714482, val_dice=0.812000, infer_ms=1.200
epoch=7, train_loss=0.329535, val_miou=0.666779, val_dice=0.757500, infer_ms=1.191
epoch=8, train_loss=0.308341, val_miou=0.764844, val_dice=0.850204, infer_ms=1.116
epoch=9, train_loss=0.302175, val_miou=0.720774, val_dice=0.810682, infer_ms=1.133
epoch=10, train_loss=0.287579, val_miou=0.739430, val_dice=0.825332, infer_ms=1.083
epoch=11, train_loss=0.296585, val_miou=0.753732, val_dice=0.838447, infer_ms=1.070
epoch=12, train_loss=0.270470, val_miou=0.779790, val_dice=0.859451, infer_ms=1.093
epoch=13, train_loss=0.281869, val_miou=0.751635, val_dice=0.836728, infer_ms=1.183
epoch=14, train_loss=0.266672, val_miou=0.776284, val_dice=0.854862, infer_ms=1.182
epoch=15, train_loss=0.275945, val_miou=0.748219, val_dice=0.830545, infer_ms=1.068
epoch=16, train_loss=0.261386, val_miou=0.791622, val_dice=0.869811, infer_ms=1.078
epoch=17, train_loss=0.256069, val_miou=0.797554, val_dice=0.872013, infer_ms=1.064
epoch=18, train_loss=0.252886, val_miou=0.789645, val_dice=0.866471, infer_ms=1.198
epoch=19, train_loss=0.254797, val_miou=0.801914, val_dice=0.880374, infer_ms=1.202
epoch=20, train_loss=0.245983, val_miou=0.736108, val_dice=0.822864, infer_ms=1.200
epoch=21, train_loss=0.231709, val_miou=0.796996, val_dice=0.873576, infer_ms=1.124
epoch=22, train_loss=0.243448, val_miou=0.809042, val_dice=0.885690, infer_ms=1.083
epoch=23, train_loss=0.234052, val_miou=0.781047, val_dice=0.861319, infer_ms=1.072
epoch=24, train_loss=0.227820, val_miou=0.812057, val_dice=0.887054, infer_ms=1.131
epoch=25, train_loss=0.216903, val_miou=0.800442, val_dice=0.876434, infer_ms=1.127
epoch=26, train_loss=0.211712, val_miou=0.795497, val_dice=0.870849, infer_ms=1.190
epoch=27, train_loss=0.207209, val_miou=0.831306, val_dice=0.899485, infer_ms=1.186
epoch=28, train_loss=0.200110, val_miou=0.822123, val_dice=0.891551, infer_ms=1.129
epoch=29, train_loss=0.205774, val_miou=0.819624, val_dice=0.891710, infer_ms=1.127
epoch=30, train_loss=0.202792, val_miou=0.805027, val_dice=0.880796, infer_ms=1.090
