architecture=fcn, variant=v3_fcrg_a, seed=42
epoch=0, train_loss=0.507209, val_miou=0.541336, val_dice=0.626712, infer_ms=2.112
epoch=1, train_loss=0.435520, val_miou=0.732217, val_dice=0.822800, infer_ms=1.089
epoch=2, train_loss=0.398158, val_miou=0.630870, val_dice=0.722264, infer_ms=1.099
epoch=3, train_loss=0.381552, val_miou=0.747449, val_dice=0.838333, infer_ms=1.169
epoch=4, train_loss=0.355081, val_miou=0.668414, val_dice=0.770106, infer_ms=1.107
epoch=5, train_loss=0.351398, val_miou=0.662344, val_dice=0.751053, infer_ms=1.074
epoch=6, train_loss=0.326813, val_miou=0.673135, val_dice=0.758957, infer_ms=1.126
epoch=7, train_loss=0.336253, val_miou=0.756824, val_dice=0.839266, infer_ms=1.064
epoch=8, train_loss=0.313797, val_miou=0.748312, val_dice=0.833310, infer_ms=1.108
epoch=9, train_loss=0.303898, val_miou=0.672214, val_dice=0.763358, infer_ms=1.103
epoch=10, train_loss=0.304312, val_miou=0.780391, val_dice=0.862329, infer_ms=1.094
epoch=11, train_loss=0.297500, val_miou=0.776289, val_dice=0.856974, infer_ms=1.177
epoch=12, train_loss=0.287292, val_miou=0.777237, val_dice=0.866907, infer_ms=1.080
epoch=13, train_loss=0.295613, val_miou=0.744149, val_dice=0.830267, infer_ms=1.113
epoch=14, train_loss=0.274216, val_miou=0.780369, val_dice=0.858959, infer_ms=1.123
epoch=15, train_loss=0.278006, val_miou=0.807107, val_dice=0.884929, infer_ms=1.103
epoch=16, train_loss=0.268349, val_miou=0.777715, val_dice=0.859333, infer_ms=1.091
epoch=17, train_loss=0.256189, val_miou=0.779358, val_dice=0.857370, infer_ms=1.121
epoch=18, train_loss=0.247851, val_miou=0.801688, val_dice=0.877287, infer_ms=1.155
epoch=19, train_loss=0.245484, val_miou=0.777219, val_dice=0.856631, infer_ms=1.118
epoch=20, train_loss=0.243888, val_miou=0.763143, val_dice=0.850485, infer_ms=1.056
epoch=21, train_loss=0.248064, val_miou=0.768508, val_dice=0.850022, infer_ms=1.105
epoch=22, train_loss=0.241149, val_miou=0.769739, val_dice=0.856123, infer_ms=1.120
epoch=23, train_loss=0.244129, val_miou=0.795854, val_dice=0.873986, infer_ms=1.144
epoch=24, train_loss=0.229502, val_miou=0.801978, val_dice=0.877945, infer_ms=1.079
epoch=25, train_loss=0.249558, val_miou=0.726890, val_dice=0.821167, infer_ms=1.114
epoch=26, train_loss=0.231763, val_miou=0.790256, val_dice=0.871662, infer_ms=1.125
epoch=27, train_loss=0.223410, val_miou=0.756204, val_dice=0.837244, infer_ms=1.054
epoch=28, train_loss=0.220837, val_miou=0.819704, val_dice=0.891909, infer_ms=1.085
epoch=29, train_loss=0.211837, val_miou=0.814784, val_dice=0.886451, infer_ms=1.091
epoch=30, train_loss=0.207135, val_miou=0.820637, val_dice=0.889621, infer_ms=1.086
epoch=31, train_loss=0.206610, val_miou=0.820522, val_dice=0.891036, infer_ms=1.134
epoch=32, train_loss=0.203680, val_miou=0.807066, val_dice=0.879694, infer_ms=1.058
epoch=33, train_loss=0.198762, val_miou=0.809468, val_dice=0.882431, infer_ms=1.061
epoch=34, train_loss=0.194673, val_miou=0.828520, val_dice=0.896606, infer_ms=1.118
epoch=35, train_loss=0.193859, val_miou=0.823903, val_dice=0.894506, infer_ms=1.139
epoch=36, train_loss=0.191218, val_miou=0.825558, val_dice=0.894056, infer_ms=1.070
epoch=37, train_loss=0.189494, val_miou=0.824766, val_dice=0.895086, infer_ms=1.081
epoch=38, train_loss=0.184262, val_miou=0.820612, val_dice=0.889020, infer_ms=1.097
epoch=39, train_loss=0.187082, val_miou=0.829651, val_dice=0.896810, infer_ms=1.102
epoch=40, train_loss=0.185042, val_miou=0.825250, val_dice=0.892777, infer_ms=1.099
epoch=41, train_loss=0.180858, val_miou=0.826346, val_dice=0.894199, infer_ms=1.091
epoch=42, train_loss=0.184362, val_miou=0.828236, val_dice=0.894947, infer_ms=1.123
epoch=43, train_loss=0.179637, val_miou=0.830814, val_dice=0.897011, infer_ms=1.066
epoch=44, train_loss=0.181285, val_miou=0.830562, val_dice=0.896163, infer_ms=1.089
epoch=45, train_loss=0.179034, val_miou=0.833233, val_dice=0.898558, infer_ms=1.099
epoch=46, train_loss=0.179431, val_miou=0.834479, val_dice=0.899999, infer_ms=1.081
epoch=47, train_loss=0.178254, val_miou=0.831842, val_dice=0.897524, infer_ms=1.106
epoch=48, train_loss=0.176259, val_miou=0.833220, val_dice=0.898534, infer_ms=1.099
epoch=49, train_loss=0.175072, val_miou=0.832375, val_dice=0.898398, infer_ms=1.107
