architecture=unet, variant=v3_fcrg_a, seed=42
epoch=0, train_loss=0.469229, val_miou=0.759462, val_dice=0.850917, infer_ms=2.855
epoch=1, train_loss=0.397267, val_miou=0.754957, val_dice=0.840659, infer_ms=2.588
epoch=2, train_loss=0.356714, val_miou=0.796926, val_dice=0.874085, infer_ms=2.522
epoch=3, train_loss=0.337025, val_miou=0.741401, val_dice=0.831202, infer_ms=2.557
epoch=4, train_loss=0.333089, val_miou=0.757068, val_dice=0.840140, infer_ms=2.536
epoch=5, train_loss=0.312152, val_miou=0.776342, val_dice=0.866960, infer_ms=2.567
epoch=6, train_loss=0.292120, val_miou=0.782414, val_dice=0.862079, infer_ms=2.585
epoch=7, train_loss=0.281218, val_miou=0.725867, val_dice=0.821735, infer_ms=2.659
epoch=8, train_loss=0.284877, val_miou=0.661724, val_dice=0.749138, infer_ms=2.607
epoch=9, train_loss=0.265097, val_miou=0.804419, val_dice=0.880441, infer_ms=2.590
epoch=10, train_loss=0.268054, val_miou=0.821905, val_dice=0.893793, infer_ms=2.640
epoch=11, train_loss=0.251343, val_miou=0.824885, val_dice=0.893765, infer_ms=2.665
epoch=12, train_loss=0.240317, val_miou=0.824666, val_dice=0.897212, infer_ms=2.643
epoch=13, train_loss=0.243182, val_miou=0.732609, val_dice=0.815473, infer_ms=2.610
epoch=14, train_loss=0.236605, val_miou=0.830717, val_dice=0.898307, infer_ms=2.608
epoch=15, train_loss=0.230296, val_miou=0.845043, val_dice=0.908446, infer_ms=2.623
epoch=16, train_loss=0.217762, val_miou=0.816446, val_dice=0.887979, infer_ms=2.661
epoch=17, train_loss=0.207753, val_miou=0.853093, val_dice=0.912732, infer_ms=2.586
epoch=18, train_loss=0.203133, val_miou=0.838094, val_dice=0.906368, infer_ms=2.581
epoch=19, train_loss=0.199188, val_miou=0.837070, val_dice=0.903034, infer_ms=2.590
epoch=20, train_loss=0.199759, val_miou=0.832183, val_dice=0.899154, infer_ms=2.628
epoch=21, train_loss=0.192244, val_miou=0.828504, val_dice=0.895219, infer_ms=2.647
epoch=22, train_loss=0.183979, val_miou=0.844405, val_dice=0.910234, infer_ms=2.585
epoch=23, train_loss=0.190461, val_miou=0.823635, val_dice=0.892400, infer_ms=2.590
epoch=24, train_loss=0.172093, val_miou=0.851219, val_dice=0.913062, infer_ms=2.580
epoch=25, train_loss=0.177227, val_miou=0.822811, val_dice=0.891590, infer_ms=2.597
epoch=26, train_loss=0.164249, val_miou=0.843872, val_dice=0.909032, infer_ms=2.586
epoch=27, train_loss=0.171829, val_miou=0.843218, val_dice=0.906149, infer_ms=3.290
epoch=28, train_loss=0.161850, val_miou=0.856445, val_dice=0.915850, infer_ms=2.586
epoch=29, train_loss=0.156982, val_miou=0.871476, val_dice=0.924501, infer_ms=2.577
epoch=30, train_loss=0.144772, val_miou=0.854925, val_dice=0.914050, infer_ms=2.543
epoch=31, train_loss=0.149310, val_miou=0.866019, val_dice=0.920880, infer_ms=2.576
epoch=32, train_loss=0.140395, val_miou=0.866989, val_dice=0.922067, infer_ms=2.563
epoch=33, train_loss=0.140222, val_miou=0.873133, val_dice=0.925687, infer_ms=2.591
epoch=34, train_loss=0.129761, val_miou=0.871147, val_dice=0.924511, infer_ms=2.576
epoch=35, train_loss=0.137009, val_miou=0.870931, val_dice=0.924489, infer_ms=2.554
epoch=36, train_loss=0.132833, val_miou=0.876328, val_dice=0.928284, infer_ms=2.597
epoch=37, train_loss=0.127518, val_miou=0.879130, val_dice=0.930011, infer_ms=2.555
epoch=38, train_loss=0.124809, val_miou=0.876305, val_dice=0.928209, infer_ms=2.559
epoch=39, train_loss=0.127709, val_miou=0.875541, val_dice=0.927618, infer_ms=2.567
epoch=40, train_loss=0.119826, val_miou=0.867484, val_dice=0.921623, infer_ms=2.553
epoch=41, train_loss=0.122177, val_miou=0.877279, val_dice=0.928576, infer_ms=2.558
epoch=42, train_loss=0.122126, val_miou=0.878684, val_dice=0.929918, infer_ms=2.556
epoch=43, train_loss=0.116160, val_miou=0.876576, val_dice=0.928205, infer_ms=2.545
epoch=44, train_loss=0.116505, val_miou=0.877617, val_dice=0.928675, infer_ms=2.561
epoch=45, train_loss=0.117542, val_miou=0.878894, val_dice=0.929164, infer_ms=2.560
epoch=46, train_loss=0.114002, val_miou=0.881377, val_dice=0.931411, infer_ms=2.579
epoch=47, train_loss=0.116405, val_miou=0.880047, val_dice=0.930328, infer_ms=2.567
epoch=48, train_loss=0.113899, val_miou=0.879035, val_dice=0.929582, infer_ms=2.568
epoch=49, train_loss=0.112570, val_miou=0.879385, val_dice=0.929964, infer_ms=2.558
