method=FCN + CBAM, backbone=FCN, module_type=CBAM, seed=123
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.619566, val_miou=0.429397, val_dice=0.534317
epoch=1, train_loss=0.602375, val_miou=0.393609, val_dice=0.360867
epoch=2, train_loss=0.587948, val_miou=0.339777, val_dice=0.219967
epoch=3, train_loss=0.579732, val_miou=0.551402, val_dice=0.678810
epoch=4, train_loss=0.557602, val_miou=0.510107, val_dice=0.599182
epoch=5, train_loss=0.550851, val_miou=0.493120, val_dice=0.565702
epoch=6, train_loss=0.547207, val_miou=0.485425, val_dice=0.531330
epoch=7, train_loss=0.538165, val_miou=0.540986, val_dice=0.623270
epoch=8, train_loss=0.520786, val_miou=0.516595, val_dice=0.571717
epoch=9, train_loss=0.518432, val_miou=0.576079, val_dice=0.675202
epoch=10, train_loss=0.500338, val_miou=0.589268, val_dice=0.685840
epoch=11, train_loss=0.507391, val_miou=0.595860, val_dice=0.689934
epoch=12, train_loss=0.505841, val_miou=0.595114, val_dice=0.691376
epoch=13, train_loss=0.498287, val_miou=0.580653, val_dice=0.677873
epoch=14, train_loss=0.487500, val_miou=0.590994, val_dice=0.678424
epoch=15, train_loss=0.493252, val_miou=0.570731, val_dice=0.652476
epoch=16, train_loss=0.480974, val_miou=0.588130, val_dice=0.679830
epoch=17, train_loss=0.479180, val_miou=0.565264, val_dice=0.642012
epoch=18, train_loss=0.486891, val_miou=0.573902, val_dice=0.652362
epoch=19, train_loss=0.479727, val_miou=0.552390, val_dice=0.625720
epoch=20, train_loss=0.474594, val_miou=0.597107, val_dice=0.692507
epoch=21, train_loss=0.471374, val_miou=0.605299, val_dice=0.702812
epoch=22, train_loss=0.470852, val_miou=0.609998, val_dice=0.713044
epoch=23, train_loss=0.473163, val_miou=0.614127, val_dice=0.710367
epoch=24, train_loss=0.460008, val_miou=0.644893, val_dice=0.753605
epoch=25, train_loss=0.467515, val_miou=0.608649, val_dice=0.707771
epoch=26, train_loss=0.461700, val_miou=0.612611, val_dice=0.712950
epoch=27, train_loss=0.463724, val_miou=0.626871, val_dice=0.734339
epoch=28, train_loss=0.452564, val_miou=0.614360, val_dice=0.709545
epoch=29, train_loss=0.452605, val_miou=0.607191, val_dice=0.699728
epoch=30, train_loss=0.454383, val_miou=0.618753, val_dice=0.713555
epoch=31, train_loss=0.454207, val_miou=0.621386, val_dice=0.721488
epoch=32, train_loss=0.461430, val_miou=0.624094, val_dice=0.725642
epoch=33, train_loss=0.451765, val_miou=0.630698, val_dice=0.743041
epoch=34, train_loss=0.453862, val_miou=0.625830, val_dice=0.725861
epoch=35, train_loss=0.449705, val_miou=0.649208, val_dice=0.763730
epoch=36, train_loss=0.449403, val_miou=0.649005, val_dice=0.752134
epoch=37, train_loss=0.445472, val_miou=0.630578, val_dice=0.731794
epoch=38, train_loss=0.449986, val_miou=0.613569, val_dice=0.705260
epoch=39, train_loss=0.442287, val_miou=0.616393, val_dice=0.712227
epoch=40, train_loss=0.446538, val_miou=0.629295, val_dice=0.728167
epoch=41, train_loss=0.446112, val_miou=0.642749, val_dice=0.744452
epoch=42, train_loss=0.443436, val_miou=0.630979, val_dice=0.731851
epoch=43, train_loss=0.441660, val_miou=0.635580, val_dice=0.735508
epoch=44, train_loss=0.441061, val_miou=0.637913, val_dice=0.740479
epoch=45, train_loss=0.440577, val_miou=0.634731, val_dice=0.736786
epoch=46, train_loss=0.442970, val_miou=0.630454, val_dice=0.729804
epoch=47, train_loss=0.443007, val_miou=0.633204, val_dice=0.733349
epoch=48, train_loss=0.439327, val_miou=0.645758, val_dice=0.748002
epoch=49, train_loss=0.439703, val_miou=0.632594, val_dice=0.733494
