method=FCN + SE, backbone=FCN, module_type=SE, seed=2024
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.670459, val_miou=0.467571, val_dice=0.619278
epoch=1, train_loss=0.623891, val_miou=0.437668, val_dice=0.517110
epoch=2, train_loss=0.605532, val_miou=0.502222, val_dice=0.597023
epoch=3, train_loss=0.593780, val_miou=0.312380, val_dice=0.144219
epoch=4, train_loss=0.573558, val_miou=0.435855, val_dice=0.470168
epoch=5, train_loss=0.578613, val_miou=0.450301, val_dice=0.475002
epoch=6, train_loss=0.559739, val_miou=0.444745, val_dice=0.449930
epoch=7, train_loss=0.562042, val_miou=0.498589, val_dice=0.560239
epoch=8, train_loss=0.536954, val_miou=0.530725, val_dice=0.635594
epoch=9, train_loss=0.547493, val_miou=0.508090, val_dice=0.585812
epoch=10, train_loss=0.531017, val_miou=0.488413, val_dice=0.533090
epoch=11, train_loss=0.523709, val_miou=0.545509, val_dice=0.669868
epoch=12, train_loss=0.522383, val_miou=0.548374, val_dice=0.631785
epoch=13, train_loss=0.513882, val_miou=0.589327, val_dice=0.689760
epoch=14, train_loss=0.503945, val_miou=0.568296, val_dice=0.660508
epoch=15, train_loss=0.505470, val_miou=0.613405, val_dice=0.726028
epoch=16, train_loss=0.499922, val_miou=0.599292, val_dice=0.690210
epoch=17, train_loss=0.495098, val_miou=0.568488, val_dice=0.650368
epoch=18, train_loss=0.491436, val_miou=0.615714, val_dice=0.719442
epoch=19, train_loss=0.490812, val_miou=0.569690, val_dice=0.651071
epoch=20, train_loss=0.478177, val_miou=0.611062, val_dice=0.705722
epoch=21, train_loss=0.479354, val_miou=0.601543, val_dice=0.703234
epoch=22, train_loss=0.483852, val_miou=0.584093, val_dice=0.668058
epoch=23, train_loss=0.477617, val_miou=0.584769, val_dice=0.673224
epoch=24, train_loss=0.472736, val_miou=0.627337, val_dice=0.741553
epoch=25, train_loss=0.470220, val_miou=0.597965, val_dice=0.688471
epoch=26, train_loss=0.469913, val_miou=0.617972, val_dice=0.718992
epoch=27, train_loss=0.474306, val_miou=0.617244, val_dice=0.718244
epoch=28, train_loss=0.465210, val_miou=0.604374, val_dice=0.698313
epoch=29, train_loss=0.465558, val_miou=0.600029, val_dice=0.686146
epoch=30, train_loss=0.461941, val_miou=0.631818, val_dice=0.735139
epoch=31, train_loss=0.455287, val_miou=0.624792, val_dice=0.722825
epoch=32, train_loss=0.458068, val_miou=0.631838, val_dice=0.728137
epoch=33, train_loss=0.454098, val_miou=0.645761, val_dice=0.746435
epoch=34, train_loss=0.455596, val_miou=0.639846, val_dice=0.741011
epoch=35, train_loss=0.455624, val_miou=0.642622, val_dice=0.740483
epoch=36, train_loss=0.453263, val_miou=0.634167, val_dice=0.734148
epoch=37, train_loss=0.448451, val_miou=0.643495, val_dice=0.746618
epoch=38, train_loss=0.457340, val_miou=0.642458, val_dice=0.744512
epoch=39, train_loss=0.449230, val_miou=0.632341, val_dice=0.727942
epoch=40, train_loss=0.448250, val_miou=0.636955, val_dice=0.735805
epoch=41, train_loss=0.446214, val_miou=0.643965, val_dice=0.743649
epoch=42, train_loss=0.449066, val_miou=0.643165, val_dice=0.742774
epoch=43, train_loss=0.443699, val_miou=0.648001, val_dice=0.749545
epoch=44, train_loss=0.444481, val_miou=0.645971, val_dice=0.746468
epoch=45, train_loss=0.443721, val_miou=0.649549, val_dice=0.751561
epoch=46, train_loss=0.445974, val_miou=0.643508, val_dice=0.742628
epoch=47, train_loss=0.445398, val_miou=0.644761, val_dice=0.744303
epoch=48, train_loss=0.442968, val_miou=0.647689, val_dice=0.747528
epoch=49, train_loss=0.444536, val_miou=0.651536, val_dice=0.752670
