method=FCN, backbone=FCN, module_type=baseline, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.722429, val_miou=0.331110, val_dice=0.220716
epoch=1, train_loss=0.636674, val_miou=0.441049, val_dice=0.491823
epoch=2, train_loss=0.613530, val_miou=0.509675, val_dice=0.643819
epoch=3, train_loss=0.610216, val_miou=0.418752, val_dice=0.431820
epoch=4, train_loss=0.596628, val_miou=0.376607, val_dice=0.335619
epoch=5, train_loss=0.593429, val_miou=0.480576, val_dice=0.557775
epoch=6, train_loss=0.587917, val_miou=0.477250, val_dice=0.531871
epoch=7, train_loss=0.580693, val_miou=0.394613, val_dice=0.342154
epoch=8, train_loss=0.563021, val_miou=0.540801, val_dice=0.622036
epoch=9, train_loss=0.557250, val_miou=0.555198, val_dice=0.648692
epoch=10, train_loss=0.552301, val_miou=0.514896, val_dice=0.578249
epoch=11, train_loss=0.538412, val_miou=0.496681, val_dice=0.546852
epoch=12, train_loss=0.519198, val_miou=0.562530, val_dice=0.652497
epoch=13, train_loss=0.531183, val_miou=0.604889, val_dice=0.733274
epoch=14, train_loss=0.511523, val_miou=0.611699, val_dice=0.729869
epoch=15, train_loss=0.512718, val_miou=0.603598, val_dice=0.712881
epoch=16, train_loss=0.507888, val_miou=0.612790, val_dice=0.751925
epoch=17, train_loss=0.503595, val_miou=0.568309, val_dice=0.647000
epoch=18, train_loss=0.500114, val_miou=0.608896, val_dice=0.713059
epoch=19, train_loss=0.486433, val_miou=0.589280, val_dice=0.685016
epoch=20, train_loss=0.490982, val_miou=0.550187, val_dice=0.623690
epoch=21, train_loss=0.487250, val_miou=0.570154, val_dice=0.656836
epoch=22, train_loss=0.485633, val_miou=0.617455, val_dice=0.717902
epoch=23, train_loss=0.476184, val_miou=0.565873, val_dice=0.641865
epoch=24, train_loss=0.471688, val_miou=0.597996, val_dice=0.693608
epoch=25, train_loss=0.477163, val_miou=0.594220, val_dice=0.684471
epoch=26, train_loss=0.473714, val_miou=0.624001, val_dice=0.737667
epoch=27, train_loss=0.474966, val_miou=0.596048, val_dice=0.686018
epoch=28, train_loss=0.465542, val_miou=0.603799, val_dice=0.698255
epoch=29, train_loss=0.469368, val_miou=0.640055, val_dice=0.743601
epoch=30, train_loss=0.459522, val_miou=0.601906, val_dice=0.691878
epoch=31, train_loss=0.459004, val_miou=0.639855, val_dice=0.740118
epoch=32, train_loss=0.459237, val_miou=0.616231, val_dice=0.715347
epoch=33, train_loss=0.454819, val_miou=0.638108, val_dice=0.738999
epoch=34, train_loss=0.454786, val_miou=0.613229, val_dice=0.705543
epoch=35, train_loss=0.454845, val_miou=0.630065, val_dice=0.728088
epoch=36, train_loss=0.452988, val_miou=0.624052, val_dice=0.717596
epoch=37, train_loss=0.449131, val_miou=0.622627, val_dice=0.716769
epoch=38, train_loss=0.447240, val_miou=0.646475, val_dice=0.748397
epoch=39, train_loss=0.448062, val_miou=0.652477, val_dice=0.759271
epoch=40, train_loss=0.447062, val_miou=0.652058, val_dice=0.758382
epoch=41, train_loss=0.446067, val_miou=0.624048, val_dice=0.717917
epoch=42, train_loss=0.442748, val_miou=0.652370, val_dice=0.755109
epoch=43, train_loss=0.439892, val_miou=0.637618, val_dice=0.735359
epoch=44, train_loss=0.442340, val_miou=0.643133, val_dice=0.742328
epoch=45, train_loss=0.440651, val_miou=0.643217, val_dice=0.743508
epoch=46, train_loss=0.439909, val_miou=0.649137, val_dice=0.750591
epoch=47, train_loss=0.439495, val_miou=0.649658, val_dice=0.750654
epoch=48, train_loss=0.440732, val_miou=0.652789, val_dice=0.755508
epoch=49, train_loss=0.438972, val_miou=0.649675, val_dice=0.750715
