backbone,method,module_type,params_abs,params_delta_vs_backbone,flops_abs,flops_delta_vs_backbone,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
FCN,FCN,baseline,134271937,0,20518027264,0,MACs,thop,2.656144,0.169799,376.485674,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
FCN,FCN + SE,SE,134305249,33312,20518093312,66048,MACs,thop,2.704110,0.215704,369.807470,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
FCN,FCN + CBAM,CBAM,134304803,32866,20518132352,105088,MACs,thop,2.748988,0.219369,363.770242,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
FCN,FCN + FADC-aligned,FADC-aligned,134410730,138793,20520633344,2606080,MACs,thop,3.553430,0.119370,281.418274,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
FCN,FCN + SRFG,SRFG,145061445,10789508,20192006656,-326020608,MACs,thop,1.946957,0.092253,513.622137,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net,baseline,31042369,0,54662266880,0,MACs,thop,2.763470,0.218953,361.863915,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SE,SE,31174529,132160,54662661120,394240,MACs,thop,2.791419,0.229368,358.240689,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + CBAM,CBAM,31173539,131170,54662817280,550400,MACs,thop,2.851861,0.251119,350.648230,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FADC-aligned,FADC-aligned,31483786,441417,54682781696,20514816,MACs,thop,3.758301,2.397732,266.077704,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SRFG,SRFG,31606851,564482,54670918656,8651776,MACs,thop,2.895684,0.241226,345.341546,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
