method=FCN + FADC-aligned, backbone=FCN, module_type=FADC-aligned, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.578939, val_miou=0.596411, val_dice=0.560610
epoch=1, train_loss=0.490675, val_miou=0.601702, val_dice=0.567684
epoch=2, train_loss=0.463105, val_miou=0.635314, val_dice=0.651697
epoch=3, train_loss=0.466211, val_miou=0.590258, val_dice=0.575102
epoch=4, train_loss=0.457147, val_miou=0.623687, val_dice=0.634444
epoch=5, train_loss=0.440866, val_miou=0.500869, val_dice=0.363755
epoch=6, train_loss=0.443418, val_miou=0.652651, val_dice=0.653510
epoch=7, train_loss=0.446766, val_miou=0.272685, val_dice=0.448676
epoch=8, train_loss=0.433029, val_miou=0.634571, val_dice=0.630312
epoch=9, train_loss=0.412192, val_miou=0.614760, val_dice=0.643229
epoch=10, train_loss=0.407729, val_miou=0.522765, val_dice=0.576960
epoch=11, train_loss=0.400226, val_miou=0.658182, val_dice=0.661284
epoch=12, train_loss=0.388486, val_miou=0.389200, val_dice=0.512968
epoch=13, train_loss=0.378722, val_miou=0.659387, val_dice=0.691453
epoch=14, train_loss=0.378084, val_miou=0.678398, val_dice=0.703374
epoch=15, train_loss=0.375164, val_miou=0.682696, val_dice=0.696805
epoch=16, train_loss=0.362906, val_miou=0.625119, val_dice=0.661302
epoch=17, train_loss=0.361893, val_miou=0.638196, val_dice=0.678317
epoch=18, train_loss=0.356279, val_miou=0.662512, val_dice=0.695540
epoch=19, train_loss=0.351345, val_miou=0.695010, val_dice=0.711569
epoch=20, train_loss=0.347760, val_miou=0.559162, val_dice=0.622104
epoch=21, train_loss=0.358345, val_miou=0.547641, val_dice=0.602912
epoch=22, train_loss=0.352150, val_miou=0.660113, val_dice=0.691310
epoch=23, train_loss=0.344587, val_miou=0.594146, val_dice=0.644895
epoch=24, train_loss=0.335310, val_miou=0.656355, val_dice=0.680347
epoch=25, train_loss=0.338769, val_miou=0.631989, val_dice=0.666481
epoch=26, train_loss=0.342122, val_miou=0.639422, val_dice=0.681293
epoch=27, train_loss=0.329255, val_miou=0.687803, val_dice=0.714467
epoch=28, train_loss=0.326894, val_miou=0.676579, val_dice=0.708900
epoch=29, train_loss=0.325969, val_miou=0.654876, val_dice=0.693144
epoch=30, train_loss=0.324076, val_miou=0.678346, val_dice=0.710006
epoch=31, train_loss=0.320103, val_miou=0.695412, val_dice=0.722352
epoch=32, train_loss=0.316504, val_miou=0.654177, val_dice=0.696085
epoch=33, train_loss=0.316016, val_miou=0.603012, val_dice=0.653790
epoch=34, train_loss=0.316686, val_miou=0.597330, val_dice=0.647798
epoch=35, train_loss=0.315489, val_miou=0.694779, val_dice=0.722786
epoch=36, train_loss=0.313415, val_miou=0.667831, val_dice=0.703716
epoch=37, train_loss=0.310314, val_miou=0.679835, val_dice=0.709682
epoch=38, train_loss=0.308143, val_miou=0.640886, val_dice=0.686067
epoch=39, train_loss=0.305928, val_miou=0.642502, val_dice=0.684615
epoch=40, train_loss=0.306798, val_miou=0.682931, val_dice=0.713816
epoch=41, train_loss=0.304475, val_miou=0.691438, val_dice=0.718025
epoch=42, train_loss=0.303020, val_miou=0.625060, val_dice=0.671054
epoch=43, train_loss=0.304579, val_miou=0.656060, val_dice=0.694341
epoch=44, train_loss=0.303292, val_miou=0.685599, val_dice=0.716791
epoch=45, train_loss=0.302112, val_miou=0.663838, val_dice=0.700471
epoch=46, train_loss=0.303417, val_miou=0.674594, val_dice=0.708831
epoch=47, train_loss=0.302020, val_miou=0.668242, val_dice=0.703236
epoch=48, train_loss=0.301889, val_miou=0.671491, val_dice=0.706126
epoch=49, train_loss=0.297863, val_miou=0.658373, val_dice=0.696460
selected_best_epoch=31, val_miou=0.695412, val_dice=0.722352, test_miou=0.674524, test_dice=0.664087
