method=FCN + SRFG, backbone=FCN, module_type=SRFG, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.393969, val_miou=0.714918, val_dice=0.725108
epoch=1, train_loss=0.362832, val_miou=0.753291, val_dice=0.778819
epoch=2, train_loss=0.327486, val_miou=0.763982, val_dice=0.791563
epoch=3, train_loss=0.317435, val_miou=0.746012, val_dice=0.776858
epoch=4, train_loss=0.310064, val_miou=0.520152, val_dice=0.606984
epoch=5, train_loss=0.284509, val_miou=0.762813, val_dice=0.794854
epoch=6, train_loss=0.261024, val_miou=0.693736, val_dice=0.743886
epoch=7, train_loss=0.270960, val_miou=0.615491, val_dice=0.672538
epoch=8, train_loss=0.247631, val_miou=0.784034, val_dice=0.810816
epoch=9, train_loss=0.253386, val_miou=0.786198, val_dice=0.815483
epoch=10, train_loss=0.225186, val_miou=0.752294, val_dice=0.792404
epoch=11, train_loss=0.231077, val_miou=0.787273, val_dice=0.817728
epoch=12, train_loss=0.227324, val_miou=0.777571, val_dice=0.810278
epoch=13, train_loss=0.231190, val_miou=0.682794, val_dice=0.732231
epoch=14, train_loss=0.209803, val_miou=0.789091, val_dice=0.820847
epoch=15, train_loss=0.209626, val_miou=0.769532, val_dice=0.804496
epoch=16, train_loss=0.214244, val_miou=0.795060, val_dice=0.824179
epoch=17, train_loss=0.215873, val_miou=0.783409, val_dice=0.815889
epoch=18, train_loss=0.197190, val_miou=0.785484, val_dice=0.817061
epoch=19, train_loss=0.200315, val_miou=0.796292, val_dice=0.824597
epoch=20, train_loss=0.187640, val_miou=0.789609, val_dice=0.824195
epoch=21, train_loss=0.187962, val_miou=0.782010, val_dice=0.809663
epoch=22, train_loss=0.184512, val_miou=0.802035, val_dice=0.834007
epoch=23, train_loss=0.185480, val_miou=0.789796, val_dice=0.822838
epoch=24, train_loss=0.193374, val_miou=0.788797, val_dice=0.821780
epoch=25, train_loss=0.178598, val_miou=0.798701, val_dice=0.827464
epoch=26, train_loss=0.180669, val_miou=0.776757, val_dice=0.812390
epoch=27, train_loss=0.176607, val_miou=0.810088, val_dice=0.841404
epoch=28, train_loss=0.172121, val_miou=0.764953, val_dice=0.805212
epoch=29, train_loss=0.170080, val_miou=0.793276, val_dice=0.826394
epoch=30, train_loss=0.175735, val_miou=0.791677, val_dice=0.824053
epoch=31, train_loss=0.169314, val_miou=0.810362, val_dice=0.839036
epoch=32, train_loss=0.162322, val_miou=0.801231, val_dice=0.833749
epoch=33, train_loss=0.159211, val_miou=0.799935, val_dice=0.833103
epoch=34, train_loss=0.158358, val_miou=0.788846, val_dice=0.823599
epoch=35, train_loss=0.159603, val_miou=0.815418, val_dice=0.845294
epoch=36, train_loss=0.157276, val_miou=0.808452, val_dice=0.840876
epoch=37, train_loss=0.162584, val_miou=0.803751, val_dice=0.835060
epoch=38, train_loss=0.155107, val_miou=0.802946, val_dice=0.838081
epoch=39, train_loss=0.154682, val_miou=0.809317, val_dice=0.841435
epoch=40, train_loss=0.153515, val_miou=0.812565, val_dice=0.842637
epoch=41, train_loss=0.152035, val_miou=0.815092, val_dice=0.844928
epoch=42, train_loss=0.149310, val_miou=0.800858, val_dice=0.834088
epoch=43, train_loss=0.150639, val_miou=0.812970, val_dice=0.843857
epoch=44, train_loss=0.150262, val_miou=0.814841, val_dice=0.845302
epoch=45, train_loss=0.149089, val_miou=0.811990, val_dice=0.843552
epoch=46, train_loss=0.148839, val_miou=0.815693, val_dice=0.846094
epoch=47, train_loss=0.150812, val_miou=0.810458, val_dice=0.842572
epoch=48, train_loss=0.149287, val_miou=0.813044, val_dice=0.844088
epoch=49, train_loss=0.146638, val_miou=0.814303, val_dice=0.845350
selected_best_epoch=46, val_miou=0.815693, val_dice=0.846094, test_miou=0.823353, test_dice=0.839845
