method=U-Net + CBAM, backbone=U-Net, module_type=CBAM, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.400279, val_miou=0.783871, val_dice=0.807222
epoch=1, train_loss=0.328709, val_miou=0.794767, val_dice=0.829497
epoch=2, train_loss=0.281518, val_miou=0.748556, val_dice=0.792132
epoch=3, train_loss=0.269148, val_miou=0.805317, val_dice=0.829506
epoch=4, train_loss=0.258219, val_miou=0.718136, val_dice=0.768726
epoch=5, train_loss=0.229371, val_miou=0.801217, val_dice=0.832390
epoch=6, train_loss=0.216980, val_miou=0.673206, val_dice=0.732744
epoch=7, train_loss=0.213448, val_miou=0.808025, val_dice=0.841348
epoch=8, train_loss=0.203491, val_miou=0.830271, val_dice=0.857395
epoch=9, train_loss=0.180664, val_miou=0.845497, val_dice=0.872554
epoch=10, train_loss=0.168397, val_miou=0.803379, val_dice=0.839033
epoch=11, train_loss=0.188283, val_miou=0.808947, val_dice=0.845292
epoch=12, train_loss=0.162298, val_miou=0.697834, val_dice=0.756424
epoch=13, train_loss=0.164318, val_miou=0.753415, val_dice=0.798482
epoch=14, train_loss=0.160729, val_miou=0.822686, val_dice=0.853986
epoch=15, train_loss=0.150557, val_miou=0.832065, val_dice=0.862153
epoch=16, train_loss=0.145189, val_miou=0.837177, val_dice=0.866099
epoch=17, train_loss=0.161397, val_miou=0.830018, val_dice=0.861751
epoch=18, train_loss=0.145049, val_miou=0.770327, val_dice=0.810958
epoch=19, train_loss=0.145710, val_miou=0.836483, val_dice=0.864878
epoch=20, train_loss=0.135480, val_miou=0.830315, val_dice=0.860896
epoch=21, train_loss=0.139446, val_miou=0.792461, val_dice=0.820358
epoch=22, train_loss=0.138660, val_miou=0.835681, val_dice=0.866099
epoch=23, train_loss=0.136004, val_miou=0.829976, val_dice=0.861540
epoch=24, train_loss=0.136150, val_miou=0.799694, val_dice=0.837212
epoch=25, train_loss=0.128779, val_miou=0.831344, val_dice=0.862824
epoch=26, train_loss=0.127039, val_miou=0.846171, val_dice=0.873839
epoch=27, train_loss=0.122839, val_miou=0.840440, val_dice=0.869953
epoch=28, train_loss=0.118862, val_miou=0.821306, val_dice=0.854999
epoch=29, train_loss=0.126528, val_miou=0.836966, val_dice=0.867048
epoch=30, train_loss=0.117911, val_miou=0.837146, val_dice=0.864936
epoch=31, train_loss=0.122107, val_miou=0.848976, val_dice=0.875957
epoch=32, train_loss=0.114342, val_miou=0.840348, val_dice=0.869935
epoch=33, train_loss=0.111745, val_miou=0.835964, val_dice=0.867248
epoch=34, train_loss=0.113304, val_miou=0.841404, val_dice=0.870022
epoch=35, train_loss=0.112000, val_miou=0.842709, val_dice=0.871236
epoch=36, train_loss=0.108997, val_miou=0.841907, val_dice=0.870999
epoch=37, train_loss=0.117110, val_miou=0.839122, val_dice=0.868508
epoch=38, train_loss=0.113884, val_miou=0.835890, val_dice=0.867755
epoch=39, train_loss=0.111939, val_miou=0.841783, val_dice=0.871485
epoch=40, train_loss=0.108738, val_miou=0.843748, val_dice=0.872390
epoch=41, train_loss=0.106244, val_miou=0.846108, val_dice=0.874783
epoch=42, train_loss=0.105538, val_miou=0.835731, val_dice=0.867022
epoch=43, train_loss=0.104770, val_miou=0.844399, val_dice=0.873174
epoch=44, train_loss=0.105977, val_miou=0.844037, val_dice=0.872114
epoch=45, train_loss=0.106405, val_miou=0.844090, val_dice=0.873409
epoch=46, train_loss=0.105917, val_miou=0.845373, val_dice=0.873872
epoch=47, train_loss=0.105701, val_miou=0.840610, val_dice=0.870479
epoch=48, train_loss=0.104503, val_miou=0.841430, val_dice=0.871050
epoch=49, train_loss=0.102933, val_miou=0.842775, val_dice=0.872238
selected_best_epoch=31, val_miou=0.848976, val_dice=0.875957, test_miou=0.879219, test_dice=0.894610
